Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-01,Lucas_Sims,pitcher,CWS,CHC,2026,831914,0,145,112,0,2.0,0.0,0.0,1.0,4.0,17.0,0.0,1.0,0.0,-0.7999999999999998,-0.7999999999999998,71.0,35.294117647058826,0.315,0.225,1.0277777777777777,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.5911111111111111,-0.4125,-0.7125,2.0,0.0,0.0,2.0,0.0,0.0
2026-03-07,Lucas_Sims,pitcher,CWS,SEA,2026,831904,1,145,136,0,0.0,0.0,0.0,1.0,4.0,20.0,1.0,1.0,0.0,6.2,6.2,65.0,0.0,0.356038489469862,0.23738941795782706,1.0722222222222222,-10.0,75.0,0,6.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.5097735452262726,-0.19582679738562098,1.2375588235294113,2.0,0.0,0.0,2.0,0.0,0.0
2026-03-14,Lucas_Sims,pitcher,CWS,LAD,2026,831809,2,145,119,1,1.0,0.0,0.0,1.0,4.0,20.0,1.0,0.0,0.0,4.2,4.2,50.0,15.0,0.3715432098765432,0.2266496502174324,1.0611111111111111,0.0,88.0,0,7.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-1.5912472427049853,-0.13405555555555554,1.7935000000000003,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,Lucas_Sims,pitcher,CWS,AZ,2026,831962,3,145,109,1,1.0,0.0,0.0,1.0,5.0,15.0,1.0,1.0,0.0,4.2,4.2,53.0,20.0,0.37453703703703706,0.19050779820019872,1.0611111111111111,0.0,100.0,0,5.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-1.740382058842855,-0.12058333333333321,1.914750000000001,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-22,Lucas_Sims,pitcher,CWS,SEA,2026,831746,4,145,136,1,1.0,0.0,0.0,1.0,3.0,13.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,69.0,23.076923076923077,0.3375912698412698,0.3095574387947269,1.0611111111111111,3.0,95.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.7879849340866294,-0.28683928571428585,0.41844642857142755,1.0,0.0,0.0,1.0,0.0,0.0
2026-04-01,Lucas_Sims,pitcher,CWS,MIA,2026,823889,5,145,146,0,1.0,0.0,0.0,2.0,9.0,31.0,1.0,1.0,0.0,3.7,3.7,61.0,9.67741935483871,0.33713888888888893,0.22363152626310523,1.0766666666666667,0.0,72.0,0,10.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-1.481614456561825,-0.2776749999999998,-0.49953749999999886,1.0,0.0,0.0,1.0,0.0,0.0
2026-04-06,Lucas_Sims,pitcher,CWS,BAL,2026,824619,6,145,110,1,2.0,0.0,0.0,2.0,6.0,21.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,71.0,28.57142857142857,0.2513795173961841,0.2885126569337096,1.08,3.0,48.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-1.1078987445303234,-0.5,-1.5,0.8,0.0,0.0,1.0,0.0,0.0
2026-04-08,Lucas_Sims,pitcher,CWS,BAL,2026,824617,7,145,110,1,1.0,1.0,27.0,0.3333333333333333,4.0,16.0,1.0,2.0,0.0,6.2,6.2,50.0,18.75,0.25502160493827164,0.31062710437710433,1.08,-18.0,58.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.5029831649831653,-0.5,-1.5,1.2,0.0,0.0,2.0,0.0,0.0
2026-04-12,Lucas_Sims,pitcher,CWS,KC,2026,824126,8,145,118,0,1.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,75.0,37.5,0.24541919191919193,0.19549011572312316,1.06,-12.0,68.0,0,4.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,5.4,2.5,0.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-1.5560790742150148,-0.39841363636363625,-4.4857227272727265,1.2,0.2,5.4,1.0,1.0,27.0
2026-04-14,Lucas_Sims,pitcher,CWS,TB,2026,824616,9,145,139,1,1.0,2.0,13.5,1.3333333333333333,8.0,25.0,1.0,3.0,0.0,3.95,3.95,64.0,12.0,0.3430869809203143,0.19444444444444442,1.08,-21.0,77.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,2.5,0.5,5.4,2.5,0.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-1.5724444444444448,-0.10450858585858552,-2.7304329545454524,1.2,0.2,5.4,1.0,0.0,0.0
