Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-04,Lucas_Spence,828599,hitter,HOU,BAL,2026,831642,0,117,110,0,669358.0,Shane_Baz,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,5.0,0.0857142857142857,0.0,0.0,0.0,0.0,10.0,4.1,8.2,0.0,1.08,-8.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.41693333333333327,-0.5,-0.5,-0.4744,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Lucas_Spence,828599,hitter,HOU,WSH,2026,831524,1,117,120,1,676917.0,Cade_Cavalli,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,6.0,0.073170731707317,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,4.0,1.08,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.27537235772357727,-0.3899475609756098,-0.3878882113821139,-0.4744,-0.41795121951219516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Lucas_Spence,828599,hitter,HOU,WSH,2026,831572,2,117,120,0,674841.0,Andrew_Alvarez,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,7.0,0.0967741935483871,0.0,0.0,0.0,0.0,10.0,4.1,8.2,0.45,1.08,-15.0,82.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.08799139784946242,-0.04767258064516128,-0.5,-0.4744,-0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,-0.9688888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9766666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9251388888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8376388888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Lucas_Spence,828599,hitter,HOU,STL,2026,831516,3,117,138,1,690916.0,,1.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.048780487804878,0.635,0.635,0.5,30.0,65.0,4.1,8.2,1.125,1.08,-6.0,82.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.20889268292682922,0.5423349593495934,-0.32628658536585375,-0.2744,-0.4888841463414635,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8874999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,Lucas_Spence,828599,hitter,HOU,SUG,2026,831443,4,117,5434,1,676467.0,,1.0,4.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,0.05,1.05,1.05,1.5,30.0,65.0,4.1,8.2,4.0,1.08,11.0,80.0,0,14.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.1518822175317459,2.4685482137166668,0.3372034251069571,-0.024412232303571424,0.11072532362053578,0.5,0.75,0.25,0.0,0.25,1.0,2.0,1.0,0.0,1.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.05,0.9425,0.0,0.0783938541666666,-0.8872222222222222,-0.0261428571428571,0.0,0.0,0.0,0.0,-0.0001778246825396,-1.778246825396824e-05,-0.7175,-0.229267857142857,0.0,0.0,0.0,0.0,-0.0012611642708333,-0.0002017862833333,-0.734375,-0.1654464285714285,0.0,0.0,0.0,0.0,-0.000931497860863,-4.657489304315474e-05,-0.1590972222222222,-0.4011428571428571,0.0,0.0,0.0,0.0,-0.0004892921428571,-1.2232303571428568e-05,-0.4903472222222222,-0.3310714285714284,0.0,0.0,0.0,0.0,-0.0012446063244047,-7.467637946428568e-05
2026-03-24,Lucas_Spence,828599,hitter,HOU,SUG,2026,831441,5,117,5434,1,699044.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.025,0.69,0.69,0.0,0.0,65.0,4.1,8.2,0.0,1.08,15.0,78.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.013816666666666588,0.16244999999999998,-0.03624999999999995,-0.2344,0.46740000000000004,0.6,1.4,0.4,0.2,0.8,1.0,4.0,1.0,1.0,3.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.0,1.0,0.0,0.0833333333333333,-0.1097777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2426666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6589722222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6702222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,Lucas_Spence,828599,hitter,HOU,BAL,2026,824170,6,117,110,1,665152.0,Dean_Kremer,1.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,8.0,0.1,0.395,0.395,0.0,0.0,47.400000000000006,4.3999999999999995,7.8999999999999995,3.3214285714285716,1.08,0.0,73.0,0,115.0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.10851819657805095,-0.4481544701863178,-0.09785929205087252,-0.334036332134211,0.15360723676998234,0.6,1.4,0.4,0.2,0.8,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.25,0.7459685349271206,0.0,0.1646547136178569,-0.0581481481481481,-0.2446596884128529,0.0,0.0,0.0,0.0,-0.0007227961242526,-7.227961242526835e-05,0.2813888888888888,0.1073395569620253,0.0,0.0,0.0,0.0,0.0015345613355131,0.0002455298136821,0.18125,0.1504660256410258,0.0,0.0,0.0,0.0,0.0013855875539765,6.927937769882587e-05,0.6231018518518519,0.4595030185004869,0.0,0.0,0.0,0.0,0.0145467146315639,0.000363667865789,0.7106018518518518,0.2011871794871796,0.0,0.0,0.0,0.0,0.0072634699758965,0.0004358081985537
2026-07-18,Lucas_Spence,828599,hitter,HOU,BAL,2026,824169,7,117,110,1,669432.0,Trevor_Rogers,2.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,9.0,0.0909090909090909,0.445,0.445,0.0,0.0,53.4,0.9736842105263156,7.71578947368421,3.3214285714285716,1.08,0.0,73.0,0,1.0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.24443736614262934,-0.29398329605576046,-0.0914573082960422,-0.3339750912160055,0.15957800224046914,0.6,1.4,0.4,0.2,0.8,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,1.0,0.3062773020228779,0.0,0.4291476971688641,-0.005456349206349,0.3026705192124697,0.0,1.0,0.0,0.0,0.0,0.0,0.3172619047619048,0.2244165195743369,0.0,1.0,0.0,0.0,0.0115248541969519,0.0018439766715123,0.1791666666666668,0.2936462827076604,0.0,1.0,0.0,0.0,0.008516171741495,0.0004258085870747,0.5695436507936508,0.1843597013925187,0.0,1.0,0.0,0.0,0.0169963513597811,0.0004249087839945,0.7007936507936506,0.3081727978591755,0.0,1.0,0.0,0.0,0.03495804599916,0.0020974827599496
2026-07-19,Lucas_Spence,828599,hitter,HOU,BAL,2026,824168,8,117,110,1,687064.0,Brandon_Young,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,6.0,0.1142857142857142,0.0,0.0,0.0,0.0,10.0,4.885714285714285,9.942857142857143,2.0357142857142856,1.08,0.0,73.0,0,1.0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.5280765068967339,-0.08257266657693085,-0.07350483368562,-0.3345115583136665,-0.013080233484661252,1.0,1.8,0.6,0.2,0.8,2.0,2.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.75,0.45600417556536,0.0,0.3539379497032658,0.0664015151515152,0.0596510200381001,0.0,2.0,0.0,0.0,0.0005745927768632,5.7459277686323954e-05,0.3247537878787879,-0.0030070969642087,0.0,2.0,0.0,0.0,-0.0001416661058164,-2.266657693062436e-05,0.1857954545454546,-0.0300884449720151,0.0,2.0,0.0,0.0,-0.0008109594266851,-4.0547971334257686e-05,0.4627083333333333,-0.0664798931074594,0.0,2.0,0.0,0.0,-0.0044623325466637,-0.0001115583136665,0.6470833333333332,-0.0472194137507112,0.0,2.0,0.0,0.0,-0.0044324628395919,-0.0002659477703755
2026-07-20,Lucas_Spence,828599,hitter,HOU,MIA,2026,824167,9,117,146,1,676083.0,Janson_Junk,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,9.0,0.1111111111111111,0.1725,0.1725,0.0,0.0,20.7,6.000000000000001,6.6000000000000005,4.7602040816326525,1.08,0.0,73.0,0,1.0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.3834748299319728,-0.5353865714069926,-0.1442640470744348,-0.3342075861995367,0.03638086216171077,0.8,1.4,0.4,0.2,0.6,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.65,0.4776831857002922,0.0,0.3394644763386142,-0.0971141975308642,0.3616549661597934,0.0,3.0,0.0,0.0,0.0,0.0,0.1503703703703703,0.2666058723942023,0.0,3.0,0.0,0.0,0.0062818453729632,0.0010050952596741,0.0881944444444445,0.1458053892815795,0.0,3.0,0.0,0.0,0.0020149768786531,0.0001007488439326,0.2802006172839506,0.1752959408873529,0.0,3.0,0.0,0.0,0.0076965520185349,0.0001924138004633,0.5126080246913579,0.1979486541217622,0.0,3.0,0.0,0.0,0.0158998568901917,0.0009539914134115
