Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-03,Luis_Arraez,hitter,VEN,HOU,2026,831440,0,944,117,0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.11428571428571428,0.2225,0.2225,0.0,0.0,26.7,4.1,8.2,5.4,1.08,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.6237333333333333,0.381575,-0.266875,-0.4744,-0.32184999999999997,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-04,Luis_Arraez,hitter,VEN,WSH,2026,831428,1,944,120,0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.07894736842105263,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,4.1,8.2,1.35,1.08,0.0,75.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.4051192982456141,0.5098605263157896,-0.31994298245614033,-0.4744,-0.4546578947368421,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-20,Luis_Arraez,hitter,SF,KC,2026,831835,2,137,118,1,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.09090909090909091,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,9.0,6.0,7.835488041370395,1.038888888888889,0.0,104.0,0,16.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.387722551957846,-0.18031060606060612,-0.14376347671935902,-0.4875555555555555,-0.2053165070223893,1.5,1.5,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
2026-03-21,Luis_Arraez,hitter,SF,CLE,2026,831873,3,137,114,1,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,0.07894736842105263,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,6.0,17.400000000000002,3.6107142857142853,1.038888888888889,3.0,96.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.6595187969924812,-0.4367061403508774,-0.03674060150375941,-0.4875555555555555,-0.4306221804511278,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2026-03-23,Luis_Arraez,hitter,SF,MTY,2026,831786,4,137,562,1,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.10526315789473684,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.08,0.0,62.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.34086315789473676,-0.5734026315789473,-0.0006184210526316014,-0.4744,-0.46921052631578947,1.25,1.25,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2026-03-24,Luis_Arraez,hitter,SF,MTY,2026,831782,5,137,562,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,10.0,4.1,8.2,10.8,1.08,11.0,62.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.5399,0.07124999999999992,0.33375,-0.4744,-0.19419999999999993,1.0,1.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-25,Luis_Arraez,hitter,SF,NYY,2026,823244,6,137,147,1,1.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,0.11764705882352941,0.395,0.395,0.0,0.0,47.400000000000006,0.0,9.0,4.6068306693306695,1.08,19.0,63.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.22028106991048169,0.19887058823529413,0.1865768275841806,-0.4744,-0.3058055253569959,0.8,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-27,Luis_Arraez,hitter,SF,NYY,2026,823243,7,137,147,1,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,10.0,6.0,7.5,4.6068306693306695,1.08,6.0,64.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.32700656010656004,0.05424999999999991,-0.010908466533466499,-0.4744,-0.40585846653346647,0.6,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-28,Luis_Arraez,hitter,SF,NYY,2026,823241,8,137,147,1,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,0.11428571428571428,0.445,0.445,0.0,0.0,53.4,6.0,9.0,3.892544955044955,1.08,0.0,61.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.09456486846486839,-0.030299999999999938,0.02612724775224784,-0.4744,-0.3304727522477522,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30,Luis_Arraez,hitter,SF,SD,2026,823320,9,137,135,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,4.0,0.1111111111111111,0.0,0.0,0.0,0.0,10.0,0.0,6.0,4.661683904330963,1.08,6.0,68.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.5302006895065718,0.16998333333333326,-0.32216580478345186,-0.4744,-0.42924913811678517,0.6,0.6,0.2,0.0,0.0,2.0,2.0,0.0,0.0,0.0
