Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-06,Martín_Pérez,527048,pitcher,ATL,MIN,2026,831521,0,144,142,0,0.0,3.0,0.0,0.0,3.0,12.0,42.0,1.0,2.0,0.0,2.2,2.2,69.0,21.428571428571427,0.3245432692307692,0.19761029411764708,1.08,0.0,87.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.02888235294117658,-0.3319552884615385,-0.9958658653846154,3.0,0.0,0.0,3.0,0.0,0.0
2026-03-11,Martín_Pérez,527048,pitcher,ATL,TB,2026,831574,1,144,139,1,0.0,6.0,3.0,6.75,4.0,17.0,51.0,1.0,4.0,1.0,4.2,4.2,67.0,35.294117647058826,0.3639166666666667,0.1961538461538462,1.08,10.0,86.0,0,5.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.017230769230769383,-0.15477499999999966,-0.7232437499999993,3.0,0.0,0.0,3.0,0.0,0.0
2026-03-18,Martín_Pérez,527048,pitcher,ATL,PHI,2026,831453,2,144,143,1,1.0,1.0,0.0,0.0,3.6666666666666665,19.0,64.0,1.0,6.0,0.0,3.472727272727273,3.472727272727273,61.0,4.6875,0.2509402356902357,0.17347317124847714,1.08,-10.0,63.0,0,7.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,4.5,1.5,3.4,4.5,1.5,3.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.6642146300121832,-0.10316893939393901,0.028585330578513535,4.5,1.5,3.375,6.0,3.0,6.75
2026-03-31,Martín_Pérez,527048,pitcher,ATL,ATH,2026,824942,3,144,133,1,0.0,3.0,0.0,0.0,4.333333333333333,14.0,47.0,0.0,2.0,0.0,1.8153846153846156,1.8153846153846156,66.0,19.148936170212767,0.2078030303030303,0.3608833432362844,1.08,0.0,79.0,0,13.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,3.5,0.5,2.2,3.5,0.5,2.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.29506674589027515,-0.1372863636363636,-1.4466716783216784,3.3333333333333335,1.0,2.25,1.0,0.0,0.0
2026-04-05,Martín_Pérez,527048,pitcher,ATL,AZ,2026,825102,4,144,109,0,1.0,1.0,4.0,7.2,5.0,20.0,75.0,1.0,5.0,0.0,3.4000000000000004,3.4000000000000004,63.0,4.0,0.20523919753086428,0.21389415981446347,1.08,0.0,76.0,0,5.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,3.5,0.5,1.7,3.5,0.5,1.7,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.6608467214842926,-0.32882361111111064,-1.391882499999999,3.25,0.75,1.6875,3.0,0.0,0.0
2026-04-11,Martín_Pérez,527048,pitcher,ATL,CLE,2026,824939,5,144,114,1,1.0,2.0,1.0,1.8,5.0,19.0,86.0,3.0,2.0,1.0,6.800000000000001,6.800000000000001,62.0,6.976744186046512,0.3702807692307692,0.18997984851643382,1.08,0.0,81.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2.5,1.5,2.8,2.5,1.5,2.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.45616121186852965,0.5218634615384614,0.839354230769231,2.8,1.4,2.79,1.0,4.0,7.2
2026-04-17,Martín_Pérez,527048,pitcher,ATL,PHI,2026,823476,6,144,143,0,1.0,4.0,0.0,0.0,6.0,26.0,94.0,2.0,4.0,0.0,2.8666666666666667,2.8666666666666667,63.0,12.76595744680851,0.2971982323232324,0.23443963443963445,1.08,-11.0,78.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,1.5,3.2,2.5,1.5,3.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.1044829244829244,-0.14300795454545434,-1.1645119318181818,2.6,1.6,3.15,2.0,1.0,1.8
2026-04-22,Martín_Pérez,527048,pitcher,ATL,WSH,2026,822748,7,144,120,0,0.0,4.0,2.0,6.0,3.0,12.0,52.0,0.0,3.0,2.0,9.2,9.2,63.0,23.07692307692308,0.2911296296296297,0.24403239556692247,1.08,7.0,72.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.03574083546462026,0.2376833333333337,0.41305000000000125,2.2,1.0,1.8,4.0,0.0,0.0
2026-04-28,Martín_Pérez,527048,pitcher,ATL,DET,2026,824931,8,144,116,1,1.0,5.0,0.0,0.0,5.0,21.0,91.0,4.0,2.0,0.0,3.6,3.6,57.99999999999999,16.483516483516482,0.399354797979798,0.19258219258219259,1.08,-6.0,65.0,0,6.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,2.5,1.5,3.0,2.5,1.5,3.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.015342459342459591,0.3326965909090911,0.29885386363636446,2.8,1.4,3.0,4.0,2.0,6.0
2026-05-06,Martín_Pérez,527048,pitcher,ATL,SEA,2026,823141,9,144,136,0,1.0,5.0,2.0,3.176470588235294,5.666666666666667,22.0,84.0,1.0,5.0,1.0,4.258823529411765,4.258823529411765,64.0,17.857142857142858,0.27498989898989895,0.3139083139083139,1.08,7.0,58.0,0,8.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,3.5,1.5,3.0,3.5,1.5,3.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.38326651126651123,-0.5469454545454546,-1.4863251336898398,3.2,1.4,3.0,5.0,0.0,0.0
