Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-04,Matt_Krook,640454,pitcher,ATH,AZ,2026,831963,0,133,109,1,0.0,0.0,0.0,0.0,1.0,4.0,14.0,0.0,1.0,0.0,3.2,3.2,64.0,0.0,0.4035443899782135,0.14293817356778218,1.0611111111111111,3.0,79.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-2.5,0.009949754901960928,3.0895477941176486,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Matt_Krook,640454,pitcher,ATH,LAD,2026,831812,1,133,119,1,0.0,1.0,4.0,27.0,1.3333333333333333,9.0,34.0,1.0,5.0,1.0,13.7,13.7,53.0,8.823529411764707,0.3527777777777778,0.13467597565341927,1.0611111111111111,0.0,85.0,0,4.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-2.5,-0.21849999999999986,0.4001250000000012,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,Matt_Krook,640454,pitcher,ATH,TEX,2026,831936,2,133,140,0,0.0,1.0,0.0,0.0,0.6666666666666666,4.0,21.0,2.0,0.0,0.0,9.2,9.2,52.0,14.285714285714285,0.35337962962962965,0.19311619311619313,1.0611111111111111,0.0,86.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,1.5,13.5,2.5,1.5,13.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-2.0795148995148995,0.8642083333333335,18.416812500000002,0.5,2.0,13.5,1.0,4.0,27.0
2026-03-15,Matt_Krook,640454,pitcher,ATH,CLE,2026,831944,3,133,114,0,0.0,2.0,0.0,0.0,0.6666666666666666,2.0,12.0,0.0,0.0,0.0,-2.8,-2.8,57.99999999999999,50.0,0.24651960784313723,0.34129987851602656,1.08,5.0,86.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,1.5,9.0,2.5,1.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.7816009718717876,-0.7230617647058823,1.4886661764705895,0.6666666666666666,1.3333333333333333,9.0,1.0,0.0,0.0
2026-03-23,Matt_Krook,640454,pitcher,ATH,CWS,2026,831915,4,133,145,1,0.0,1.0,1.0,13.5,0.6666666666666666,4.0,16.0,2.0,0.0,0.0,9.2,9.2,44.0,18.75,0.30672113289760355,0.22033685268979386,1.0611111111111111,0.0,88.0,0,8.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,6.8,2.5,0.5,6.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-1.3617496229260937,0.29424509803921606,3.9223088235294172,1.0,1.0,6.75,2.0,0.0,0.0
2026-06-21,Matt_Krook,640454,pitcher,ATH,LAA,2026,824987,5,133,108,1,0.0,0.0,0.0,0.0,1.0,3.0,18.0,1.0,0.0,0.0,6.2,6.2,50.0,0.0,0.3334654882154882,0.2517825311942959,1.08,4.0,83.0,0,90.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,2.5,0.5,8.1,2.5,0.5,8.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-1.2577397504456331,0.5881946969696972,1.6937522727272754,1.0,1.0,8.1,1.0,1.0,13.5
2026-06-23,Matt_Krook,640454,pitcher,ATH,SF,2026,823210,6,133,137,0,0.0,2.0,0.0,0.0,1.3333333333333333,6.0,25.0,1.0,1.0,0.0,2.45,2.45,68.0,24.0,0.26305555555555554,0.2082152082152083,1.08,9.0,60.0,0,2.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,2.5,0.5,8.1,2.5,0.5,8.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-1.7462783342783337,0.11135000000000006,-3.9733874999999994,1.0,1.0,8.1,0.0,0.0,0.0
2026-06-25,Matt_Krook,640454,pitcher,ATH,SF,2026,823209,7,133,137,0,0.0,1.0,2.0,54.0,0.3333333333333333,3.0,13.0,1.0,1.0,0.0,6.2,6.2,62.0,23.076923076923077,0.27674494949494943,0.2899088928500693,1.08,0.0,64.0,0,2.0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,2.5,0.5,2.7,2.5,0.5,2.7,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.6687288571994454,-0.4030477272727275,-0.08228863636364192,1.2,0.2,2.7,2.0,0.0,0.0
2026-06-27,Matt_Krook,640454,pitcher,ATH,LAA,2026,824015,8,133,108,0,0.0,1.0,1.0,13.5,0.6666666666666666,5.0,12.0,0.0,1.0,0.0,0.20000000000000018,0.20000000000000018,75.0,25.0,0.2964911616161616,0.2953925507116996,1.08,0.0,73.0,0,2.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,2.5,0.5,13.5,2.5,0.5,13.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.7648595943064032,0.29381022727272743,-2.783561931818179,1.2,0.6,13.5,1.0,2.0,54.0
2026-06-29,Matt_Krook,640454,pitcher,ATH,LAD,2026,824986,9,133,119,1,0.0,1.0,3.0,81.0,0.3333333333333333,4.0,18.0,1.0,2.0,1.0,45.2,45.2,50.0,16.666666666666664,0.3261510101010101,0.17858722436342958,1.08,5.0,87.0,0,2.0,1.2246467991473532e-16,-1.0,0.0,1.0,2.5,0.5,16.2,2.5,0.5,16.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-1.8433022050925634,0.4112795454545456,8.404547727272732,1.0,0.8,16.2,1.0,1.0,13.5
