Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-02,Matt_Shaw,hitter,CHC,CIN,2026,831930,0,112,113,0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.09302325581395349,0.3175,0.3175,0.25,21.25,49.35,4.1,8.2,13.5,1.08,0.0,86.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.9631441860465118,0.46110639534883724,0.9535843023255814,-0.35877499999999996,0.08664534883720931,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
2026-03-03,Matt_Shaw,hitter,CHC,ITA,2026,831853,1,112,841,1,2.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,0.07142857142857142,0.7200000000000001,0.7200000000000001,0.3333333333333333,28.333333333333332,65.0,4.1,8.2,4.0,1.0277777777777777,3.0,82.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.5076666666666667,0.6935833333333332,0.6127500000000001,-0.3369444444444445,-0.293,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
2026-03-05,Matt_Shaw,hitter,CHC,AZ,2026,831961,2,112,109,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,0.075,0.0,0.0,0.0,0.0,10.0,0.0,9.0,4.248701298701299,1.0277777777777777,-10.0,79.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.05113528138528167,-0.5765166666666666,0.23368506493506502,-0.49111111111111116,-0.49236493506493506,1.5,2.5,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0
2026-03-06,Matt_Shaw,hitter,CHC,SD,2026,831921,3,112,135,0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.08333333333333333,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,9.0,18.0,4.4625,1.0722222222222222,9.0,67.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.13500000000000006,-0.2157499999999999,0.287875,-0.4768888888888889,-0.293875,1.0,1.6666666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Matt_Shaw,hitter,CHC,SF,2026,831757,4,112,137,1,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,0.08108108108108109,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,16.875,6.75,5.116541353383458,1.0277777777777777,0.0,86.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.032315823342139005,-0.04137612612612629,-0.012094103501998243,-0.49111111111111116,-0.3528215809794757,1.25,1.75,0.5,0.0,0.0,2.0,2.0,0.0,0.0,0.0
2026-03-10,Matt_Shaw,hitter,CHC,TEX,2026,831920,5,112,140,0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,0.08333333333333333,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,4.1,8.2,5.175904452690167,1.0611111111111111,-5.0,73.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.3177971552257264,1.1255833333333332,0.20154522263450847,-0.15544444444444444,-0.2262047773654916,1.2,1.6,0.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-11,Matt_Shaw,hitter,CHC,KC,2026,831849,6,112,118,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,0.047619047619047616,0.8049999999999999,0.8049999999999999,0.0,0.0,65.0,27.0,4.5,4.700371057513915,1.0277777777777777,0.0,77.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.20165182436611007,0.5858333333333334,0.2705185528756958,-0.2511111111111112,0.03551855287569572,1.2,2.0,0.4,0.2,0.2,1.0,4.0,1.0,1.0,1.0
2026-03-14,Matt_Shaw,hitter,CHC,COL,2026,831928,7,112,115,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.08571428571428572,0.45999999999999996,0.45999999999999996,0.0,0.0,55.199999999999996,0.0,0.0,6.73109243697479,1.0611111111111111,0.0,84.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,1.0732436974789916,-0.1798166666666665,0.2903046218487395,-0.34044444444444444,-0.0816453781512605,1.0,1.6,0.4,0.2,0.2,1.0,1.0,1.0,0.0,0.0
2026-03-15,Matt_Shaw,hitter,CHC,LAD,2026,831814,8,112,119,1,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,7.0,0.0625,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,1.6875,11.8125,5.186434573829532,1.0277777777777777,0.0,85.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.23537404961984798,-0.33116666666666683,0.030488395358143294,-0.35111111111111115,-0.16617827130852336,1.0,1.6,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2026-03-16,Matt_Shaw,hitter,CHC,CLE,2026,831924,9,112,114,0,2.0,3.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.08108108108108109,0.7200000000000001,0.7200000000000001,0.3333333333333333,28.333333333333332,65.0,0.0,15.0,2.3291208791208793,1.08,6.0,90.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.041420691020691125,0.21719054054054054,0.07736820611820616,-0.1802333333333333,-0.2291926046926046,0.8,1.4,0.4,0.2,0.2,1.0,1.0,0.0,0.0,0.0
