Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-02,Michael_King,pitcher,SD,ATH,2026,831934,0,135,133,1,3.0,4.0,15.428571428571427,2.3333333333333335,13.0,57.0,2.0,5.0,1.0,8.771428571428572,8.771428571428572,56.00000000000001,15.789473684210526,0.4864814814814815,0.2857142857142857,1.0722222222222222,0.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,3.5,15.4,2.5,3.5,15.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:21:00.460120+00:00,0.7368253968253966,0.9111666666666665,1.6144999999999978,3.0,4.0,15.428571428571427,3.0,4.0,15.428571428571427
2026-03-07,Michael_King,pitcher,SD,CLE,2026,831774,1,135,114,0,2.0,3.0,7.363636363636364,3.6666666666666665,16.0,73.0,2.0,3.0,1.0,7.290909090909091,7.290909090909091,64.0,8.21917808219178,0.3257407407407407,0.23785658363381743,1.08,-8.0,75.0,0,5.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,3.5,15.4,2.5,3.5,15.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:21:00.460120+00:00,0.35085266907053914,0.19343333333333312,-6.334300000000001,3.0,4.0,15.428571428571427,3.0,4.0,15.428571428571427
2026-03-13,Michael_King,pitcher,SD,ATH,2026,831778,2,135,133,0,5.0,6.0,13.5,4.0,22.0,80.0,1.0,7.0,3.0,11.2,11.2,69.0,18.75,0.41122807017543855,0.19981933152664857,1.0611111111111111,0.0,89.0,0,6.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,3.5,11.4,2.5,3.5,11.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:21:00.460120+00:00,-0.44588979223125547,0.044526315789473525,-3.4248157894736853,2.5,3.5,11.396103896103895,2.0,3.0,7.363636363636364
2026-03-19,Michael_King,pitcher,SD,CWS,2026,831907,3,135,145,1,3.0,6.0,10.8,5.0,23.0,91.0,2.0,9.0,3.0,11.0,11.0,57.99999999999999,9.89010989010989,0.30669485294117643,0.24321923891507824,1.0722222222222222,0.0,97.0,0,6.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,3.5,4.5,12.1,3.5,4.5,12.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:21:00.460120+00:00,-0.08313497756826305,-0.3378731617647066,-4.608171691176471,3.3333333333333335,4.333333333333333,12.097402597402597,5.0,6.0,13.5
2026-03-27,Michael_King,pitcher,SD,DET,2026,823324,4,135,116,1,6.0,0.0,0.0,5.0,20.0,82.0,4.0,1.0,0.0,3.2,3.2,56.00000000000001,21.951219512195124,0.3699520697167756,0.1970845972362656,1.08,0.0,66.0,0,8.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,3.5,4.5,11.8,3.5,4.5,11.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:21:00.460120+00:00,-0.7953232221098756,0.2523843137254902,-3.245708235294117,3.25,4.75,11.773051948051947,3.0,6.0,10.8
2026-04-03,Michael_King,pitcher,SD,BOS,2026,824786,5,135,111,0,5.0,4.0,6.352941176470588,5.666666666666667,24.0,81.0,1.0,7.0,1.0,4.258823529411765,4.258823529411765,72.0,18.51851851851852,0.2730005611672279,0.37051832617597125,1.08,6.0,56.0,0,7.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,3.5,3.5,9.4,3.5,3.5,9.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:21:00.460120+00:00,1.408146609407769,-0.8278974747474748,-5.156072459893048,3.8,3.8,9.418441558441558,6.0,0.0,0.0
2026-04-08,Michael_King,pitcher,SD,PIT,2026,823403,6,135,134,0,4.0,2.0,3.0,6.0,24.0,95.0,3.0,4.0,0.0,3.3666666666666667,3.3666666666666667,60.0,12.631578947368421,0.3397722222222222,0.17064564564564563,1.08,-8.0,46.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,4.5,3.5,7.6,4.5,3.5,7.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:21:00.460120+00:00,-1.042834834834835,0.11257499999999965,-2.1811375,4.2,3.8,7.603315508021391,5.0,4.0,6.352941176470588
2026-04-14,Michael_King,pitcher,SD,SEA,2026,823315,7,135,136,1,5.0,1.0,1.5,6.0,25.0,85.0,2.0,4.0,0.0,2.5333333333333337,2.5333333333333337,57.99999999999999,17.647058823529413,0.3880791245791246,0.15394341710131185,1.08,0.0,66.0,0,6.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,4.5,3.5,6.7,4.5,3.5,6.7,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:21:00.460120+00:00,-1.0284526631895057,-0.13404393939393966,-1.65106590909091,4.6,3.6,6.730588235294118,4.0,2.0,3.0
2026-04-19,Michael_King,pitcher,SD,LAA,2026,824047,8,135,108,0,6.0,0.0,0.0,5.0,19.0,105.0,4.0,1.0,0.0,3.2,3.2,60.0,17.142857142857142,0.3322651515151515,0.21705146705146702,1.08,0.0,78.0,0,5.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,4.5,2.5,4.3,4.5,2.5,4.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:21:00.460120+00:00,-0.3835882635882646,-0.26520681818181835,-0.2773722727272725,4.6,2.6,4.330588235294117,5.0,1.0,1.5
2026-04-26,Michael_King,pitcher,SD,AZ,2026,825094,9,135,109,0,8.0,2.0,3.0,6.0,22.0,106.0,1.0,3.0,2.0,5.366666666666667,5.366666666666667,61.0,22.641509433962266,0.3327255892255892,0.1906135660005629,1.08,0.0,85.0,0,7.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,5.5,1.5,2.2,5.5,1.5,2.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:21:00.460120+00:00,-1.0230914719954978,-0.2871348484848484,-0.38070227272727286,5.2,1.4,2.1705882352941175,6.0,0.0,0.0
