Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-01,Michael_Wacha,pitcher,KC,MIL,2026,831794,0,118,158,1,3.0,0.0,0.0,2.0,6.0,20.0,0.0,0.0,0.0,0.20000000000000018,0.20000000000000018,70.0,45.0,0.315,0.225,1.0611111111111111,2.0,87.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:52:17.883149+00:00,0.255555555555556,-0.38849999999999996,-0.9982499999999996,3.0,0.0,0.0,3.0,0.0,0.0
2026-03-13,Michael_Wacha,pitcher,KC,AZ,2026,831958,1,118,109,1,6.0,4.0,10.799999999999999,3.3333333333333335,17.0,58.0,3.0,4.0,1.0,6.2,6.2,60.0,31.03448275862069,0.18125363108206247,0.2763305322128851,1.0611111111111111,-4.0,86.0,0,12.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:52:17.883149+00:00,0.6661998132586366,-0.5,-1.5,3.0,0.0,0.0,3.0,0.0,0.0
2026-03-18,Michael_Wacha,pitcher,KC,TEX,2026,831833,2,118,140,0,4.0,5.0,13.5,3.3333333333333335,17.0,75.0,1.0,6.0,1.0,5.6,5.6,64.0,16.0,0.27348629007158415,0.19416446715133184,1.0611111111111111,0.0,95.0,0,5.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,4.5,1.5,5.4,4.5,1.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:52:17.883149+00:00,-0.49112870723378954,0.5046883053221287,0.0126584243697474,4.5,2.0,5.3999999999999995,6.0,4.0,10.799999999999999
2026-03-23,Michael_Wacha,pitcher,KC,TEX,2026,831838,3,118,140,0,5.0,2.0,3.6,5.0,22.0,88.0,3.0,4.0,1.0,5.6,5.6,56.00000000000001,17.045454545454543,0.2738099128540305,0.2890576712784672,1.08,-4.0,77.0,0,5.0,1.0,6.123233995736766e-17,0.0,1.0,4.5,2.5,8.1,4.5,2.5,8.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:52:17.883149+00:00,-0.13953862977226272,0.39974460784313726,-2.8804597058823527,4.333333333333333,3.0,8.1,4.0,5.0,13.5
2026-03-28,Michael_Wacha,pitcher,KC,ATL,2026,824945,4,118,144,0,7.0,0.0,0.0,6.0,20.0,80.0,1.0,3.0,0.0,1.366666666666667,1.366666666666667,71.0,26.25,0.3816234567901235,0.2210526315789474,1.08,0.0,64.0,0,5.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,4.5,2.5,7.0,4.5,2.5,7.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:52:17.883149+00:00,-0.42357894736842105,0.22490555555555547,-2.9126416666666666,4.5,2.75,6.975,5.0,2.0,3.6
2026-04-06,Michael_Wacha,pitcher,KC,CLE,2026,824456,5,118,114,0,3.0,1.0,1.2857142857142858,7.0,26.0,102.0,3.0,3.0,1.0,5.485714285714286,5.485714285714286,61.0,8.823529411764707,0.352757495590829,0.14089635854341737,1.08,0.0,47.0,0,9.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,4.5,2.5,5.6,4.5,2.5,5.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:52:17.883149+00:00,-0.4248291316526611,-0.6209912698412694,-3.1841316326530604,5.0,2.2,5.58,7.0,0.0,0.0
2026-04-11,Michael_Wacha,pitcher,KC,CWS,2026,824129,6,118,145,1,7.0,0.0,0.0,8.0,28.0,88.0,1.0,4.0,0.0,1.8250000000000002,1.8250000000000002,72.0,23.863636363636363,0.20228888888888896,0.2698412698412698,1.06,-11.0,75.0,0,5.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,4.5,2.5,5.8,4.5,2.5,5.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:52:17.883149+00:00,0.054730158730158074,-1.0084999999999997,-4.122062499999999,5.0,2.4,5.837142857142856,3.0,1.0,1.2857142857142858
2026-04-17,Michael_Wacha,pitcher,KC,NYY,2026,823559,7,118,147,0,6.0,2.0,3.0,6.0,24.0,97.0,3.0,3.0,1.0,4.866666666666667,4.866666666666667,59.0,18.556701030927837,0.26052188552188554,0.2562169312169312,1.08,0.0,74.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,5.5,1.5,3.7,5.5,1.5,3.7,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:52:17.883149+00:00,-0.3582645502645505,-0.468051515151515,-2.152077272727273,5.2,1.6,3.677142857142857,7.0,0.0,0.0
2026-04-22,Michael_Wacha,pitcher,KC,BAL,2026,824123,8,118,110,1,5.0,6.0,10.125,5.333333333333333,25.0,89.0,2.0,7.0,1.0,4.8875,4.8875,63.0,16.853932584269664,0.2649785353535354,0.24058997407261684,1.06,0.0,66.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,5.5,0.5,1.6,5.5,0.5,1.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-06T21:52:17.883149+00:00,-0.32728020741906594,0.4256034090909093,-0.038044247159090494,5.6,1.0,1.5771428571428572,6.0,2.0,3.0
2026-04-29,Michael_Wacha,pitcher,KC,ATH,2026,825015,9,118,133,0,5.0,4.0,7.2,5.0,25.0,105.0,4.0,8.0,1.0,6.2,6.2,61.0,14.285714285714285,0.2849146464646464,0.212719298245614,1.08,0.0,80.0,0,7.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,4.5,3.5,2.9,5.5,1.5,2.9,real,real,synthetic,9.0,5.0,0.0,0.0,0.0,-110.0,0.0,0.0,-110.0,0.5270462766947299,0.0,0.0,2026-04-30T03:22:26.750124+00:00,0.30175438596491233,-1.254284090909091,1.1422886363636358,5.6,1.8,2.882142857142857,5.0,6.0,10.125
