Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-02,Miguel_Vargas,hitter,CWS,SF,2026,831760,0,145,137,1,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.07692307692307693,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,0.0,1.0611111111111111,2.0,86.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.3904102564102564,0.3650833333333333,-0.5,-0.48044444444444445,-0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-03,Miguel_Vargas,hitter,CWS,SD,2026,831772,1,145,135,1,2.0,5.0,2.0,1.0,1.0,3.0,3.0,0.0,1.0,3.0,0.07894736842105263,0.9966666666666667,0.9966666666666667,1.0,30.0,65.0,4.1,8.2,5.175,1.0611111111111111,-2.0,83.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.5863859649122807,1.8822938596491228,0.09314035087719297,-0.15544444444444444,-0.14240789473684212,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-05,Miguel_Vargas,hitter,CWS,CLE,2026,831880,2,145,114,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.05405405405405406,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.100961538461538,1.0611111111111111,18.0,73.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.05983541233541212,0.0066103603603604455,0.3799061850311851,-0.030444444444444496,-0.024384355509355526,1.5,3.0,1.0,0.5,0.5,2.0,5.0,2.0,1.0,1.0
2026-03-07,Miguel_Vargas,hitter,CWS,SEA,2026,831904,3,145,136,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.06976744186046512,0.0,0.0,0.0,0.0,10.0,40.5,0.0,11.734118993135011,1.0722222222222222,-10.0,75.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,1.0732562325936175,-0.29089728682170546,0.2780295930676032,-0.24355555555555558,0.10241912795132424,1.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
2026-03-08,Miguel_Vargas,hitter,CWS,KC,2026,831848,4,145,118,1,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.12121212121212122,0.0,0.0,0.0,0.0,10.0,10.125,0.0,3.7409090909090907,1.0611111111111111,-9.0,85.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.7004848484848485,-0.5500530303030303,-0.1634772727272727,-0.30544444444444446,-0.2934090909090909,0.75,1.5,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2026-03-10,Miguel_Vargas,hitter,CWS,ATH,2026,831918,5,145,133,0,2.0,3.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0,3.0,0.09302325581395349,0.7125,0.7125,0.3333333333333333,28.333333333333332,65.0,0.0,9.0,6.667897539183618,1.0611111111111111,11.0,71.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.15879342094718962,-0.04621027131782918,0.2852291792847623,-0.18627777777777776,-0.0004597742036098196,0.6,1.2,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2026-03-14,Miguel_Vargas,hitter,CWS,LAD,2026,831809,6,145,119,1,1.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,2.0,0.10526315789473684,0.49,0.49,0.3333333333333333,28.333333333333332,65.0,0.0,9.0,4.7326530612244895,1.0611111111111111,0.0,88.0,0,4.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.5947096312209095,0.5350307017543856,0.6275142320085929,-0.18627777777777776,-0.14957787325456495,0.8,1.6,0.8,0.2,0.2,2.0,3.0,2.0,0.0,0.0
2026-03-15,Miguel_Vargas,hitter,CWS,KC,2026,831913,7,145,118,0,2.0,4.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,3.0,0.0975609756097561,0.98,0.98,1.0,30.0,65.0,1.8,14.4,6.323128586153797,1.0611111111111111,-6.0,86.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.09167311092582664,2.0351199186991864,0.6888332585759827,-0.15544444444444444,-0.06811186337523695,0.6,1.0,0.6,0.0,0.0,1.0,2.0,1.0,0.0,0.0
2026-03-17,Miguel_Vargas,hitter,CWS,ATH,2026,831942,8,145,133,1,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,3.0,0.11428571428571428,0.1725,0.1725,0.0,0.0,20.7,0.0,13.5,3.9711393869288614,1.0611111111111111,0.0,91.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.5025122421438211,0.2660083333333336,0.2761819693464431,-0.48044444444444445,-0.40829303065355693,1.0,1.8,0.8,0.0,0.0,2.0,4.0,1.0,0.0,0.0
2026-03-19,Miguel_Vargas,hitter,CWS,SD,2026,831907,9,145,135,0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,2.0,0.0975609756097561,0.1725,0.1725,0.0,0.0,20.7,0.0,9.0,4.383116883116883,1.0722222222222222,0.0,97.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.4727393094710167,-0.3069217479674795,0.41370767342413695,-0.4768888888888889,-0.4073624485270827,1.0,1.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
