Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-03,Mitch_Garver,641598,hitter,SEA,LAA,2026,831817,0,136,108,1,691946.0,,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0454545454545454,0.445,0.445,0.0,0.0,53.4,4.1,8.2,3.0,1.0722222222222222,3.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.4508181818181818,0.4028030303030302,-0.3712272727272728,-0.4768888888888889,-0.4560454545454546,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Mitch_Garver,641598,hitter,SEA,SD,2026,831765,1,136,135,1,621111.0,Walker_Buehler,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0465116279069767,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.0722222222222222,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.46437209302325577,0.20370736434108516,-0.5,-0.4768888888888889,-0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,0.071111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1216666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5851388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258611111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Mitch_Garver,641598,hitter,SEA,CWS,2026,831904,2,136,145,1,691799.0,Grant_Taylor,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0,0.054054054054054,0.445,0.445,0.0,0.0,53.4,0.0,9.0,0.0,1.0722222222222222,-10.0,75.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.2092072072072073,-0.037806306306306436,-0.5,-0.4768888888888889,-0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,-0.8700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8262499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Mitch_Garver,641598,hitter,SEA,AZ,2026,831748,3,136,109,0,668678.0,Zac_Gallen,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,4.0,0.0909090909090909,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.316326530612245,1.0611111111111111,0.0,78.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.7295019998353907,0.03990609833939396,-0.49298054236143324,-0.4804984834236111,-0.47037813910196347,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.05,0.9425,0.0,0.0617271875,-0.5198379629629629,-0.404,0.0,0.0,0.0,0.0,-0.0012075835879629,-0.0001207583587962,-0.6109722222222221,-0.5039999999999999,0.0,0.0,0.0,0.0,-0.0017705974999999,-0.0002832955999999,-0.3822916666666665,-0.8399999999999999,0.0,0.0,0.0,0.0,-0.0018464687499999,-9.232343749999996e-05,-0.7458796296296296,-0.5039999999999999,0.0,0.0,0.0,0.0,-0.0021615591666666,-5.403897916666665e-05,-0.3573379629629629,-0.8399999999999999,0.0,0.0,0.0,0.0,-0.0017259423611111,-0.0001035565416666
2026-03-11,Mitch_Garver,641598,hitter,SEA,COL,2026,831861,4,136,115,1,801403.0,Chase_Dollander,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,0.0666666666666666,0.47,0.47,0.0,0.0,56.4,3.75,5.25,9.423529411764706,1.0722222222222222,6.0,78.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.38777450980392136,-0.014085046620367359,-0.009932223983111998,-0.477329888401691,-0.10297824741322431,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.1,0.6401778610123631,0.0,0.0938244878692652,-0.8700000000000001,0.0943636363636362,0.0,0.0,0.0,0.0,0.0,0.0,-0.9025,-0.1878977272727273,0.0,0.0,0.0,0.0,-0.008135708043962,-0.0013017132870339,-0.71875,-0.2080416666666666,0.0,0.0,0.0,0.0,-0.0071738914269446,-0.0003586945713472,-0.8262499999999999,-0.445,0.0,0.0,0.0,0.0,-0.0176399805120864,-0.0004409995128021,-0.7012499999999999,-0.2748030303030302,0.0,0.0,0.0,0.0,-0.0092453000243265,-0.0005547180014595
2026-03-13,Mitch_Garver,641598,hitter,SEA,LAD,2026,831801,5,136,119,1,689017.0,,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,3.0,0.0930232558139534,0.345,0.345,0.0,0.0,41.4,4.1,8.2,4.114285714285715,1.0722222222222222,0.0,87.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.040648947951273384,-0.10225193798449617,-0.032576411960132945,-0.4768888888888889,-0.374390365448505,0.4,0.4,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.1,0.9253077650307344,0.0,0.1069983132117068,-0.6532361111111112,0.863888888888889,0.0,0.0,0.0,0.0,0.0,0.0,-0.7225833333333335,0.9149305555555556,0.0,0.0,0.0,0.0,0.0,0.0,-0.5043750000000002,0.852662037037037,0.0,0.0,0.0,0.0,0.0,0.0,-0.771361111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4807361111111112,0.8837962962962963,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-15,Mitch_Garver,641598,hitter,SEA,CIN,2026,831890,6,136,113,1,682227.0,,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,6.0,0.1081081081081081,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.747402597402598,1.0722222222222222,-4.0,86.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.05306220727756966,-0.3660653679459459,-0.3419059325594872,-0.4770730438194444,-0.4287775950641794,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,-0.5911921296296299,-0.8000000000000002,0.0,0.0,0.0,0.0,-0.0054389675925925,-0.0005438967592592,-0.6703472222222224,-0.8400000000000001,0.0,0.0,0.0,0.0,-0.0064755541666666,-0.0010360886666666,-0.421354166666667,-1.0,0.0,0.0,0.0,0.0,-0.0048455729166666,-0.0002422786458333,-0.7625462962962963,-0.8400000000000001,0.0,0.0,0.0,0.0,-0.0073661972222222,-0.0001841549305555,-0.4099421296296298,-1.0,0.0,0.0,0.0,0.0,-0.0047143344907407,-0.0002828600694444
2026-03-17,Mitch_Garver,641598,hitter,SEA,SD,2026,831769,7,136,135,1,608566.0,Germán_Márquez,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.0789473684210526,0.0,0.0,0.0,0.0,10.0,15.300000000000002,7.800000000000001,0.9107142857142858,1.0722222222222222,0.0,92.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.20085213032581473,-0.3968728070175439,-0.5,-0.477279899975017,-0.5,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.15,0.7683706381476194,0.0,0.1550478561907041,-0.81234126984127,0.5378382352941177,0.0,0.0,0.0,0.0,0.0,0.0,-0.8552380952380952,0.1069926470588234,0.0,0.0,0.0,0.0,0.0,0.0,-0.6660714285714288,0.4317524509803923,0.0,0.0,0.0,0.0,0.0,0.0,-0.8060912698412699,-0.359,0.0,0.0,0.0,0.0,-0.0156404434451278,-0.0003910110861281,-0.6409126984126985,0.3622058823529412,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,Mitch_Garver,641598,hitter,SEA,ATH,2026,831755,8,136,133,0,650644.0,Aaron_Civale,2.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.075,0.7200000000000001,0.7200000000000001,0.3333333333333333,28.33333333333333,65.0,9.204545454545455,8.28409090909091,1.314935064935065,1.0611111111111111,0.0,99.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.3233571428571429,0.19348333333333334,-0.14900324675324672,-0.3262777777777778,-0.42305324675324674,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.1,0.7736835813232648,0.0,0.1588557094621233,-0.8825000000000001,0.7489130434782608,0.0,0.0,0.0,0.0,0.0,0.0,-0.911875,0.7991304347826087,0.0,0.0,0.0,0.0,0.0,0.0,-0.71875,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.83875,0.7991304347826087,0.0,0.0,0.0,0.0,0.0,0.0,-0.7137499999999999,0.8,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-22,Mitch_Garver,641598,hitter,SEA,CWS,2026,831746,9,136,145,0,680732.0,Sean_Burke,1.0,4.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,5.0,0.0909090909090909,0.7000000000000001,0.7000000000000001,1.5,30.0,65.0,6.964285714285714,8.357142857142858,7.275824175824176,1.0611111111111111,3.0,95.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.4681455211455212,2.39385606060606,0.42608666333666334,-0.03044444444444444,-0.11229970029970027,0.4,0.6,0.4,0.0,0.0,2.0,3.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.1,0.7770885415338079,0.0,0.1754806653662108,-0.6893055555555553,0.2391987577639751,0.0,0.0,0.0,0.0,0.0,0.0,-0.7361728395061726,0.16843400621118,0.0,0.0,0.0,0.0,0.0,0.0,-0.528472222222222,0.3574107142857142,0.0,0.0,0.0,0.0,0.0,0.0,-0.6321296296296296,0.1429875776397515,0.0,0.0,0.0,0.0,0.0,0.0,-0.5050462962962959,0.3472619047619047,0.0,0.0,0.0,0.0,0.0,0.0
