Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-08,Nathan_Eovaldi,pitcher,TEX,LAA,2026,831813,0,140,108,1,4.0,2.0,3.6,5.0,21.0,68.0,1.0,5.0,0.0,2.2,2.2,72.0,17.647058823529413,0.3204833877995643,0.25766351457840814,1.0611111111111111,-18.0,84.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,3.5,1.5,3.6,3.5,1.5,3.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.3768636721828207,0.3961752450980396,-0.18688455882352883,4.0,2.0,3.6,4.0,2.0,3.6
2026-03-14,Nathan_Eovaldi,pitcher,TEX,SD,2026,831770,1,140,135,1,5.0,2.0,3.176470588235294,5.666666666666667,23.0,81.0,0.0,6.0,1.0,3.7294117647058824,3.7294117647058824,72.0,18.51851851851852,0.42575902992776066,0.22183844524270058,1.0611111111111111,-7.0,87.0,0,6.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,3.5,1.5,3.6,3.5,1.5,3.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.0902631174971602,0.869915634674923,0.16398365507193668,4.0,2.0,3.6,4.0,2.0,3.6
2026-03-20,Nathan_Eovaldi,pitcher,TEX,SF,2026,831749,2,140,137,1,0.0,0.0,0.0,4.0,15.0,36.0,1.0,4.0,0.0,3.95,3.95,75.0,0.0,0.3549945987654321,0.19600813628273583,1.0611111111111111,0.0,101.0,0,6.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,4.5,1.5,3.4,4.5,1.5,3.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.6163793541825577,0.5514756944444446,1.2158203125000004,4.5,2.0,3.388235294117647,5.0,2.0,3.176470588235294
2026-03-26,Nathan_Eovaldi,pitcher,TEX,PHI,2026,823486,3,140,143,0,7.0,5.0,9.642857142857142,4.666666666666667,22.0,80.0,0.0,8.0,2.0,5.771428571428571,5.771428571428571,69.0,26.25,0.22191993464052284,0.29091183574879226,1.08,16.0,76.0,0,6.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,1.5,2.3,2.5,1.5,2.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.3552946859903381,-0.8337602941176471,-1.0151091386554623,3.0,1.3333333333333333,2.2588235294117647,0.0,0.0,0.0
2026-04-01,Nathan_Eovaldi,pitcher,TEX,BAL,2026,824860,4,140,110,0,5.0,6.0,13.5,4.0,23.0,88.0,3.0,8.0,1.0,6.2,6.2,63.0,17.045454545454543,0.32363762626262627,0.2451127819548872,1.08,5.0,81.0,0,6.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,3.5,2.5,4.1,3.5,2.5,4.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.6889022556390971,0.08396931818181796,1.7139309659090909,4.0,2.25,4.104831932773109,7.0,5.0,9.642857142857142
2026-04-07,Nathan_Eovaldi,pitcher,TEX,SEA,2026,822916,5,140,136,1,7.0,2.0,3.0,6.0,26.0,93.0,2.0,6.0,1.0,4.033333333333333,4.033333333333333,65.0,22.58064516129032,0.20352685185185182,0.2742443885202979,1.08,0.0,71.0,0,6.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,4.5,2.5,6.0,4.5,2.5,6.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.21404489183761655,0.2434708333333333,-1.88479375,4.2,3.0,5.983865546218487,5.0,6.0,13.5
2026-04-13,Nathan_Eovaldi,pitcher,TEX,ATH,2026,825024,6,140,133,0,7.0,0.0,0.0,7.0,26.0,84.0,2.0,3.0,0.0,2.0571428571428574,2.0571428571428574,63.0,25.0,0.28787222222222214,0.215556733203792,1.08,5.0,66.0,0,6.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,4.5,2.5,5.9,4.5,2.5,5.9,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.02845386563033614,-0.016975000000000406,-2.707539285714287,4.8,3.0,5.863865546218487,7.0,2.0,3.0
2026-04-18,Nathan_Eovaldi,pitcher,TEX,SEA,2026,823151,7,140,136,0,3.0,2.0,3.6,5.0,25.0,95.0,1.0,8.0,1.0,5.2,5.2,69.0,9.473684210526317,0.2631523569023569,0.2668350168350168,1.08,6.0,70.0,0,5.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,5.5,2.5,5.2,5.5,2.5,5.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.2733198653198654,-0.7362143939393939,-2.0251859090909092,5.2,2.6,5.228571428571429,7.0,0.0,0.0
2026-04-24,Nathan_Eovaldi,pitcher,TEX,ATH,2026,822909,8,140,133,1,3.0,6.0,9.0,6.0,25.0,86.0,1.0,6.0,4.0,11.366666666666667,11.366666666666667,69.0,10.465116279069768,0.36103148148148145,0.1706817730073544,1.08,0.0,74.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,5.5,2.5,5.9,5.5,2.5,5.9,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-1.170545815941165,0.31224166666666653,-1.6816375000000008,5.8,3.0,5.948571428571428,3.0,2.0,3.6
2026-04-29,Nathan_Eovaldi,pitcher,TEX,NYY,2026,822907,9,140,147,1,7.0,0.0,0.0,7.0,26.0,102.0,1.0,4.0,0.0,1.6285714285714288,1.6285714285714288,69.0,20.588235294117645,0.30808024691358027,0.19790005316321102,1.08,0.0,74.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,7.5,2.5,5.8,4.5,3.5,5.8,real,real,synthetic,9.0,5.0,0.0,0.0,0.0,-110.0,0.0,0.0,-110.0,1.0137937550497031,0.0,0.0,2026-04-30T03:22:26.750124+00:00,-3.528799574694313,0.857961111111111,-1.482621428571429,5.0,3.2,5.82,3.0,6.0,9.0
