Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Nick_Schnell,678010,hitter,SD,SF,2026,831768,0,135,137,0,657277.0,Logan_Webb,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.030303030303030304,0.69,0.69,0.0,0.0,65.0,4.1,8.2,4.0,1.038888888888889,0.0,87.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.34412121212121205,-0.2794924242424242,-0.1855681818181818,-0.4875555555555555,-0.3503636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,Nick_Schnell,678010,hitter,SD,ATH,2026,831934,1,135,133,1,686930.0,Mason_Barnett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,4.1,8.2,6.0,1.0722222222222222,0.0,85.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.30199999999999994,-0.5,-0.5,-0.4768888888888889,-0.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5562499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Nick_Schnell,678010,hitter,SD,CWS,2026,831772,2,135,145,0,656794.0,Sean_Newcomb,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,5.0,0.047619047619047616,0.0,0.0,0.0,0.0,10.0,4.1,8.2,2.25,1.0611111111111111,-2.0,83.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.3966666666666666,-0.5,-0.5,-0.48044444444444445,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.0,1.0,0.0,0.03333333333333333,0.5756944444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1583333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5624999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7618055555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11805555555555569,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Nick_Schnell,678010,hitter,SD,SEA,2026,831765,3,135,136,0,622491.0,Luis_Castillo,1.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.015873015873015872,2.1,2.1,3.0,30.0,65.0,4.1,8.2,10.839473684210526,1.0722222222222222,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.12708771929824558,3.9552499999999995,0.9237236842105265,0.34811111111111104,0.39764035087719307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,-0.8636574074074073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9013888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6583333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8636574074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7199074074074073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Nick_Schnell,678010,hitter,SD,CHC,2026,831921,4,135,112,1,676962.0,Ben_Brown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.02857142857142857,0.69,0.69,0.0,0.0,65.0,4.1,8.2,5.846749226006192,1.0722222222222222,9.0,67.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.040130030959752205,0.9146166666666666,0.20458746130030958,-0.2018888888888889,0.3999374613003096,0.25,1.0,0.25,0.25,0.5,1.0,4.0,1.0,1.0,2.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.0,1.0,0.0,0.06666666666666667,0.25069444444444433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49687499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46631944444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7100694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Nick_Schnell,678010,hitter,SD,CLE,2026,831774,5,135,114,0,677944.0,Slade_Cecconi,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,9.0,0.08823529411764706,0.0,0.0,0.0,0.0,10.0,6.75,13.5,3.540576923076923,1.08,-8.0,75.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.4425081953246762,-0.010591698997140464,-0.4568406343755401,-0.33433627083333334,-0.23987968247383168,0.2,0.8,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.05,0.9425,0.0,0.09506052083333333,0.49930555555555567,0.20100000000000004,0.0,0.0,0.0,0.0,0.0009617873263888893,9.617873263888894e-05,0.6541666666666667,0.40412499999999996,0.0,0.0,0.0,0.0,0.0025334989149305553,0.00040535982638888884,0.6375000000000001,0.6679861111111111,0.0,0.0,0.0,0.0,0.004080977647569444,0.0002040488823784722,0.4618055555555556,0.576,0.0,0.0,0.0,0.0,0.0025491666666666666,6.372916666666667e-05,0.7805555555555554,0.7280555555555556,0.0,0.0,0.0,0.0,0.005446091499485595,0.0003267654899691357
2026-03-09,Nick_Schnell,678010,hitter,SD,TEX,2026,831725,6,135,140,1,657022.0,Trey_Supak,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.05263157894736842,0.0,0.0,0.0,0.0,10.0,4.1,8.2,6.038555194805195,1.0722222222222222,0.0,78.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.11975603782182725,-0.05360964912280708,-0.30700645078605604,-0.3368888888888889,-0.15717750341763492,0.2,0.8,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.0,1.0,0.0,0.1,-0.10555555555555558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24583333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21250000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3569444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6819444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Nick_Schnell,678010,hitter,SD,LAA,2026,831771,7,135,108,0,815083.0,Mitch_Farris,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.023809523809523808,1.27,1.27,1.0,30.0,65.0,6.0,3.0,5.675892857142857,1.038888888888889,-6.0,72.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.03939401007275145,1.671090449111111,0.26716608285714305,-0.022464359091435127,0.1721749874682541,0.2,0.8,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.05,0.9425,0.0,0.12839385416666665,0.019543650793650467,0.9520000000000001,0.0,0.0,0.0,0.0,0.0002496245370370329,2.4962453703703292e-05,0.3255952380952379,0.964,0.0,0.0,0.0,0.0,0.004211140277777775,0.0006737824444444441,0.3428571428571427,0.528,0.0,0.0,0.0,0.0,0.0024287999999999988,0.00012143999999999995,0.2820436507936508,0.964,0.0,0.0,0.0,0.0,0.003647858564814814,9.119646412037036e-05,0.6490079365079364,0.7280000000000001,0.0,0.0,0.0,0.0,0.006339076851851851,0.00038034461111111106
2026-03-12,Nick_Schnell,678010,hitter,SD,KC,2026,831839,8,135,118,1,663460.0,Kris_Bubic,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.030303030303030304,1.27,1.27,1.0,30.0,65.0,2.25,11.25,5.221606578749436,1.0722222222222222,4.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.029131044462164746,1.2203811055783493,0.3022046181408722,-0.012328914952738745,0.15602958023974323,0.4,1.2,0.2,0.2,0.4,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.1,0.8400652392332348,0.0,0.1580425341527262,0.16546717171717168,-0.05776086956521734,0.0,0.0,0.0,0.0,-0.00040762157596818514,-4.076215759681852e-05,0.4265151515151515,-0.3870380434782609,0.0,0.0,0.0,0.0,-0.007040438620165697,-0.0011264701792265115,0.3697443181818182,-0.3900344202898549,0.0,0.0,0.0,0.0,-0.006150579568361381,-0.00030752897841806906,0.46631944444444445,-0.885,0.0,0.0,0.0,0.0,-0.01760104255399468,-0.00044002606384986706,0.6678819444444444,-0.4020362318840578,0.0,0.0,0.0,0.0,-0.01145187223487055,-0.000687112334092233
2026-03-13,Nick_Schnell,678010,hitter,SD,ATH,2026,831778,9,135,133,0,650644.0,Aaron_Civale,1.0,4.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0,2.0,0.0851063829787234,0.525,0.525,0.75,30.0,65.0,4.909090909090909,9.818181818181818,4.805108354683907,1.0611111111111111,0.0,89.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.11992714643717606,1.3934652593541803,-0.16693893130352222,-0.21781418477088593,-0.29487303550908855,0.4,0.8,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.05,0.9425,0.0,0.16172718749999998,0.28464506172839493,0.391409090909091,0.0,0.0,0.0,0.0,0.0019218684685395615,0.00019218684685395616,0.5087962962962962,0.49545454545454554,0.0,0.0,0.0,0.0,0.00434847380050505,0.0006957558080808079,0.42916666666666664,0.1934545454545456,0.0,0.0,0.0,0.0,0.0014321681818181826,7.160840909090913e-05,0.6096450617283952,0.49545454545454554,0.0,0.0,0.0,0.0,0.005210386942340069,0.00013025967355850173,0.703395061728395,0.3934545454545456,0.0,0.0,0.0,0.0,0.004774006228956231,0.00028644037373737384
