Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Noelvi_Marte,682622,hitter,CIN,ATH,2026,831899,0,113,133,0,669372.0,JT_Ginn,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0857142857142857,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.0611111111111111,4.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.2473333333333333,-0.5,-0.49525,-0.48044444444444445,-0.4922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,Noelvi_Marte,682622,hitter,CIN,CHC,2026,831930,1,113,112,1,592791.0,Jameson_Taillon,2.0,5.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,7.0,0.0652173913043478,0.9966666666666668,0.9966666666666668,1.0,30.0,65.0,4.1,8.2,0.0,1.08,0.0,86.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.43773043478260865,1.116367391304348,-0.222909420289855,-0.14939999999999998,-0.417304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7374999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Noelvi_Marte,682622,hitter,CIN,SF,2026,831889,2,113,137,0,641816.0,Tyler_Mahle,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,7.0,0.0714285714285714,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,10.678846153846155,1.038888888888889,5.0,68.0,0,4.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.8548205128205129,-0.1615833333333332,0.8538589743589744,-0.037555555555555564,0.4139423076923078,1.0,2.5,1.0,0.5,0.5,2.0,5.0,2.0,1.0,1.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,-0.0618055555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2104166666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6631944444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Noelvi_Marte,682622,hitter,CIN,SD,2026,831892,3,113,135,0,670810.0,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0833333333333333,0.0,0.0,0.0,0.0,10.0,4.1,8.2,0.6,1.0722222222222222,-7.0,85.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.4245,-0.13608333333333356,-0.24158333333333337,-0.24355555555555558,-0.43833333333333335,1.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,-0.0688425925925924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2697222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1583333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5686574074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6249074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Noelvi_Marte,682622,hitter,CIN,ATH,2026,831943,4,113,133,1,678022.0,Jack_Perkins,1.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,7.0,0.0638297872340425,0.4233333333333333,0.4233333333333333,0.3333333333333333,28.33333333333333,65.0,4.1,8.2,9.824688966495689,1.08,-6.0,78.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.42588401256053665,-0.013147872340425693,0.27124331357301135,-0.14523333333333338,0.0702982781120185,0.75,1.5,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,-0.5007638888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1258333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2218749999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3096527777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2179861111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,Noelvi_Marte,682622,hitter,CIN,MIL,2026,831793,5,113,158,1,688107.0,Robert_Gasser,2.0,6.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,6.0,0.0789473684210526,1.1233333333333333,1.1233333333333333,1.3333333333333333,30.0,65.0,10.125,6.75,2.8734890109890108,1.08,4.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.4118921920185078,1.8603658743641693,0.2737314680933103,0.07390017891319445,0.21260101496097916,0.8,1.6,0.4,0.2,0.4,1.0,2.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.05,0.9425,0.0,0.0950605208333333,-0.2920694444444441,0.3779711538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0711388888888891,0.0490288461538461,0.0,0.0,0.0,0.0,3.3425302372685334e-05,5.3480483796296535e-06,-0.1114583333333329,0.5083173076923079,0.0,0.0,0.0,0.0,0.0,0.0,0.6318888888888889,-0.219,0.0,0.0,0.0,0.0,-0.0013261768055555,-3.31544201388889e-05,0.4058472222222223,0.361923076923077,0.0,0.0,0.0,0.0,0.0014076524728454,8.445914837072652e-05
2026-03-12,Noelvi_Marte,682622,hitter,CIN,LAD,2026,831894,6,113,119,0,608344.0,,2.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,7.0,0.075,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,4.1,8.2,4.355357142857143,1.0611111111111111,0.0,90.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.14331268882275117,0.3133103111111111,0.3094848424823633,-0.10020590596064827,0.851383103331129,1.2,2.8,0.6,0.4,1.0,2.0,6.0,1.0,1.0,3.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,0.193935185185185,1.0,0.0,0.0,0.0,0.0,0.0022302546296296,0.0002230254629629,0.4494444444444443,1.0,0.0,0.0,0.0,0.0,0.0051686111111111,0.0008269777777777,0.3076388888888888,0.7555555555555555,0.0,0.0,0.0,0.0,0.0026730401234567,0.0001336520061728,0.829699074074074,1.0,0.0,0.0,0.0,0.0,0.0095415393518518,0.0002385384837962,0.6856018518518517,0.8777777777777778,0.0,0.0,0.0,0.0,0.0069207698045267,0.0004152461882716
2026-03-13,Noelvi_Marte,682622,hitter,CIN,SF,2026,831759,7,113,137,1,687931.0,Carson_Whisenhunt,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,6.0,0.0967741935483871,0.0,0.0,0.0,0.0,10.0,10.8,12.900000000000002,4.752872127872128,1.08,5.0,86.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.3407363779152819,-0.8549097250896056,-0.3559328541798703,-0.3346598015046296,0.39787636772873214,1.2,2.2,0.2,0.2,1.0,2.0,2.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.05,0.9425,0.0,0.1283938541666666,0.3796230158730156,-1.0,0.0,0.0,0.0,0.0,-0.0050932754629629,-0.0005093275462962,0.5763095238095237,-1.0,0.0,0.0,0.0,0.0,-0.0077321527777777,-0.0012371444444444,0.3904761904761903,-1.0,0.0,0.0,0.0,0.0,-0.0052388888888888,-0.0002619444444444,0.7745634920634921,-1.0,0.0,0.0,0.0,0.0,-0.0103920601851851,-0.0002598015046296,0.71265873015873,-1.0,0.0,0.0,0.0,0.0,-0.0095615046296296,-0.0005736902777777
2026-03-15,Noelvi_Marte,682622,hitter,CIN,SEA,2026,831890,8,113,136,0,669923.0,George_Kirby,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,6.0,0.073170731707317,0.0,0.0,0.0,0.0,10.0,3.0,6.0,10.907142857142857,1.0722222222222222,-4.0,86.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.7964375562288035,-0.28768106203971255,-0.07779417449162879,-0.33702233341145826,0.5180480029622556,1.0,2.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.05,0.9425,0.0,0.1450605208333333,0.1299999999999996,-0.3802692307692307,0.0,0.0,0.0,0.0,-0.0007580033333333,-7.58003333333331e-05,0.4058333333333331,-0.5023557692307692,0.0,0.0,0.0,0.0,-0.0031260483173076,-0.0005001677307692,0.2520833333333331,-0.499003205128205,0.0,0.0,0.0,0.0,-0.0019287859998219,-9.643929999109676e-05,0.6568229166666667,-0.5299999999999999,0.0,0.0,0.0,0.0,-0.0053377809027777,-0.0001334445225694,0.6612499999999999,-0.5883461538461537,0.0,0.0,0.0,0.0,-0.0059653397115384,-0.0003579203826923
2026-03-17,Noelvi_Marte,682622,hitter,CIN,CLE,2026,831883,9,113,114,1,663465.0,,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,6.0,0.05,1.05,1.05,1.5,30.0,65.0,4.1,8.2,1.9591836734693877,1.08,0.0,90.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.31693401360544227,1.96375,0.02320918367346947,0.11560000000000004,0.3587591836734694,1.0,2.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.0,1.0,0.0,0.15,-0.1232947530864193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2225462962962966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684027777777782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5652469135802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.562121913580247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
