Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-04-07,Orion_Kerkering,pitcher,PHI,SF,2026,823235,0,143,137,0,0.0,2.0,18.0,1.0,6.0,26.0,1.0,2.0,0.0,6.2,6.2,65.0,0.0,0.21795005611672277,0.19429492291334396,1.08,12.0,59.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,2.5,1.5,18.0,2.5,1.5,18.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-2.5,-0.05162474747474732,-4.964622727272726,0.0,2.0,18.0,0.0,2.0,18.0
2026-04-10,Orion_Kerkering,pitcher,PHI,AZ,2026,823482,1,143,109,1,0.0,0.0,0.0,1.0,4.0,13.0,0.0,1.0,0.0,3.2,3.2,69.0,0.0,0.3052703703703703,0.21974559458513246,1.08,12.0,68.0,0,3.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,1.5,18.0,2.5,1.5,18.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-2.3740352433189402,0.3413166666666665,-1.4281500000000023,0.0,2.0,18.0,0.0,2.0,18.0
2026-04-11,Orion_Kerkering,pitcher,PHI,AZ,2026,823480,2,143,109,1,1.0,0.0,0.0,1.0,3.0,14.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,64.0,21.428571428571427,0.3187759259259259,0.23407810891764677,1.08,-14.0,62.0,0,1.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-2.259375128658826,0.3620916666666667,-1.2411750000000001,0.0,1.0,9.0,0.0,0.0,0.0
2026-04-13,Orion_Kerkering,pitcher,PHI,CHC,2026,823481,3,143,112,1,3.0,0.0,0.0,1.3333333333333333,5.0,18.0,0.0,1.0,0.0,-1.2999999999999998,-1.2999999999999998,83.0,50.0,0.320284188034188,0.2015204678362573,1.08,16.0,78.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,2.5,0.5,6.0,2.5,0.5,6.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-2.1398362573099416,0.12887884615384615,-1.7550677884615382,0.3333333333333333,0.6666666666666666,6.0,1.0,0.0,0.0
2026-04-17,Orion_Kerkering,pitcher,PHI,ATL,2026,823476,4,143,144,1,0.0,1.0,9.0,1.0,5.0,21.0,0.0,2.0,1.0,16.2,16.2,71.0,0.0,0.32443518518518516,0.21481481481481488,1.08,-11.0,78.0,0,4.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,4.5,2.5,0.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-1.273481481481481,0.02755833333333335,0.24802500000000016,1.0,0.5,4.5,3.0,0.0,0.0
2026-04-19,Orion_Kerkering,pitcher,PHI,ATL,2026,823475,5,143,144,1,0.0,0.0,0.0,1.0,4.0,13.0,1.0,0.0,0.0,6.2,6.2,54.0,0.0,0.3939685185185185,0.20113548034705156,1.08,0.0,53.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,5.4,2.5,0.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-1.9469161572235878,0.5724583333333333,4.2521249999999995,0.8,0.6,5.4,0.0,1.0,9.0
2026-04-21,Orion_Kerkering,pitcher,PHI,CHC,2026,824690,6,143,112,0,0.0,0.0,0.0,0.3333333333333333,3.0,15.0,2.0,0.0,0.0,21.2,21.2,40.0,0.0,0.3802083333333333,0.19591466466466465,1.0522222222222224,3.0,72.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-1.977571571571572,0.042537500000000006,12.8485125,0.8,0.2,1.8,0.0,0.0,0.0
2026-04-23,Orion_Kerkering,pitcher,PHI,CHC,2026,824689,7,143,112,0,1.0,0.0,0.0,1.0,5.0,19.0,1.0,1.0,0.0,4.2,4.2,57.99999999999999,15.789473684210526,0.420459595959596,0.19566276803118907,1.0522222222222224,0.0,68.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-1.9795867446393767,0.22366818181818204,4.713013636363638,0.8,0.2,1.8,0.0,0.0,0.0
2026-04-25,Orion_Kerkering,pitcher,PHI,ATL,2026,824933,8,143,144,0,1.0,0.0,0.0,1.3333333333333333,5.0,18.0,1.0,0.0,0.0,3.95,3.95,61.0,16.666666666666664,0.3677659932659933,0.13973938973938976,1.08,0.0,68.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-2.298084882084882,0.006546969696969995,1.6191920454545474,0.8,0.2,1.8,1.0,0.0,0.0
2026-04-28,Orion_Kerkering,pitcher,PHI,SF,2026,823473,9,143,137,1,2.0,0.0,0.0,1.0,3.0,20.0,0.0,0.0,0.0,-0.7999999999999998,-0.7999999999999998,65.0,30.0,0.39321043771043773,0.16651469283048229,1.08,6.0,60.0,0,3.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-2.3718824573561417,0.12104696969696993,3.789422727272729,0.4,0.2,1.8,1.0,0.0,0.0
