Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-01,Orlando_Ribalta,687377,pitcher,WSH,MIA,2026,831475,0,120,146,1,0.0,0.0,0.0,0.0,1.0,5.0,21.0,1.0,0.0,0.0,6.2,6.2,52.0,0.0,0.315,0.225,1.08,-6.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-2.332,-0.3748999999999999,-0.374099999999999,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Orlando_Ribalta,687377,pitcher,WSH,NYM,2026,831479,1,120,121,1,0.0,1.0,0.0,0.0,1.0,3.0,11.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,82.0,27.27272727272727,0.3493434343434343,0.1744264507422402,1.08,0.0,84.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-2.5,-0.22035454545454558,1.0168090909090899,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Orlando_Ribalta,687377,pitcher,WSH,HOU,2026,831572,2,120,117,1,0.0,2.0,1.0,9.0,1.0,4.0,18.0,0.0,1.0,1.0,12.2,12.2,67.0,33.33333333333333,0.24691366503866505,0.27000777000777004,1.08,-15.0,82.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.4719378399378398,-0.5,-1.5,0.5,0.0,0.0,1.0,0.0,0.0
2026-03-11,Orlando_Ribalta,687377,pitcher,WSH,STL,2026,831465,3,120,138,1,0.0,0.0,0.0,0.0,1.0,5.0,11.0,0.0,2.0,0.0,3.2,3.2,82.0,0.0,0.282826278659612,0.1052066559312936,1.08,11.0,83.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,3.0,2.5,0.5,3.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-2.2903467525496515,-0.1196817460317458,0.4228642857142879,1.0,0.3333333333333333,3.0,2.0,1.0,9.0
2026-03-14,Orlando_Ribalta,687377,pitcher,WSH,MIA,2026,831459,4,120,146,1,0.0,1.0,0.0,0.0,1.3333333333333333,4.0,12.0,0.0,0.0,0.0,1.7000000000000002,1.7000000000000002,67.0,25.0,0.22435185185185183,0.39035087719298245,1.08,0.0,80.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,2.2,2.5,0.5,2.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.4691929824561405,-0.5,-2.2,0.75,0.25,2.25,0.0,0.0,0.0
2026-03-16,Orlando_Ribalta,687377,pitcher,WSH,NYM,2026,831457,5,120,121,0,0.0,2.0,0.0,0.0,1.0,4.0,14.0,0.0,1.0,0.0,-0.7999999999999998,-0.7999999999999998,79.0,42.85714285714285,0.31849439775910365,0.1755831608005521,1.08,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-2.0113347135955832,-0.21517521008403345,0.7634231092436987,0.8,0.2,1.8,1.0,0.0,0.0
2026-03-20,Orlando_Ribalta,687377,pitcher,WSH,MIA,2026,831450,6,120,146,0,0.0,0.0,0.0,0.0,1.0,5.0,19.0,1.0,1.0,0.0,6.2,6.2,63.0,0.0,0.18039682539682533,0.21428571428571427,1.05,0.0,70.0,0,4.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.2617142857142858,-0.5,-1.8,1.2,0.2,1.8,2.0,0.0,0.0
2026-04-13,Orlando_Ribalta,687377,pitcher,WSH,PIT,2026,823400,7,120,134,0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,0.0,0.0,0.0,3.2,3.2,64.0,0.0,0.22042649572649575,0.33319185059422757,1.08,14.0,79.0,0,24.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.7464651952461796,-0.5,-1.8,1.0,0.2,1.8,0.0,0.0,0.0
2026-04-16,Orlando_Ribalta,687377,pitcher,WSH,PIT,2026,823396,8,120,134,0,0.0,1.0,0.0,0.0,1.0,3.0,14.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,86.0,21.428571428571427,0.33168013468013474,0.19211057947900056,1.08,13.0,75.0,0,3.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-2.1631153641679957,-0.2998393939393936,0.3014454545454579,0.6,0.0,0.0,0.0,0.0,0.0
2026-05-02,Orlando_Ribalta,687377,pitcher,WSH,MIL,2026,822746,9,120,158,1,0.0,1.0,0.0,0.0,1.0,3.0,14.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,71.0,21.428571428571427,0.31859647759647763,0.18732635567822628,1.08,-7.0,58.0,0,16.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.91738915457419,-0.35871585081585056,-0.228442657342655,0.8,0.0,0.0,1.0,0.0,0.0
