Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-01,Oswald_Peraza,hitter,LAA,LAD,2026,831827,0,108,119,0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.08108108108108109,0.42333333333333334,0.42333333333333334,0.3333333333333333,28.333333333333332,65.0,4.1,8.2,4.0,1.0611111111111111,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.565855855855856,0.586623873873874,-0.3082545045045045,-0.3262777777777778,-0.37064864864864866,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
2026-03-02,Oswald_Peraza,hitter,LAA,KC,2026,831840,1,108,118,1,1.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,8.0,0.07317073170731707,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,4.1,8.2,0.0,1.038888888888889,0.0,88.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.3835609756097561,1.4918191056910572,-0.3860548780487804,-0.1625555555555555,-0.4969512195121951,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
2026-03-04,Oswald_Peraza,hitter,LAA,ITA,2026,831844,2,108,841,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,6.0,0.07894736842105263,0.0,0.0,0.0,0.0,10.0,4.1,8.2,2.4545454545454546,1.038888888888889,-3.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.4575677830940992,-0.11687280701754377,-0.16104904306220091,-0.037555555555555564,-0.0774306220095693,1.0,3.0,0.5,0.5,0.5,1.0,4.0,1.0,1.0,1.0
2026-03-07,Oswald_Peraza,hitter,LAA,ATH,2026,831828,3,108,133,0,1.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,7.0,0.07894736842105263,0.42333333333333334,0.42333333333333334,0.3333333333333333,28.333333333333332,65.0,0.0,13.5,7.6875,1.0666666666666667,0.0,63.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.03544736842105256,0.3069605263157895,0.07676535087719305,-0.09116666666666673,0.03788377192982462,0.6666666666666666,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
2026-03-08,Oswald_Peraza,hitter,LAA,ATH,2026,831832,4,108,133,0,3.0,7.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,5.0,0.10810810810810811,1.065,1.065,1.0,30.0,65.0,4.1,8.2,6.986895161290323,1.0666666666666667,0.0,69.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.46906139203719865,1.7075540540540541,0.3980609742807325,0.021333333333333315,0.8329798931996515,0.75,2.0,0.25,0.25,0.75,1.0,2.0,0.0,0.0,2.0
2026-03-09,Oswald_Peraza,hitter,LAA,SF,2026,831816,5,108,137,0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,7.0,0.09090909090909091,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,9.0,5.242749731471536,1.038888888888889,5.0,77.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.055986980438108125,0.4496893939393942,0.08259960778569797,-0.10755555555555552,0.3690465774826678,1.2,3.0,0.4,0.4,0.8,3.0,7.0,1.0,1.0,1.0
2026-03-11,Oswald_Peraza,hitter,LAA,CWS,2026,831824,6,108,145,0,2.0,3.0,1.0,0.0,1.0,4.0,4.0,0.0,1.0,6.0,0.0975609756097561,0.54,0.54,0.25,21.25,65.0,4.1,8.2,4.196312615955473,1.0611111111111111,0.0,79.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.3080661945487728,-0.08688008130081348,0.04249246006606644,-0.0848194444444445,0.23754733811484696,1.2,2.8,0.4,0.4,0.8,1.0,1.0,0.0,0.0,0.0
2026-03-13,Oswald_Peraza,hitter,LAA,CLE,2026,831879,7,108,114,1,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,7.0,0.09090909090909091,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,0.0,21.0,2.275549450549451,1.038888888888889,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.7273416583416585,-0.38831060606060586,-0.10242707292707293,-0.3475555555555555,0.20068656343656355,1.4,2.6,0.4,0.2,0.8,2.0,3.0,1.0,0.0,1.0
2026-03-14,Oswald_Peraza,hitter,LAA,SEA,2026,831747,8,108,136,1,2.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,9.0,0.07317073170731707,0.7200000000000001,0.7200000000000001,0.3333333333333333,28.333333333333332,65.0,4.1,8.2,8.449879951980792,1.038888888888889,-3.0,85.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.1604438263110124,-0.2071808943089426,0.29343911955025925,-0.19338888888888883,0.47554277808684453,1.4,2.6,0.4,0.2,0.8,0.0,0.0,0.0,0.0,0.0
2026-03-16,Oswald_Peraza,hitter,LAA,ATH,2026,831834,9,108,133,0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.10256410256410256,0.2225,0.2225,0.0,0.0,26.7,10.125,12.776785714285714,4.986176980913823,1.0611111111111111,-3.0,88.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.04395630904183534,-0.24429166666666635,0.23166461827646045,-0.34044444444444444,-0.08432576633892419,1.6,2.8,0.6,0.2,0.4,2.0,3.0,1.0,0.0,0.0
