Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-03,Otto_Kemp,805249,hitter,PHI,TB,2026,831532,0,143,139,0,663556.0,Shane_McClanahan,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.08571428571428572,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.05,1.0611111111111111,-12.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.2733333333333333,-0.5,-0.49275,-0.48044444444444445,-0.48969999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Otto_Kemp,805249,hitter,PHI,BOS,2026,831581,1,143,111,1,674674.0,TJ_Sikkema,2.0,4.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,8.0,0.08108108108108109,0.8466666666666667,0.8466666666666667,0.6666666666666666,30.0,65.0,4.1,8.2,5.770263157894737,1.08,0.0,83.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.1976002844950212,0.6661905405405404,-0.006908013276434255,-0.23273333333333335,-0.1551354907539118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,-0.9562499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9708333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7374999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Otto_Kemp,805249,hitter,PHI,PIT,2026,831470,2,143,134,0,677952.0,Braxton_Ashcraft,1.0,2.0,2.0,0.0,1.0,4.0,3.0,1.0,1.0,2.0,0.08695652173913043,0.49,0.49,0.3333333333333333,28.333333333333332,65.0,4.1,8.2,1.5,1.08,0.0,83.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.6002260869565217,0.9121065217391306,0.1108152173913044,-0.3202333333333333,0.03126086956521745,1.0,2.0,0.5,0.0,0.5,2.0,4.0,1.0,0.0,1.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.0,1.0,0.0,0.03333333333333333,-0.06180555555555541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27500000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1791666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Otto_Kemp,805249,hitter,PHI,MIN,2026,831522,3,143,142,0,680573.0,Simeon_Woods_Richardson,2.0,5.0,1.0,1.0,2.0,3.0,3.0,0.0,1.0,2.0,0.08571428571428572,0.9966666666666667,0.9966666666666667,1.0,30.0,65.0,15.0,9.0,3.873214285714286,1.08,0.0,83.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.5133699485350529,1.6587484002222226,0.9665857353641456,-0.14946493666666666,0.41382776930205434,1.0,2.0,1.0,0.0,0.6666666666666666,1.0,2.0,2.0,0.0,1.0,batter_pitcher_profile_network_v2,0.1,0.05,0.9425,0.0,0.0617271875,0.16504629629629597,0.43600000000000005,0.0,0.0,0.0,0.0,0.00041377106481481406,4.137710648148141e-05,0.434722222222222,-0.0040000000000000036,0.0,0.0,0.0,0.0,-9.998611111111115e-06,-1.5997777777777783e-06,0.32499999999999984,0.08941176470588239,0.0,0.0,0.0,0.0,0.00016708823529411763,8.354411764705882e-06,0.8962962962962964,-0.504,0.0,0.0,0.0,0.0,-0.002597466666666667,-6.493666666666667e-05,0.7837962962962962,0.12470588235294122,0.0,0.0,0.0,0.0,0.0005620280501089325,3.372168300653595e-05
2026-03-09,Otto_Kemp,805249,hitter,PHI,BOS,2026,831515,4,143,111,0,676979.0,Garrett_Crochet,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.08333333333333333,0.0,0.0,0.0,0.0,10.0,10.125,10.125,7.772644507195591,1.08,0.0,85.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.07105037012729487,-0.1070403527759316,0.4704419099974725,-0.19928067565393515,0.6938842013951332,1.25,2.75,1.0,0.25,1.0,2.0,5.0,1.0,1.0,2.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.05,0.9425,0.0,0.07839385416666667,0.18712606837606818,0.4218238636363635,0.0,0.0,0.0,0.0,0.0006051625154793115,6.0516251547931154e-05,0.4536858974358973,0.5563977272727272,0.0,0.0,0.0,0.0,0.0019352951504224933,0.0003096472240675989,0.3370192307692307,0.4619886363636363,0.0,0.0,0.0,0.0,0.001193692753860722,5.9684637693036105e-05,0.9472222222222223,0.65725,0.0,0.0,0.0,0.0,0.004772973842592593,0.00011932434606481482,0.8534722222222222,0.6418181818181818,0.0,0.0,0.0,0.0,0.004199600589225589,0.0002519760353535353
2026-03-13,Otto_Kemp,805249,hitter,PHI,BAL,2026,831565,5,143,110,1,700249.0,Cade_Povich,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,5.0,0.07142857142857142,0.0,0.0,0.0,0.0,10.0,2.4545454545454546,2.4545454545454546,5.902806122448979,1.08,21.0,78.0,0,4.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.7374279474337335,-1.161599515151515,0.06380458289862412,-0.33448944444444445,0.12986679654410138,1.0,2.2,0.8,0.2,0.8,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.05,0.9425,0.0,0.09506052083333333,0.07743055555555542,-0.3192727272727272,0.0,0.0,0.0,0.0,-0.00023691403619528572,-2.3691403619528574e-05,0.3729166666666666,-0.4363636363636363,0.0,0.0,0.0,0.0,-0.0015594696969696963,-0.0002495151515151514,0.34374999999999994,-0.5204382284382283,0.0,0.0,0.0,0.0,-0.0017144644764957254,-8.572322382478628e-05,0.8555555555555556,-0.4363636363636363,0.0,0.0,0.0,0.0,-0.003577777777777777,-8.944444444444443e-05,0.7730555555555555,-0.6153100233100232,0.0,0.0,0.0,0.0,-0.004558492972459637,-0.00027350957834757823
2026-03-15,Otto_Kemp,805249,hitter,PHI,ATL,2026,831458,6,143,144,1,660761.0,José_Suarez,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,6.0,0.08823529411764706,0.0,0.0,0.0,0.0,10.0,16.875,6.75,5.302846401718583,1.08,7.0,82.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.542053071755018,-1.1429970588235294,0.3130687906741645,-0.33440000000000003,0.11990702596828218,1.0,2.2,1.0,0.2,0.8,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.0,1.0,0.0,0.1,-0.13229166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22291666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20937500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7822916666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6739583333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,Otto_Kemp,805249,hitter,PHI,DET,2026,831498,7,143,116,0,656427.0,Jack_Flaherty,1.0,4.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,3.0,0.08571428571428572,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,0.0,9.0,1.5953972498090145,1.0611111111111111,20.0,83.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.000854091598263329,0.8641572950173608,0.27144438718934405,-0.015626631597222218,0.00531028742534656,0.6,1.4,0.8,0.2,0.6,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.05,0.9425,0.0,0.12839385416666665,-0.41899801587301577,-0.525,0.0,0.0,0.0,0.0,-0.002951317274305555,-0.00029513172743055553,-0.018154761904761764,-0.6681250000000001,0.0,0.0,0.0,0.0,-0.00016273947482638762,-2.603831597222202e-05,-0.12544642857142838,-0.896875,0.0,0.0,0.0,0.0,-0.0015095060221354142,-7.547530110677072e-05,0.646626984126984,-0.8400000000000001,0.0,0.0,0.0,0.0,-0.007287486111111111,-0.00018218715277777778,0.3738591269841271,-0.8625,0.0,0.0,0.0,0.0,-0.004326251085069446,-0.00025957506510416675
2026-03-18,Otto_Kemp,805249,hitter,PHI,ATL,2026,831453,8,143,144,0,527048.0,Martín_Pérez,1.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,2.0,0.10810810810810811,0.4975,0.4975,0.3333333333333333,28.333333333333332,65.0,3.375,11.25,2.7824175824175827,1.08,-10.0,63.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.02478228888228906,0.8145790540540543,0.2697120953370955,0.059766666666666746,0.7825060142560143,0.6,1.8,0.6,0.4,1.0,1.0,4.0,1.0,1.0,3.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.0,1.0,0.0,0.13333333333333333,-0.17482638888888877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18645833333333348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13906250000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.785329861111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6220486111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,Otto_Kemp,805249,hitter,PHI,TB,2026,831551,9,143,139,1,656876.0,Drew_Rasmussen,2.0,5.0,1.0,1.0,4.0,3.0,3.0,0.0,1.0,9.0,0.08571428571428572,0.9966666666666667,0.9966666666666667,1.0,30.0,65.0,1.125,6.0,7.771683673469388,1.08,-10.0,71.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.3551653430790298,1.161661124297987,0.6950898266981984,-0.01025778502326291,0.4016900022808928,0.4,1.2,0.6,0.2,0.6,1.0,2.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.1,0.7877341719019273,0.0,0.17535025639420138,-0.08335262345679005,-0.19217460317460328,0.0,0.0,0.0,0.0,-0.00102003859745783,-0.00010200385974578301,0.26122685185185196,-0.40910912698412705,0.0,0.0,0.0,0.0,-0.0068054731375807075,-0.0010888757020129133,0.22517361111111128,-0.5732947530864198,0.0,0.0,0.0,0.0,-0.008220472838754964,-0.00041102364193774824,0.8283950617283952,-0.6504285714285715,0.0,0.0,0.0,0.0,-0.034311400930517585,-0.0008577850232629397,0.7208140432098767,-0.6151543209876542,0.0,0.0,0.0,0.0,-0.028236356542944527,-0.0016941813925766716
