Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Patrick_Bailey,672275,hitter,SF,SD,2026,831768,0,137,135,1,608566.0,Germán_Márquez,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.05128205128205128,0.445,0.445,0.0,0.0,53.4,4.1,8.2,4.0,1.038888888888889,0.0,87.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.5067179487179487,0.3931666666666668,0.4661153846153847,-0.4875555555555555,-0.3991923076923077,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Patrick_Bailey,672275,hitter,SF,USA,2026,831720,1,137,940,1,694973.0,Paul_Skenes,1.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,0.08108108108108109,0.42333333333333334,0.42333333333333334,0.3333333333333333,28.333333333333332,65.0,4.1,8.2,4.0,1.038888888888889,5.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.5225225225225227,0.8159572072072072,0.5017454954954956,-0.33338888888888885,-0.37064864864864866,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,0.9711111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5851388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25861111111111107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Patrick_Bailey,672275,hitter,SF,TEX,2026,831726,2,137,140,1,656641.0,Jacob_Latz,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.07692307692307693,0.42333333333333334,0.42333333333333334,0.3333333333333333,28.333333333333332,65.0,6.0,3.0,2.6292613636363638,1.038888888888889,-11.0,75.0,0,4.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.6938402276223774,0.2617979134953703,-0.03196181130786524,-0.33333567223958327,0.05601260344544012,1.0,1.5,0.5,0.0,0.5,1.0,2.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.05,0.9425,0.0,0.04506052083333333,1.0,0.677,0.0,0.0,0.0,0.0,0.0025951666666666666,0.0002595166666666667,0.7847222222222222,0.792125,0.0,0.0,0.0,0.0,0.002382792679398148,0.00038124682870370366,0.84375,0.424875,0.0,0.0,0.0,0.0,0.0013742050781249998,6.871025390625e-05,0.5760416666666666,0.964,0.0,0.0,0.0,0.0,0.0021286659722222216,5.3216649305555544e-05,0.6479166666666666,0.5905,0.0,0.0,0.0,0.0,0.0014666133680555555,8.799680208333333e-05
2026-03-09,Patrick_Bailey,672275,hitter,SF,LAA,2026,831816,3,137,108,1,667755.0,José_Soriano,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0967741935483871,0.0,0.0,0.0,0.0,10.0,4.1,8.2,6.104464285714286,1.038888888888889,5.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.6111033026113672,-0.20407258064516132,-0.17275796850998465,-0.4875555555555555,-0.14730366743471573,1.0,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9004629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8541666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7930555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,Patrick_Bailey,672275,hitter,SF,KC,2026,831762,4,137,118,0,663559.0,Bailey_Falter,1.0,2.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,3.0,0.07692307692307693,0.42333333333333334,0.42333333333333334,0.3333333333333333,28.333333333333332,65.0,4.1,8.2,4.700371057513915,1.0611111111111111,6.0,79.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.23575843204414637,-0.1629166666666666,-0.08847503686789399,-0.3262777777777778,-0.17051990866276567,0.75,1.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.0,1.0,0.0,0.06666666666666667,0.5996354166666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4506597222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45390625000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4910416666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2569270833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-13,Patrick_Bailey,672275,hitter,SF,CIN,2026,831891,5,137,113,1,695505.0,Chase_Burns,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.05714285714285714,0.0,0.0,0.0,0.0,10.0,9.818181818181818,9.818181818181818,5.430587557603687,1.038888888888889,0.0,91.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.3745232416592613,-0.4122302963597222,-0.08357949201801645,-0.4874488410659722,0.27389358498624494,0.8,1.4,0.4,0.0,0.6,1.0,2.0,1.0,0.0,2.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.05,0.9425,0.0,0.09506052083333333,0.7245,0.3007727272727273,0.0,0.0,0.0,0.0,0.0020883026420454548,0.0002088302642045455,0.6231666666666666,0.474125,0.0,0.0,0.0,0.0,0.0028314810850694444,0.0004530369736111111,0.5700000000000001,0.516723484848485,0.0,0.0,0.0,0.0,0.002822602035984849,0.00014113010179924246,0.6895,0.6460000000000001,0.0,0.0,0.0,0.0,0.004268579583333334,0.00010671448958333334,0.467,0.6115151515151517,0.0,0.0,0.0,0.0,0.002736785101010102,0.0001642071060606061
2026-03-15,Patrick_Bailey,672275,hitter,SF,MIL,2026,831787,6,137,158,1,675660.0,Shane_Drohan,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,3.0,0.10526315789473684,0.1725,0.1725,0.0,0.0,20.7,3.681818181818182,9.681818181818182,3.619736842105263,1.038888888888889,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.07076874003189804,-0.6865109649122806,-0.27675657894736844,-0.4875555555555555,-0.028473684210526262,0.6,1.2,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.0,1.0,0.0,0.1,0.3972106481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28145833333333325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2401041666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4508564814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051377314814814716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,Patrick_Bailey,672275,hitter,SF,LAD,2026,831761,7,137,119,0,660271.0,Shohei_Ohtani,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.1,0.0,0.0,0.0,0.0,10.0,4.1,8.2,7.704701235332843,1.0611111111111111,0.0,96.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.23118804941331383,-0.00721666666666676,0.10398506176664224,-0.48044444444444445,-0.01816493823335774,0.4,0.8,0.4,0.0,0.4,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.0,1.0,0.0,0.11666666666666667,0.2882291666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142529761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15200892857142878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2348809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11534226190476175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-20,Patrick_Bailey,672275,hitter,SF,KC,2026,831835,8,137,118,1,686701.0,Ryan_Bergert,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,0.09090909090909091,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,6.090909090909091,9.272727272727273,7.835488041370395,1.038888888888889,0.0,104.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.060269483327280104,-0.14231060606060597,0.07223652328064101,-0.4874971951331577,0.06668349297761078,0.2,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.15,0.7887310287963012,0.0,0.1713404006792013,0.09729600694444461,0.3343883706705404,0.0,0.0,0.0,0.0,0.0018329500579751799,0.000183295005797518,-0.05367187499999989,0.5230074260264544,0.0,0.0,0.0,0.0,0.0,0.0,-0.027539062499999933,0.6015869364375462,0.0,0.0,0.0,0.0,0.0,0.0,0.05803819444444447,0.713937304075235,0.0,0.0,0.0,0.0,0.00233441689591283,5.836042239782076e-05,-0.3448914930555554,0.6747830746489284,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-21,Patrick_Bailey,672275,hitter,SF,CLE,2026,831873,9,137,114,1,676440.0,Tanner_Bibee,2.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,0.07894736842105263,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,3.176470588235294,10.556149732620321,3.6107142857142853,1.038888888888889,3.0,96.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.04808958612415515,0.24212719298245633,0.009086391822126894,-0.4875555555555555,-0.06962218045112778,0.4,0.6,0.4,0.0,0.4,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.15,0.8515264993912162,0.0,0.1868532005736864,0.12461033950617313,0.14870354278074854,0.0,0.0,0.0,0.0,0.0008253641431898992,8.253641431898992e-05,-0.058958333333333085,0.24971120728722918,0.0,0.0,0.0,0.0,0.0,0.0,-0.016493055555555358,-0.17260303936674826,0.0,0.0,0.0,0.0,-0.00012680014894256097,-6.340007447128048e-06,-0.047901234567901144,0.20818578355841566,0.0,0.0,0.0,0.0,0.0,0.0,-0.3684452160493824,0.01909187588748909,0.0,0.0,0.0,0.0,0.0,0.0
