Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-03,Paul_Goldschmidt,hitter,USA,SF,2026,831720,0,940,137,0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,2.0,0.07142857142857142,0.395,0.395,0.0,0.0,47.400000000000006,4.1,8.2,3.2142857142857144,1.038888888888889,5.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.47690476190476205,0.3926666666666667,0.44471428571428573,-0.4875555555555555,-0.42978571428571427,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2026-03-19,Paul_Goldschmidt,hitter,NYY,BAL,2026,832062,1,147,110,1,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.08571428571428572,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.5,9.0,6.814285714285715,1.08,-11.0,68.0,0,16.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.5609714285714287,0.38375000000000004,0.5886309523809525,-0.4744,-0.2624857142857142,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2026-03-21,Paul_Goldschmidt,hitter,NYY,DET,2026,831601,2,147,116,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,1.0,0.12121212121212122,0.0,0.0,0.0,0.0,10.0,0.0,7.2,1.4346829640947287,1.0611111111111111,4.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.516235803412274,0.27994696969696964,-0.2487885790679908,-0.48044444444444445,-0.5,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-22,Paul_Goldschmidt,hitter,NYY,PHI,2026,831493,3,147,143,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.05263157894736842,0.0,0.0,0.0,0.0,10.0,6.0,6.0,3.767059455361092,1.08,-3.0,78.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.22045079926707523,-0.13254298245614032,-0.3652479044249278,-0.4744,-0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,Paul_Goldschmidt,hitter,NYY,CHC,2026,831780,4,147,112,0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.06818181818181818,0.8933333333333332,0.8933333333333332,1.0,30.0,65.0,0.0,9.0,5.078222365869425,1.0277777777777777,0.0,93.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.07735616736204964,1.3580378787878784,0.19790354253589537,-0.16611111111111115,-0.1909070635247106,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-24,Paul_Goldschmidt,hitter,NYY,CHC,2026,831779,5,147,112,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,0.05,0.0,0.0,0.0,0.0,10.0,0.0,27.0,5.456373626373627,1.0277777777777777,0.0,91.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.5,0.20218333333333327,0.17656868131868142,-0.49111111111111116,-0.46138131868131865,0.6,0.8,0.6,0.0,0.0,1.0,2.0,2.0,0.0,0.0
2026-03-27,Paul_Goldschmidt,hitter,NYY,SF,2026,823243,6,147,137,0,1.0,2.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.13513513513513514,0.254,0.254,0.2,17.0,39.480000000000004,0.0,6.0,3.525510204081633,1.08,6.0,64.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.08540239014524731,0.2705175675675676,-0.05100421952564804,-0.38189999999999996,-0.3816055708769994,0.4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01,Paul_Goldschmidt,hitter,NYY,SEA,2026,823157,7,147,136,0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,0.0,2.0,5.0,0.11764705882352941,0.525,0.525,0.75,30.0,65.0,3.0,3.0,5.444805194805196,1.08,0.0,47.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.34713338426279616,1.437370588235294,0.39997555385790695,-0.21189999999999998,-0.2249067990832696,0.4,0.8,0.6,0.0,0.0,1.0,2.0,1.0,0.0,0.0
2026-04-04,Paul_Goldschmidt,hitter,NYY,MIA,2026,823569,8,147,146,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.023809523809523808,0.69,0.69,0.0,0.0,65.0,0.0,12.0,1.2214285714285715,1.08,0.0,52.0,0,3.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.25040952380952375,0.28515,0.2693214285714286,-0.2344,0.3910714285714286,0.6,1.6,0.8,0.2,0.6,1.0,4.0,1.0,1.0,3.0
2026-04-10,Paul_Goldschmidt,hitter,NYY,TB,2026,822997,9,147,139,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.08571428571428572,0.47,0.47,0.0,0.0,56.4,2.9,7.6000000000000005,6.326785714285713,1.08,0.0,72.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.21813809523809524,-0.30625000000000013,0.6695892857142858,-0.33440000000000003,0.17313928571428572,0.6,1.6,1.0,0.2,0.6,0.0,0.0,1.0,0.0,0.0
