Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-03,Pete_Fairbanks,664126,pitcher,MIA,ISR,2026,831436,0,146,840,1,0.0,1.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,70.0,30.0,0.315,0.225,1.05,-16.0,79.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.46,-0.3964999999999999,-0.5684999999999991,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-10,Pete_Fairbanks,664126,pitcher,MIA,WSH,2026,831471,1,146,120,1,0.0,1.0,0.0,0.0,1.0,4.0,10.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,80.0,30.0,0.19819444444444442,0.2691114760080277,1.05,-13.0,83.0,0,7.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.1071081919357786,-0.5,-1.5,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-20,Pete_Fairbanks,664126,pitcher,MIA,WSH,2026,831450,2,146,120,1,0.0,1.0,0.0,0.0,1.0,3.0,16.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,69.0,18.75,0.27080873015873014,0.1637575075075075,1.05,0.0,70.0,0,10.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.9499399399399402,-0.5,-1.5,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-27,Pete_Fairbanks,664126,pitcher,MIA,COL,2026,823893,3,146,115,1,0.0,1.0,0.0,0.0,1.0,4.0,12.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,92.0,25.0,0.5169907407407408,0.2369742251739405,1.0766666666666669,-2.0,79.0,0,7.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.374872865275143,0.5316583333333338,7.784925000000005,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-28,Pete_Fairbanks,664126,pitcher,MIA,COL,2026,823892,4,146,115,1,0.0,1.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,67.0,33.33333333333333,0.46421085858585864,0.21062618595825425,1.0766666666666669,0.0,72.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.5856571790006329,0.29414886363636406,5.6473397727272765,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-31,Pete_Fairbanks,664126,pitcher,MIA,CWS,2026,823888,5,146,145,1,0.0,3.0,0.0,0.0,1.0,3.0,15.0,0.0,0.0,0.0,-2.8,-2.8,67.0,60.0,0.34415555555555555,0.2898860398860399,1.0766666666666669,-13.0,77.0,0,3.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.9515783475783479,-0.24609999999999982,0.7851000000000017,1.0,0.0,0.0,1.0,0.0,0.0
2026-04-05,Pete_Fairbanks,664126,pitcher,MIA,NYY,2026,823566,6,146,147,0,1.0,1.0,3.0,27.0,1.0,7.0,27.0,1.0,3.0,1.0,17.2,17.2,59.0,11.11111111111111,0.3309583333333333,0.2568376944273644,1.08,0.0,55.0,0,5.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.6492984445810848,-0.30308750000000007,0.2722124999999993,1.4,0.0,0.0,3.0,0.0,0.0
2026-04-14,Pete_Fairbanks,664126,pitcher,MIA,ATL,2026,824935,7,146,144,0,0.0,1.0,3.0,27.0,1.0,7.0,26.0,0.0,3.0,0.0,1.2000000000000002,1.2000000000000002,73.0,11.538461538461538,0.3413944444444444,0.20873015873015868,1.08,-6.0,81.0,0,9.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,2.5,0.5,5.4,2.5,0.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.3141587301587305,0.6558749999999998,5.002874999999998,1.4,0.6,5.4,1.0,3.0,27.0
2026-04-17,Pete_Fairbanks,664126,pitcher,MIA,MIL,2026,823883,8,146,158,1,0.0,1.0,0.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,67.0,25.0,0.2747558922558923,0.2255720470006184,1.0766666666666669,-10.0,79.0,0,3.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,1.5,10.8,2.5,1.5,10.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.1780902906617197,-0.21439848484848456,0.7704136363636387,1.4,1.2,10.8,1.0,3.0,27.0
2026-04-19,Pete_Fairbanks,664126,pitcher,MIA,MIL,2026,823881,9,146,158,1,0.0,2.0,0.0,0.0,1.0,3.0,13.0,0.0,0.0,0.0,-0.7999999999999998,-0.7999999999999998,77.0,46.15384615384615,0.2915870370370371,0.1936758893280632,1.0766666666666669,0.0,72.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,1.5,10.8,2.5,1.5,10.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.4332595520421612,-0.6186583333333329,-2.867924999999996,1.4,1.2,10.8,1.0,0.0,0.0
