Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Ramón_Urías,602104,hitter,STL,PIT,2026,831477,0,138,134,1,682995.0,Hunter_Barco,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,0.09375,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.05,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.29685416666666664,-0.5,-0.48512500000000003,-0.484,-0.48275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Ramón_Urías,602104,hitter,STL,PIT,2026,831478,1,138,134,0,656605.0,Mitch_Keller,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,6.0,0.0769230769230769,0.4599999999999999,0.4599999999999999,0.0,0.0,55.2,4.1,8.2,1.8,1.08,0.0,83.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.3625230769230769,-0.31235,-0.4033269230769232,-0.4744,-0.4745384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7374999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Ramón_Urías,602104,hitter,STL,BAL,2026,831570,2,138,110,1,694346.0,,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,0.09375,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,4.1,8.2,4.0,1.05,8.0,85.0,0,4.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.2548541666666666,-0.411875,0.08137499999999998,-0.484,-0.41375,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,-0.8162499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8658333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6583333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.81625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,Ramón_Urías,602104,hitter,STL,HOU,2026,831556,3,138,117,1,641585.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.064516129032258,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.143506493506494,1.05,0.0,67.0,0,9.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.3760876972489876,-0.5,-0.31145101941069697,-0.484,-0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,-0.4181018518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6019444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3805555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8347685185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6910185185185186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-20,Ramón_Urías,602104,hitter,STL,NYM,2026,831456,4,138,121,0,668964.0,Tobias_Myers,1.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0833333333333333,0.93,0.93,1.5,30.0,65.0,3.375,13.125,2.9663265306122453,1.08,0.0,73.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.5,1.70615,0.12156632653061217,-0.024399999999999977,-0.2676836734693877,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,-0.6656439393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7718181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4911931818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8929166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7397916666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-22,Ramón_Urías,602104,hitter,STL,HOU,2026,831496,5,138,117,0,664299.0,Cristian_Javier,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,5.0,0.1052631578947368,0.1725,0.1725,0.0,0.0,20.7,3.3000000000000003,9.15,3.466033966033966,1.08,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.05841522687489381,0.6447033834033886,0.2315143269198563,-0.2345281273655908,-0.14832939634239284,0.2,0.8,0.6,0.2,0.2,1.0,4.0,2.0,1.0,1.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.15,0.8695720680203767,0.0,0.1198549465834589,0.0302202380952379,-0.4073656126482214,0.0,0.0,0.0,0.0,-0.0002676095484888,-2.676095484888206e-05,0.2735357142857142,-0.5455083992094862,0.0,0.0,0.0,0.0,-0.0032436563604017,-0.0005189850176642,0.1774107142857142,-0.2279255050505049,0.0,0.0,0.0,0.0,-0.0008790065842083,-4.3950329210415294e-05,0.3569166666666666,-0.6605652173913044,0.0,0.0,0.0,0.0,-0.0051250946236328,-0.0001281273655908,0.3500416666666666,-0.37360101010101,0.0,0.0,0.0,0.0,-0.0028428054716951,-0.0001705683283017
2026-03-26,Ramón_Urías,602104,hitter,STL,TB,2026,823081,6,138,139,1,656876.0,Drew_Rasmussen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,4.455882352941176,5.588235294117648,0.8327922077922079,1.08,16.0,91.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.21036674306086067,-0.10700248826579278,-0.40761038961038965,-0.334283756931684,-0.4998611351383169,0.2,0.8,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.15,0.8446943658592432,0.0,0.1369787410273364,-0.1338252314814815,0.6460211558307534,0.0,0.0,0.0,0.0,0.0,0.0,0.0994791666666666,0.7029106858054226,0.0,0.0,0.0,0.0,0.0021719483387953,0.0003475117342072,-0.0011284722222221,0.3671681521093287,0.0,0.0,0.0,0.0,0.0,0.0,0.2143518518518517,0.6983652312599681,0.0,0.0,0.0,0.0,0.0046497227326429,0.000116243068316,0.1557581018518518,0.4783802733214499,0.0,0.0,0.0,0.0,0.0023144143613858,0.0001388648616831
2026-03-28,Ramón_Urías,602104,hitter,STL,TB,2026,823082,7,138,139,1,671212.0,,1.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,6.0,0.1081081081081081,0.3175,0.3175,0.25,21.25,49.35,4.1,8.2,4.261363636363636,1.08,5.0,51.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.23157873731201012,0.45345649535517296,-0.06334060196560198,-0.21877874708333334,-0.221546683046683,0.2,0.8,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.05,0.9425,0.0,0.1283938541666666,-0.3545386904761906,-0.0396666666666666,0.0,0.0,0.0,0.0,-0.000188683521412,-1.886835214120371e-05,-0.1604662698412699,-0.3557916666666667,0.0,0.0,0.0,0.0,-0.0007659918680073,-0.0001225586988811,-0.2531001984126985,0.1339027777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0151785714285713,-0.736,0.0,0.0,0.0,0.0,-0.0001498833333333,-3.7470833333333232e-06,-0.1613839285714287,0.0210555555555555,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-29,Ramón_Urías,602104,hitter,STL,TB,2026,823079,8,138,139,1,571927.0,Steven_Matz,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0,0.05,0.0,0.0,0.0,0.0,10.0,0.0,6.975,5.032792207792207,1.08,11.0,65.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.11326657719696431,-0.5275776934552139,-0.274204959279571,-0.33472339530951156,-0.3471343411711651,0.4,1.2,0.4,0.2,0.2,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.1,0.5473038047208925,0.0,0.1616288617255024,-0.4811821338383839,-0.5500483870967743,0.0,0.0,0.0,0.0,-0.0319511111472404,-0.003195111114724,-0.2267660984848485,-0.6455927419354839,0.0,0.0,0.0,0.0,-0.0176730840950868,-0.0028276934552138,-0.3529119318181819,-0.7485685483870967,0.0,0.0,0.0,0.0,-0.0318913933836296,-0.0015945696691814,0.1538498263888889,-0.6965,0.0,0.0,0.0,0.0,-0.012935812380465,-0.0003233953095116,-0.0975173611111111,-0.8125806451612902,0.0,0.0,0.0,0.0,-0.0095658593462599,-0.0005739515607755
2026-03-31,Ramón_Urías,602104,hitter,STL,NYM,2026,823077,9,138,121,1,673540.0,Kodai_Senga,1.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,8.0,0.088235294117647,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,2.25,10.25,6.364285714285714,1.08,10.0,80.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.009548866572160142,0.7516268409513813,0.2066542499277244,-0.009397972361735563,-0.025252448271438688,0.4,1.2,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.15,0.8440312374899901,0.0,0.1869909260111214,-0.7038888888888892,-0.5241100164203614,0.0,0.0,0.0,0.0,-0.017261774965299,-0.0017261774965299,-0.4519907407407409,-0.1111463464696223,0.0,0.0,0.0,0.0,-0.002350626406808,-0.0003761002250892,-0.5750000000000002,-0.3616527777777778,0.0,0.0,0.0,0.0,-0.009730127495933,-0.0004865063747966,0.0056597222222222,0.3062643678160919,0.0,0.0,0.0,0.0,8.110553057518195e-05,2.027638264379549e-06,-0.3177777777777777,-0.2594206349206349,0.0,0.0,0.0,0.0,-0.0038573311346219,-0.0002314398680773
