Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-03,Randy_Arozarena,668227,hitter,MEX,AZ,2026,831800,0,867,109,0,668678.0,Zac_Gallen,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.07894736842105263,0.0,0.0,0.0,0.0,10.0,4.1,8.2,3.681818181818182,1.0611111111111111,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.3026746411483253,-0.5,-0.5,-0.48044444444444445,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-15,Randy_Arozarena,668227,hitter,SEA,CIN,2026,831890,1,136,113,1,682227.0,Brandon_Williamson,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,1.0,2.0,0.10810810810810811,0.345,0.345,0.0,0.0,41.4,0.0,9.0,3.9967640281919223,1.0722222222222222,-4.0,86.0,0,12.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.2585591866200709,-0.3338823192792793,-0.2774491761241876,-0.4769273779513889,-0.36261147595526877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.05,0.9425,0.0,0.028393854166666666,-0.09999999999999998,-0.8000000000000002,0.0,0.0,0.0,0.0,-0.00015333333333333334,-1.5333333333333334e-05,-0.4,-0.8400000000000001,0.0,0.0,0.0,0.0,-0.0006440000000000001,-0.00010304000000000003,0.03749999999999998,-1.0,0.0,0.0,0.0,0.0,-7.187499999999996e-05,-3.593749999999998e-06,-0.95625,-0.8400000000000001,0.0,0.0,0.0,0.0,-0.0015395625000000001,-3.8489062500000005e-05,-0.7374999999999998,-1.0,0.0,0.0,0.0,0.0,-0.0014135416666666662,-8.481249999999997e-05
2026-03-17,Randy_Arozarena,668227,hitter,SEA,SD,2026,831769,2,136,135,1,608566.0,Germán_Márquez,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,4.0,0.10526315789473684,0.0,0.0,0.0,0.0,10.0,15.300000000000002,7.8,4.19025974025974,1.0722222222222222,0.0,92.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.16698610161768057,-0.49213596491228073,-0.021105434039644655,-0.4770126396099718,-0.45969753930280244,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.15,0.7683706381476194,0.0,0.07171452285737083,-0.1786309523809522,0.5378382352941177,0.0,0.0,0.0,0.0,0.0,0.0,-0.447142857142857,0.10699264705882347,0.0,0.0,0.0,0.0,0.0,0.0,-0.05714285714285705,0.4317524509803923,0.0,0.0,0.0,0.0,0.0,0.0,-0.8929166666666667,-0.35900000000000004,0.0,0.0,0.0,0.0,-0.00495002884331736,-0.000123750721082934,-0.6741666666666666,0.36220588235294127,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,Randy_Arozarena,668227,hitter,SEA,MIL,2026,831784,3,136,158,1,692230.0,Carlos_Rodriguez,1.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,5.0,0.08571428571428572,0.93,0.93,1.5,30.0,65.0,4.5,0.0,4.407551968155683,1.0722222222222222,4.0,97.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.22630207872622732,1.7050166666666664,0.21996093174111753,-0.026888888888888907,-0.19282240159221575,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,-0.7237920875420876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.815429292929293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42348484848484846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9510648148148149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7573148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,Randy_Arozarena,668227,hitter,SEA,ATH,2026,831755,4,136,133,0,650644.0,Aaron_Civale,2.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,6.0,0.05,0.89,0.89,0.0,0.0,65.0,9.204545454545455,8.28409090909091,4.118781218781219,1.0611111111111111,0.0,99.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.062046703296703365,1.0235997295275256,0.37533141800777325,-0.20520284214654655,0.39918940546595894,0.25,1.0,0.5,0.25,0.5,1.0,4.0,1.0,1.0,2.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.1,0.7736835813232648,0.0,0.09218904279545667,-0.014526289682539918,0.7489130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.2375148809523808,0.7991304347826087,0.0,0.0,0.0,0.0,0.00572747621370069,0.0009163961941921105,0.15725446428571405,0.6,0.0,0.0,0.0,0.0,0.0028471413742457096,0.00014235706871228547,0.4007638888888889,0.7991304347826087,0.0,0.0,0.0,0.0,0.009664091915914497,0.00024160229789786243,0.3109201388888888,0.8,0.0,0.0,0.0,0.0,0.0075057421149660195,0.00045034452689796117
2026-03-20,Randy_Arozarena,668227,hitter,SEA,CLE,2026,831743,5,136,114,0,671106.0,Logan_Allen,1.0,1.0,2.0,0.0,1.0,5.0,4.0,0.0,1.0,3.0,0.0847457627118644,0.32199999999999995,0.32199999999999995,0.0,0.0,38.63999999999999,32.625,5.0625,2.067857142857143,1.08,7.0,98.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.5748635022141309,-0.34121044936169964,0.09831900253480619,-0.3343309789449508,0.07505528798089856,0.6,1.2,0.6,0.2,0.6,2.0,2.0,1.0,0.0,1.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.05,0.9425,0.0,0.09506052083333333,0.493736111111111,0.6296875,0.0,0.0,0.0,0.0,0.0029794531340422443,0.00029794531340422443,0.6460833333333332,0.70375,0.0,0.0,0.0,0.0,0.004357360980902777,0.0006971777569444443,0.6187499999999999,1.0,0.0,0.0,0.0,0.0,0.005929687499999998,0.00029648437499999993,0.4093611111111111,0.70375,0.0,0.0,0.0,0.0,0.0027608422019675923,6.90210550491898e-05,0.6981111111111111,1.0,0.0,0.0,0.0,0.0,0.006690231481481481,0.00040141388888888886
2026-03-21,Randy_Arozarena,668227,hitter,SEA,CHC,2026,831923,6,136,112,1,607067.0,Colin_Rea,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,5.0,0.09090909090909091,0.0,0.0,0.0,0.0,10.0,4.568181818181818,8.659090909090908,6.100200387847447,1.0722222222222222,7.0,101.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.572068505379373,-0.49797973574809595,0.5067366059283978,-0.3367211382064234,0.32365752853992114,0.8,1.4,1.0,0.2,0.8,1.0,1.0,2.0,0.0,1.0,batter_pitcher_profile_network_v2,0.2,0.1,0.8457582521472478,0.0,0.12463946141119622,0.4832420634920634,0.477624273424785,0.0,0.0,0.0,0.0,0.007120050169904288,0.0007120050169904289,0.5974761904761905,0.6208476807719135,0.0,0.0,0.0,0.0,0.011442939453187386,0.0018308703125099817,0.6196428571428572,0.45109380570409985,0.0,0.0,0.0,0.0,0.00862263981141447,0.0004311319905707235,0.2912777777777777,0.7467667984189723,0.0,0.0,0.0,0.0,0.006710027298619795,0.00016775068246549488,0.6537777777777778,0.6102237076648842,0.0,0.0,0.0,0.0,0.012306970640963278,0.0007384182384577966
2026-03-23,Randy_Arozarena,668227,hitter,SEA,SD,2026,831735,7,136,135,0,608566.0,Germán_Márquez,1.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,0.05128205128205128,1.05,1.05,1.5,30.0,65.0,12.600000000000001,10.200000000000001,4.925420168067227,1.0722222222222222,0.0,92.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.20116762070158278,1.5784920014305044,0.5621218961068035,0.11065688629663695,0.36664586884042494,0.8,1.4,0.8,0.2,0.8,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.2,0.8618750000000001,1.0,0.18430072916666665,0.04129365079365076,0.0769894179894179,-0.06349206349206349,0.0,0.0,0.0,-0.05900468072388178,-0.005900468072388178,0.1915952380952381,0.10998875661375654,-0.07407407407407407,0.0,0.0,0.0,-0.06827915772601365,-0.010924665236162184,0.23553571428571438,0.4146373456790123,-0.1111111111111111,0.0,0.0,0.0,-0.1002899382388519,-0.0050144969119425955,0.08111507936507933,0.13116931216931216,-0.10582010582010581,0.0,0.0,0.0,-0.09816899257896397,-0.0024542248144740994,0.33861507936507945,0.41756172839506167,-0.1111111111111111,0.0,0.0,0.0,-0.09888053117714404,-0.0059328318706286425
2026-03-26,Randy_Arozarena,668227,hitter,SEA,CLE,2026,823163,8,136,114,1,676440.0,Tanner_Bibee,1.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,5.0,0.11764705882352941,0.3175,0.3175,0.25,21.25,49.35,8.319327731092436,9.48472116119175,3.7467032967032963,1.08,5.0,52.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.38714454223356465,-0.10554568078289783,0.4573281331143132,0.02156383319580657,0.46897027009157277,1.0,2.2,1.0,0.4,1.0,1.0,4.0,1.0,1.0,1.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.2,0.819931914823399,0.0,0.18324500142016004,0.32980982905982864,0.5291191749427042,0.0,1.0,0.0,0.0,0.00837958621098597,0.000837958621098597,0.5366602564102562,0.5963292589763177,0.0,1.0,0.0,0.0,0.015367068636299006,0.002458730981807841,0.49807692307692286,0.3200053475935828,0.0,1.0,0.0,0.0,0.007653483230025284,0.00038267416150126424,0.4733194444444444,0.5963292589763177,0.0,1.0,0.0,0.0,0.013553327832259586,0.0003388331958064897,0.6889444444444442,0.5200053475935829,0.0,1.0,0.0,0.0,0.017202734665623134,0.001032164079937388
2026-03-27,Randy_Arozarena,668227,hitter,SEA,CLE,2026,823162,9,136,114,1,668909.0,Gavin_Williams,0.0,0.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,5.0,0.12121212121212122,0.5175,0.5175,0.0,0.0,62.099999999999994,4.632467532467532,10.39090909090909,3.6395604395604395,1.08,-7.0,52.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.3420795472146876,0.15863097914979307,0.2979343394488351,-0.3342679725266374,0.09487781148512175,1.0,1.8,0.8,0.2,0.6,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.2,0.8146318346878622,0.0,0.20004152005014736,0.3340462962962959,0.06859898504856479,0.0,2.0,0.0,0.0,0.0012743266257284325,0.00012743266257284327,0.5406388888888887,0.1543195050747571,0.0,2.0,0.0,0.0,0.004639642413478201,0.0007423427861565122,0.48472222222222205,-0.10829300356506238,0.0,2.0,0.0,0.0,-0.0029191051291923946,-0.00014595525645961973,0.5540115740740741,0.17141509331005128,0.0,2.0,0.0,0.0,0.005281098934502386,0.00013202747336255965,0.6986296296296295,0.044758467023172904,0.0,2.0,0.0,0.0,0.0017389160274207042,0.00010433496164524224
