Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-01,Riley_Unroe,hitter,HOU,NYM,2026,831579,0,117,121,0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,8.0,0.07894736842105263,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.08,4.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.29954736842105256,-0.4744,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Riley_Unroe,hitter,HOU,BAL,2026,831642,1,117,110,0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,8.0,0.11428571428571428,0.395,0.395,0.0,0.0,47.400000000000006,4.1,8.2,3.9214285714285717,1.08,-8.0,84.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.21807619047619037,-0.4744,-0.3440285714285714,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Riley_Unroe,hitter,HOU,WSH,2026,831524,2,117,120,1,0.0,0.0,0.0,3.0,3.0,0.0,2.0,5.0,0.07317073170731707,0.0,0.0,0.0,0.0,10.0,4.1,8.2,0.9500000000000001,1.08,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.08262764227642283,-0.4744,-0.5,0.5,0.0,0.0,1.0,0.0,0.0
2026-03-08,Riley_Unroe,hitter,HOU,WSH,2026,831572,3,117,120,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,0.06451612903225806,0.0,0.0,0.0,0.0,10.0,13.5,27.0,3.2700000000000005,1.08,-15.0,82.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5,-0.4744,-0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
2026-03-10,Riley_Unroe,hitter,HOU,BAL,2026,831617,4,117,110,1,1.0,0.0,0.0,3.0,2.0,1.0,0.0,8.0,0.06818181818181818,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,4.1,8.2,5.088520408163265,1.08,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.06916524427952986,-0.4744,-0.30039216141001857,0.25,0.0,0.0,0.0,0.0,0.0
2026-03-12,Riley_Unroe,hitter,HOU,WSH,2026,831510,5,117,120,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.02857142857142857,0.69,0.69,0.0,0.0,65.0,6.75,18.0,3.2571428571428567,1.08,0.0,78.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.47664761904761904,-0.4744,-0.3895428571428572,0.4,0.0,0.0,1.0,0.0,0.0
2026-03-13,Riley_Unroe,hitter,HOU,STL,2026,831567,6,117,138,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.02857142857142857,0.0,0.0,0.0,0.0,10.0,0.0,13.5,2.919937205651492,1.05,-10.0,72.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.4475358451072736,-0.484,-0.5,0.4,0.0,0.0,0.0,0.0,0.0
2026-03-17,Riley_Unroe,hitter,HOU,PIT,2026,831560,7,117,134,0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.045454545454545456,0.635,0.635,0.5,30.0,65.0,3.0,9.0,4.315620094191522,1.08,-13.0,56.0,0,4.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.33815701441415724,-0.2744,-0.33326444983587844,0.2,0.0,0.0,0.0,0.0,0.0
2026-03-18,Riley_Unroe,hitter,HOU,STL,2026,831556,8,117,138,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.06451612903225806,0.0,0.0,0.0,0.0,10.0,7.5,8.625,2.230926216640502,1.05,0.0,67.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.06184090832362721,-0.484,-0.013582721426039335,0.4,0.0,0.4,1.0,0.0,2.0
2026-03-20,Riley_Unroe,hitter,HOU,MIA,2026,831505,9,117,146,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.025,0.89,0.89,0.0,0.0,65.0,0.0,18.0,2.8753246753246757,1.08,-15.0,75.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5,-0.4744,-0.08083376623376615,0.4,0.0,0.4,0.0,0.0,0.0
2026-03-21,Riley_Unroe,hitter,HOU,NYM,2026,831549,10,117,121,0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,8.0,0.075,0.6533333333333333,0.6533333333333333,0.5,30.0,65.0,4.1,8.2,6.547124304267162,1.08,0.0,76.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.2038683055040198,-0.2744,0.0905562152133581,0.4,0.0,0.4,1.0,0.0,0.0
2026-03-22,Riley_Unroe,hitter,HOU,STL,2026,831496,11,117,138,1,0.0,0.0,0.0,2.0,2.0,0.0,1.0,8.0,0.06060606060606061,0.0,0.0,0.0,0.0,10.0,5.4,4.5,1.5824175824175823,1.08,0.0,76.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.30512094572094584,-0.4744,-0.3706063936063936,0.6,0.0,0.4,1.0,0.0,0.0
2026-03-23,Riley_Unroe,hitter,SUG,HOU,2026,831443,12,5434,117,0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,0.1111111111111111,0.1725,0.1725,0.0,0.0,20.7,0.0,12.0,4.274828113063407,1.08,11.0,80.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.009273542144130453,-0.4744,-0.12484192768016295,0.6,0.0,0.4,0.0,0.0,0.0
2026-03-24,Riley_Unroe,hitter,SUG,HOU,2026,831441,13,5434,117,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,0.04878048780487805,0.0,0.0,0.0,0.0,10.0,3.0,12.0,4.515899541634836,1.08,15.0,78.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.23659003459476913,-0.4744,-0.5,0.4,0.0,0.0,0.0,0.0,0.0
