Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-05,Robert_Gasser,688107,pitcher,MIL,COL,2026,831792,0,158,115,0,1.0,2.0,3.0,10.125,2.6666666666666665,13.0,53.0,3.0,3.0,0.0,5.075,5.075,62.0,11.320754716981131,0.3837139423076923,0.1497326203208556,1.0611111111111111,18.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,2.5,10.1,2.5,2.5,10.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.2065834818775998,0.5607127403846155,0.22990549879807887,2.0,3.0,10.125,2.0,3.0,10.125
2026-03-11,Robert_Gasser,688107,pitcher,MIL,CIN,2026,831793,1,158,113,0,1.0,4.0,4.0,13.5,2.6666666666666665,13.0,62.0,0.0,5.0,3.0,14.825,14.825,66.0,19.35483870967742,0.3985468409586057,0.1875,1.08,4.0,77.0,0,6.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,2.5,10.1,2.5,2.5,10.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.9120000000000001,0.6410607843137255,0.5010801470588255,2.0,3.0,10.125,2.0,3.0,10.125
2026-03-21,Robert_Gasser,688107,pitcher,MIL,SD,2026,831767,2,158,135,1,1.0,7.0,0.0,0.0,6.0,24.0,79.0,1.0,5.0,0.0,1.366666666666667,1.366666666666667,66.0,26.58227848101265,0.41640642701525055,0.18562548562548561,1.0722222222222222,7.0,101.0,0,10.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,3.5,11.8,2.5,3.5,11.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.07611499611499628,0.23582892156862778,-6.196256617647059,3.0,3.5,11.8125,4.0,4.0,13.5
2026-05-17,Robert_Gasser,688107,pitcher,MIL,MIN,2026,823708,3,158,142,0,1.0,3.0,2.0,4.5,4.0,20.0,79.0,2.0,3.0,0.0,3.2,3.2,61.0,11.39240506329114,0.29672222222222217,0.21546513342178975,1.08,-13.0,62.0,0,57.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,4.5,2.5,7.9,4.5,2.5,7.9,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.30827893262568296,-0.7771500000000002,-4.023587500000001,4.333333333333333,2.3333333333333335,7.875,7.0,0.0,0.0
2026-05-23,Robert_Gasser,688107,pitcher,MIL,LAD,2026,823787,4,158,119,1,1.0,4.0,4.0,8.307692307692308,4.333333333333333,21.0,89.0,4.0,4.0,1.0,7.123076923076924,7.123076923076924,60.0,13.48314606741573,0.2691136363636364,0.19592701945643123,1.0733333333333333,0.0,65.0,0,6.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,3.5,2.5,7.0,3.5,2.5,7.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.2619171776818834,-0.6461886363636362,-3.1497763986013982,4.0,2.25,7.03125,3.0,2.0,4.5
2026-06-03,Robert_Gasser,688107,pitcher,MIL,SF,2026,823780,5,158,137,1,1.0,5.0,1.0,1.8,5.0,21.0,83.0,1.0,5.0,1.0,4.4,4.4,67.0,18.072289156626507,0.428649470899471,0.26752779384358333,1.0733333333333333,-6.0,77.0,0,11.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,3.5,2.5,7.3,3.5,2.5,7.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.45088901741533327,0.6437226190476193,-1.6412992857142852,4.0,2.6,7.286538461538461,4.0,4.0,8.307692307692308
2026-06-09,Robert_Gasser,688107,pitcher,MIL,ATH,2026,824999,6,158,133,0,1.0,7.0,6.0,10.8,5.0,25.0,93.0,2.0,8.0,4.0,12.0,12.0,69.0,22.58064516129032,0.32383407148407145,0.3029821915270831,1.0666666666666669,8.0,94.0,0,6.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,4.5,2.5,5.6,4.5,2.5,5.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.309190865549998,-0.6007466783216784,-2.1813440209790205,4.6,2.2,5.621538461538462,5.0,1.0,1.8
2026-06-16,Robert_Gasser,688107,pitcher,MIL,CLE,2026,823775,7,158,114,1,1.0,5.0,0.0,0.0,5.666666666666667,20.0,92.0,2.0,2.0,0.0,2.494117647058824,2.494117647058824,67.0,16.304347826086957,0.32409259259259265,0.21787761787761792,1.0733333333333333,0.0,74.0,0,7.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,5.5,2.5,5.1,5.5,2.5,5.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.6623123903123904,0.49321666666666664,-0.346067647058824,5.2,2.6,5.081538461538462,7.0,6.0,10.8
2026-06-21,Robert_Gasser,688107,pitcher,MIL,ATL,2026,824908,8,158,144,0,1.0,7.0,2.0,3.0,6.0,23.0,97.0,1.0,4.0,0.0,1.366666666666667,1.366666666666667,70.0,21.649484536082475,0.23384399551066218,0.23691520467836255,1.08,0.0,77.0,0,5.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,5.5,2.5,5.1,4.5,2.5,5.1,real,real,synthetic,8.0,5.0,0.0,-129.891304,0.0,-110.0,-110.0,0.0,-110.0,0.8345229603962802,0.0,0.0,2026-06-21T19:20:37.517202+00:00,-1.0806783625731002,-0.8681020202020202,-2.65215303030303,4.8,2.6,5.081538461538462,5.0,0.0,0.0
2026-06-29,Robert_Gasser,688107,pitcher,MIL,CIN,2026,823771,9,158,113,1,1.0,5.0,3.0,4.764705882352941,5.666666666666667,24.0,96.0,1.0,7.0,1.0,4.258823529411765,4.258823529411765,71.0,15.625,0.35172121212121227,0.24117726749305698,1.0733333333333333,-14.0,91.0,0,8.0,1.2246467991473532e-16,-1.0,0.0,1.0,5.5,2.5,4.8,5.5,2.5,4.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.18791519338887763,-0.02245454545454484,-0.8650748663101591,5.6,2.6,4.781538461538462,7.0,2.0,3.0
