Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-03,Roman_Anthony,hitter,USA,SF,2026,831720,0,940,137,0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,0.0,2.0,7.0,0.05357142857142857,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,4.1,8.2,3.2142857142857144,1.038888888888889,5.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,3.5,0.5,0.5,1.5,0.5,3.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.45065476190476195,0.9904166666666665,0.5399642857142857,0.6374444444444443,0.32071428571428573,1.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0
2026-03-20,Roman_Anthony,hitter,BOS,TB,2026,831602,1,111,139,0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.09090909090909091,0.7666666666666666,0.7666666666666666,0.0,0.0,65.0,4.1,8.2,6.228826530612245,1.0611111111111111,0.0,76.0,0,17.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,3.5,0.5,0.5,1.5,0.5,3.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.61345609152752,-0.1281439393939392,0.8344034477427336,0.3195555555555555,0.5353504174397035,1.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0
2026-03-21,Roman_Anthony,hitter,BOS,ATL,2026,831502,2,111,144,1,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,1.0,0.12121212121212122,0.1725,0.1725,0.0,0.0,20.7,2.25,5.25,2.2520604395604393,1.08,-6.0,77.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.6601642357642359,-0.7033613636363636,-0.11304470529470528,-0.12440000000000001,0.19389847652347658,1.0,2.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-23,Roman_Anthony,hitter,BOS,MIN,2026,832036,3,111,142,1,2.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.08695652173913043,0.445,0.445,0.0,0.0,53.4,0.0,20.25,3.664285714285714,1.08,0.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.45036915113871634,-0.2748101449275362,-0.04238716356107658,-0.24106666666666665,0.07930848861283646,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
2026-03-24,Roman_Anthony,hitter,BOS,MIN,2026,832037,4,111,142,0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.075,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,0.0,2.501020408163266,1.08,0.0,82.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,1.0280241496598639,-0.022950000000000026,0.04946768707482996,-0.2994,-0.1507489795918367,1.0,1.75,0.5,0.25,0.5,2.0,2.0,1.0,0.0,0.0
2026-03-26,Roman_Anthony,hitter,BOS,CIN,2026,824541,5,111,113,0,3.0,3.0,1.0,0.0,0.0,5.0,4.0,1.0,1.0,1.0,0.125,0.6719999999999999,0.6719999999999999,0.0,0.0,65.0,45.0,3.0,7.047606804959747,1.08,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.9887209388650566,-0.03244999999999987,0.6102303402479874,-0.33440000000000003,0.4759803402479874,1.0,1.6,0.6,0.2,0.6,1.0,1.0,1.0,0.0,1.0
2026-03-28,Roman_Anthony,hitter,BOS,CIN,2026,824540,6,111,113,0,1.0,1.0,0.0,0.0,1.0,6.0,5.0,1.0,2.0,1.0,0.1276595744680851,0.26333333333333336,0.26333333333333336,0.0,0.0,31.600000000000005,9.0,3.0,6.849804607157549,1.08,0.0,49.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.3873850920877202,-0.05744574468085095,0.378924627520998,-0.4744,-0.08538211006765445,1.4,1.4,0.6,0.0,0.2,3.0,3.0,1.0,0.0,0.0
2026-03-29,Roman_Anthony,hitter,BOS,CIN,2026,824538,7,111,113,0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,2.0,1.0,0.13157894736842105,0.13799999999999998,0.13799999999999998,0.0,0.0,16.56,9.0,0.0,6.196143142571714,1.08,0.0,60.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.28833344500111435,-0.38956578947368414,0.1422466308127961,-0.4744,0.14494399923384893,1.4,1.4,0.6,0.0,0.4,1.0,1.0,0.0,0.0,1.0
2026-03-30,Roman_Anthony,hitter,BOS,HOU,2026,824214,8,111,117,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,1.0,0.12903225806451613,0.0,0.0,0.0,0.0,10.0,19.5,12.0,4.252291787160209,1.08,0.0,73.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.4724975758254195,-0.5944467741935484,-0.034054765480699245,-0.4744,-0.1566434751581186,1.4,1.4,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0
2026-03-31,Roman_Anthony,hitter,BOS,HOU,2026,824212,9,111,117,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,1.0,0.11764705882352941,0.0,0.0,0.0,0.0,10.0,2.25,17.03571428571429,3.6094346443030654,1.08,0.0,73.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.03873381870967019,0.14512058823529406,-0.20854297366719965,-0.4744,-0.20217532660837612,1.0,1.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0
