Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-03,Ryan_Bliss,669208,hitter,SEA,LAA,2026,831817,0,136,108,1,691946.0,,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0454545454545454,0.635,0.635,0.5,30.0,65.0,4.1,8.2,3.0,1.0722222222222222,3.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.4508181818181818,0.8483030303030303,-0.2967272727272728,-0.27688888888888885,-0.3990454545454546,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Ryan_Bliss,669208,hitter,SEA,SD,2026,831765,1,136,135,1,621111.0,Walker_Buehler,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,7.0,0.0465116279069767,0.345,0.345,0.0,0.0,41.4,4.1,8.2,4.0,1.0722222222222222,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.46437209302325577,0.11895736434108528,-0.40489534883720935,-0.4768888888888889,-0.4348023255813954,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Ryan_Bliss,669208,hitter,SEA,CWS,2026,831904,2,136,145,1,691799.0,Grant_Taylor,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.054054054054054,0.0,0.0,0.0,0.0,10.0,0.0,9.0,0.0,1.0722222222222222,-10.0,75.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.2092072072072073,0.07194369369369358,-0.5,-0.4768888888888889,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,0.9688888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Ryan_Bliss,669208,hitter,SEA,AZ,2026,831748,3,136,109,0,668678.0,Zac_Gallen,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,8.0,0.0606060606060606,0.345,0.345,0.0,0.0,41.4,0.0,0.0,4.316326530612245,1.0611111111111111,0.0,78.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.31829218011401017,0.022169903648484923,-0.3813932417932514,-0.48045912563194443,-0.40242952157166045,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.05,0.9425,0.0,0.0617271875,0.5099305555555556,-0.404,0.0,0.0,0.0,0.0,-0.0011845686805555,-0.0001184568680555,0.3851388888888888,-0.5039999999999999,0.0,0.0,0.0,0.0,-0.0011161324999999,-0.0001785811999999,0.303125,-0.8399999999999999,0.0,0.0,0.0,0.0,-0.0014640937499999,-7.320468749999999e-05,0.2026388888888889,-0.5039999999999999,0.0,0.0,0.0,0.0,-0.0005872475,-1.46811875e-05,0.0640972222222222,-0.8399999999999999,0.0,0.0,0.0,0.0,-0.0003095895833333,-1.8575375e-05
2026-03-17,Ryan_Bliss,669208,hitter,SEA,COL,2026,831742,4,136,115,0,801403.0,Chase_Dollander,2.0,2.0,0.0,0.0,2.0,4.0,4.0,0.0,1.0,1.0,0.0851063829787234,0.445,0.445,0.0,0.0,53.4,6.1000000000000005,4.3999999999999995,8.528571428571428,1.0611111111111111,0.0,91.0,0,8.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.3082020429242649,-0.008816001104177407,-0.014752182750785825,-0.4804555570996502,-0.13298632218844986,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.15,0.7515894145798072,0.0,0.1053562111737627,0.5372048611111111,0.7228333333333332,0.0,0.0,0.0,0.0,0.0128613613601765,0.0012861361360176,0.3209374999999999,0.2437083333333332,0.0,0.0,0.0,0.0,0.0025905959357708,0.0004144953497233,0.2976562499999999,0.172847222222222,0.0,0.0,0.0,0.0,0.0017040653490251,8.52032674512577e-05,-0.0557638888888888,-0.2406666666666667,0.0,0.0,0.0,0.0,-0.0004445062082306,-1.1112655205765695e-05,-0.0315451388888888,0.1780555555555554,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,Ryan_Bliss,669208,hitter,SEA,ATH,2026,831755,5,136,133,0,650644.0,Aaron_Civale,1.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0,1.0,8.0,0.075,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,9.204545454545455,8.28409090909091,1.314935064935065,1.0611111111111111,0.0,99.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.36652911503422103,0.3808035519001194,-0.4994405741025835,-0.48044444444444445,0.04208749691290148,0.6,0.8,0.0,0.0,0.4,2.0,2.0,0.0,0.0,2.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.1,0.7736835813232648,0.0,0.1088557094621233,0.667736111111111,0.7489130434782608,0.0,0.0,0.0,0.0,0.0188625789136399,0.0018862578913639,0.3774166666666666,0.7991304347826087,0.0,0.0,0.0,0.0,0.0113763660424129,0.001820218566786,0.4943749999999999,0.6,0.0,0.0,0.0,0.0,0.011188517948331,0.0005594258974165,-0.1841388888888888,0.7991304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.077736111111111,0.8,0.0,0.0,0.0,0.0,0.0023457277691364,0.0001407436661481
2026-03-20,Ryan_Bliss,669208,hitter,SEA,CLE,2026,831743,6,136,114,0,671106.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,9.0,0.0338983050847457,0.0,0.0,0.0,0.0,10.0,4.1,8.2,1.7967032967032968,1.08,7.0,98.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.19246605789732318,-0.05403936033356893,-0.472505913466389,-0.4744,0.20069957161482588,0.6,0.6,0.2,0.0,0.8,1.0,1.0,1.0,0.0,2.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,0.5073842592592596,0.6296875,0.0,0.0,0.0,0.0,0.0036741755461516,0.0003674175546151,0.2268055555555558,0.70375,0.0,0.0,0.0,0.0,0.0018355657118055,0.0002936905138888,0.3427083333333336,1.0,0.0,0.0,0.0,0.0,0.0039411458333333,0.0001970572916666,-0.3026851851851852,0.70375,0.0,0.0,0.0,0.0,0.0,0.0,-0.0342824074074071,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-21,Ryan_Bliss,669208,hitter,SEA,CHC,2026,831923,7,136,112,1,607067.0,Colin_Rea,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,8.0,0.0909090909090909,0.0,0.0,0.0,0.0,10.0,4.568181818181818,8.659090909090908,2.9502551020408165,1.0722222222222222,7.0,101.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.16935868893011752,-0.13581060606060613,-0.47319179035250464,-0.4768888888888889,0.005421846011131826,0.6,0.6,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.1,0.8457582521472478,0.0,0.1413061280778628,-0.1396644491129787,0.477624273424785,0.0,0.0,0.0,0.0,0.0,0.0,-0.2744852941176472,0.6208476807719135,0.0,0.0,0.0,0.0,0.0,0.0,-0.2172531512605043,0.4510938057040998,0.0,0.0,0.0,0.0,0.0,0.0,-0.4279960317460317,0.7467667984189723,0.0,0.0,0.0,0.0,0.0,0.0,-0.345704365079365,0.6102237076648842,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,Ryan_Bliss,669208,hitter,SEA,SD,2026,831735,8,136,135,0,608566.0,Germán_Márquez,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0512820512820512,0.0,0.0,0.0,0.0,10.0,12.600000000000001,10.200000000000001,2.4750000000000005,1.0722222222222222,0.0,92.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.02694871794871817,-0.17908333333333348,-0.5,-0.4768888888888889,-0.06494230769230774,0.6,0.6,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.2,0.8618750000000001,0.0,0.1822173958333333,-0.3933333333333335,0.0769894179894179,0.0,0.0,0.0,0.0,0.0,0.0,-0.4960416666666667,0.1099887566137565,0.0,0.0,0.0,0.0,0.0,0.0,-0.4750000000000002,0.4146373456790123,0.0,0.0,0.0,0.0,0.0,0.0,-0.5219791666666667,0.1311693121693121,0.0,0.0,0.0,0.0,0.0,0.0,-0.5745833333333334,0.4175617283950616,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-28,Ryan_Bliss,669208,hitter,SEA,CLE,2026,823161,9,136,114,1,676282.0,Joey_Cantillo,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0444444444444444,0.0,0.0,0.0,0.0,10.0,4.928571428571428,10.357142857142856,3.4285714285714284,1.08,-6.0,53.0,0,5.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.18511917888774732,-0.18281666666666668,-0.43782142857142864,-0.4744,-0.02530476190476194,0.6,0.6,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.1,0.8527834043735862,0.0,0.1745534032964235,-0.4390165544332212,-0.0712906231216189,0.0,1.0,0.0,0.0,-0.0013822650679495,-0.0001382265067949,-0.562811447811448,0.2630563263874975,0.0,1.0,0.0,0.0,0.0,0.0,-0.5667929292929295,0.5393154761904762,0.0,1.0,0.0,0.0,0.0,0.0,-0.5950771604938272,0.7121490683229813,0.0,1.0,0.0,0.0,0.0,0.0,-0.7332716049382715,0.5215399385560676,0.0,1.0,0.0,0.0,0.0,0.0
