Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-02,Sal_Stewart,hitter,CIN,CHC,2026,831930,0,113,112,1,2.0,6.0,2.0,1.0,4.0,4.0,3.0,1.0,0.0,4.0,0.08695652173913043,1.0150000000000001,1.0150000000000001,1.3333333333333333,30.0,65.0,4.1,8.2,2.8421052631578947,1.08,0.0,86.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,5.5,1.5,0.5,3.5,1.5,5.5,1.5,0.5,3.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.34791029748283764,1.1083565217391307,0.5466704805491993,0.7339333333333333,0.11586613272311252,2.0,6.0,2.0,1.0,4.0,2.0,6.0,2.0,1.0,4.0
2026-03-06,Sal_Stewart,hitter,CIN,SF,2026,831889,1,113,137,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,0.07142857142857142,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,0.0,0.0,5.2105263157894735,1.038888888888889,5.0,68.0,0,4.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,5.5,1.5,0.5,3.5,1.5,5.5,1.5,0.5,3.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.7260877192982456,-0.8815833333333334,0.21377631578947387,0.3124444444444444,-0.019473684210526088,2.0,6.0,2.0,1.0,4.0,2.0,6.0,2.0,1.0,4.0
2026-03-07,Sal_Stewart,hitter,CIN,KC,2026,831897,2,113,118,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.08108108108108109,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.889090909090909,1.0611111111111111,-11.0,75.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,2.5,0.5,0.5,1.5,0.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.7707528255528258,-0.6638761261261261,0.11336670761670764,-0.13044444444444447,-0.14319410319410308,1.0,3.0,1.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Sal_Stewart,hitter,CIN,SD,2026,831892,3,113,135,0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,0.08333333333333333,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,20.25,0.0,4.359615384615385,1.0722222222222222,-7.0,85.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,1.5,0.5,1.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.6182179487179489,-0.1425833333333335,0.08956410256410252,-0.24355555555555558,-0.481352564102564,0.6666666666666666,2.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0
2026-03-10,Sal_Stewart,hitter,CIN,COL,2026,831898,4,113,115,0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0975609756097561,0.2225,0.2225,0.0,0.0,26.7,0.0,0.0,8.553852162874719,1.0611111111111111,8.0,72.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.9375687206613303,-0.18075508130081275,0.18974443741202862,-0.30544444444444446,0.49617431546080915,0.75,1.75,0.5,0.25,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-12,Sal_Stewart,hitter,CIN,LAD,2026,831894,5,113,119,0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,0.075,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,18.0,3.0,6.074436090225563,1.0611111111111111,0.0,90.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.7732274436090225,-0.1615166666666663,0.12063847117794502,-0.34044444444444444,0.30092180451127837,0.8,1.6,0.4,0.2,0.8,1.0,1.0,0.0,0.0,0.0
2026-03-13,Sal_Stewart,hitter,CIN,SF,2026,831759,6,113,137,1,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0967741935483871,0.7566666666666667,0.7566666666666667,0.0,0.0,65.0,0.0,13.5,3.8713211600429642,1.08,5.0,86.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.04651091091784754,0.35482741935483875,0.17641820853978274,-0.4744,-0.25862749038494853,0.6,0.6,0.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2026-03-15,Sal_Stewart,hitter,CIN,SEA,2026,831890,7,113,136,0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,0.07317073170731707,0.6533333333333333,0.6533333333333333,0.5,30.0,65.0,27.0,0.0,8.128451380552221,1.0722222222222222,-4.0,86.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.9893656974985117,1.0028191056910567,0.16270102431216393,-0.27688888888888885,0.191471349515416,0.8,0.8,0.2,0.0,0.2,1.0,1.0,0.0,0.0,1.0
2026-03-17,Sal_Stewart,hitter,CIN,CLE,2026,831883,8,113,114,1,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,0.075,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,6.0,15.0,2.3291208791208793,1.08,0.0,90.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.1684815018315018,-0.39395,-0.069793956043956,-0.4744,-0.383343956043956,1.0,1.2,0.4,0.0,0.2,1.0,2.0,1.0,0.0,0.0
2026-03-18,Sal_Stewart,hitter,CIN,LAA,2026,831895,9,113,108,0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,4.0,0.08333333333333333,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,3.0,11.0,2.8013147566719,1.038888888888889,0.0,96.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.13188592360020945,1.6029166666666668,0.06281573783359518,-0.1625555555555555,-0.20893426216640498,0.8,1.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0
