Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-02,Sean_Keys,hitter,TOR,BOS,2026,831640,0,141,111,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.024390243902439025,0.72,0.72,0.0,0.0,65.0,4.1,8.2,10.5,1.08,-7.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.11974634146341456,-0.25271585365853655,0.07848170731707316,-0.4744,-0.023317073170731728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Sean_Keys,hitter,TOR,CAN,2026,831437,1,141,784,1,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,9.0,0.07894736842105263,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,4.0,1.08,-7.0,79.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.2902140350877192,-0.4136394736842105,-0.4472763157894737,-0.4744,-0.4311578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Sean_Keys,hitter,TOR,ATL,2026,831583,2,141,144,0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,9.0,0.045454545454545456,0.635,0.635,0.5,30.0,65.0,4.1,8.2,2.5,1.08,-6.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.37144848484848475,0.3320363636363636,0.11827272727272731,-0.2744,-0.42404545454545456,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-06,Sean_Keys,hitter,TOR,PIT,2026,831525,3,141,134,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,0.024390243902439025,0.0,0.0,0.0,0.0,10.0,9.0,18.0,1.5,1.08,0.0,84.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.5,0.11661747967479674,-0.20085162601626017,-0.4744,-0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,2.0,1.0,0.0,0.0
2026-03-07,Sean_Keys,hitter,TOR,PHI,2026,831576,4,141,143,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.03125,0.69,0.69,0.0,0.0,65.0,4.1,8.2,5.215714285714286,1.08,0.0,84.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.11836726190476177,0.05127499999999996,0.18641071428571443,-0.4744,-0.28846428571428573,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Sean_Keys,hitter,TOR,DET,2026,831627,5,141,116,1,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,9.0,0.08571428571428572,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,4.792436974789917,1.08,5.0,79.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.11256918767506985,-0.15824999999999995,-0.14312815126050416,-0.4744,-0.38357815126050415,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Sean_Keys,hitter,TOR,ATL,2026,831513,6,141,144,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,0.02631578947368421,0.69,0.69,0.0,0.0,65.0,4.1,8.2,3.5671321160042964,1.08,-6.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.23956383816684562,-0.01611315789473683,-0.026235499462943068,-0.4744,-0.37669602577873257,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,Sean_Keys,hitter,TOR,NYY,2026,831620,7,141,147,0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0967741935483871,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,2.7803571428571425,1.08,-8.0,81.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.16746098310291857,-0.11617258064516123,-0.30112999231950843,-0.4744,-0.4511756912442396,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-13,Sean_Keys,hitter,TOR,MIN,2026,831623,8,141,142,1,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.09375,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,4.5,5.758262414277452,1.08,11.0,73.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.2348763299044314,-0.10347499999999993,-0.27404521261946074,-0.4744,-0.3058368792861274,0.2,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-14,Sean_Keys,hitter,TOR,DET,2026,831614,9,141,116,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,0.02857142857142857,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.9114236603732402,1.08,0.0,78.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.3695236130815963,-0.18414999999999998,-0.5,-0.4744,-0.5,0.4,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
