Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Sebastián_Rivero,665861,hitter,LAA,LAD,2026,831827,0,108,119,0,689017.0,Landon_Knack,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.02702702702702703,0.69,0.69,0.0,0.0,65.0,4.1,8.2,4.0,1.0611111111111111,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.3336036036036035,-0.27240315315315317,-0.20969594594594593,-0.48044444444444445,-0.35421621621621624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Sebastián_Rivero,665861,hitter,LAA,SEA,2026,831817,1,108,136,0,693433.0,Bryan_Woo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.023809523809523808,0.0,0.0,0.0,0.0,10.0,4.1,8.2,11.368421052631579,1.0722222222222222,3.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.0662631578947368,-0.5,-0.21482894736842106,-0.4768888888888889,-0.19657894736842102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5562499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Sebastián_Rivero,665861,hitter,LAA,ATH,2026,831941,2,108,133,1,806960.0,Luis_Morales,2.0,3.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,5.0,0.0425531914893617,1.08,1.08,0.5,30.0,65.0,4.1,8.2,4.25,1.038888888888889,0.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.36278014184397156,0.5093847517730496,0.026867021276595793,-0.2875555555555555,-0.20645744680851064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.0,1.0,0.0,0.03333333333333333,0.5756944444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1583333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5624999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7618055555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11805555555555569,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Sebastián_Rivero,665861,hitter,LAA,CLE,2026,831826,3,108,114,0,668909.0,Gavin_Williams,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.027777777777777776,0.0,0.0,0.0,0.0,10.0,3.0,9.0,4.425721153846154,1.08,0.0,69.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.29808506386989553,0.46701436230324067,-0.21367687026993193,-0.47437998680555554,0.6209374057999468,0.6666666666666666,1.0,0.3333333333333333,0.0,1.0,2.0,3.0,1.0,0.0,3.0,batter_pitcher_profile_network_v2,0.1,0.05,0.9425,0.0,0.0617271875,0.8962962962962964,-0.34366666666666673,0.0,0.0,0.0,0.0,-0.0017711561728395065,-0.00017711561728395067,0.7069444444444444,0.0477083333333333,0.0,0.0,0.0,0.0,0.00019393106192129613,3.102896990740738e-05,0.8125,-0.19804166666666664,0.0,0.0,0.0,0.0,-0.0009252259114583332,-4.626129557291666e-05,0.29004629629629625,0.48000000000000004,0.0,0.0,0.0,0.0,0.0008005277777777777,2.0013194444444446e-05,0.5254629629629629,-0.08449999999999996,0.0,0.0,0.0,0.0,-0.0002553093171296295,-1.531855902777777e-05
2026-03-07,Sebastián_Rivero,665861,hitter,LAA,MIL,2026,831795,4,108,158,1,605540.0,Brandon_Woodruff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0,0.047619047619047616,0.0,0.0,0.0,0.0,10.0,4.1,8.2,3.0383458646616543,1.038888888888889,0.0,75.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.07313283208020033,-0.10608333333333331,-0.4713327067669173,-0.4875555555555555,-0.0750827067669172,0.5,0.75,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.0,1.0,0.0,0.06666666666666667,0.43819444444444455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3062500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07743055555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3194444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Sebastián_Rivero,665861,hitter,LAA,TEX,2026,831813,5,108,140,0,543135.0,Nathan_Eovaldi,1.0,1.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,5.0,0.08695652173913043,0.2225,0.2225,0.0,0.0,26.7,4.1,8.2,3.6462662337662337,1.0611111111111111,-18.0,84.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.006323263692828873,-0.045335144927536264,-0.29099647092038394,-0.48044444444444445,-0.033675818746470854,0.4,0.6,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,-0.12372023809523826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15970238095238104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10508928571428555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2979166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014583333333332352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Sebastián_Rivero,665861,hitter,LAA,SD,2026,831771,6,108,135,1,621111.0,Walker_Buehler,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.02702702702702703,0.0,0.0,0.0,0.0,10.0,6.0,12.0,3.736813186813187,1.038888888888889,-6.0,72.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.07156152326851384,0.04240082785243393,-0.4943850875429099,-0.48764196384027775,0.4255921959440515,0.6,0.8,0.2,0.0,1.0,1.0,1.0,0.0,0.0,2.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,0.16018992003366972,-0.5271666666666668,0.0,0.0,0.0,0.0,-0.0009711380410441201,-9.711380410441202e-05,-0.02423295454545476,-0.6582916666666668,0.0,0.0,0.0,0.0,-0.0001834520484138274,-2.9352327746212385e-05,0.23529829545454528,-0.2202638888888889,0.0,0.0,0.0,0.0,-0.0005960187524660665,-2.9800937623303325e-05,-0.41398148148148156,-0.7260000000000001,0.0,0.0,0.0,0.0,-0.00345633138888889,-8.640828472222226e-05,-0.14965856481481482,-0.31227777777777777,0.0,0.0,0.0,0.0,-0.0005374530065264918,-3.224718039158951e-05
2026-03-13,Sebastián_Rivero,665861,hitter,LAA,CLE,2026,831879,7,108,114,1,676282.0,Joey_Cantillo,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.030303030303030304,0.0,0.0,0.0,0.0,10.0,9.0,6.0,2.275549450549451,1.038888888888889,0.0,88.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.10956743256743273,-0.09399242424242427,-0.5,-0.4875555555555555,0.03641383616383631,0.6,0.8,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.05,0.9425,0.0,0.12839385416666665,-0.02406249999999996,0.13173076923076918,0.0,0.0,0.0,0.0,0.0,0.0,-0.21419642857142857,0.43764423076923076,0.0,0.0,0.0,0.0,0.0,0.0,-0.007068452380952384,0.7165865384615384,0.0,0.0,0.0,0.0,0.0,0.0,-0.5233928571428572,0.91,0.0,0.0,0.0,0.0,0.0,0.0,-0.4285267857142857,0.6221153846153846,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14,Sebastián_Rivero,665861,hitter,LAA,SEA,2026,831747,8,108,136,1,669302.0,Logan_Gilbert,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.024390243902439025,0.72,0.72,0.0,0.0,65.0,1.6875,7.3125,8.449879951980792,1.038888888888889,-3.0,85.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.004583530625165144,-0.1491654026444985,-0.014299221666400685,-0.4875555555555555,0.14558225891604237,0.2,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.1,0.8478352352686312,0.0,0.1579473517012926,-0.44525006677350465,-0.44688425925925934,0.0,0.0,0.0,0.0,-0.008073872409822401,-0.0008073872409822401,-0.5453345352564104,-0.2022916666666667,0.0,0.0,0.0,0.0,-0.0044763478289290975,-0.0007162156526286556,-0.3775090144230772,-0.35895216049382705,0.0,0.0,0.0,0.0,-0.005498531650270499,-0.000274926582513525,-0.6054513888888889,0.10824074074074072,0.0,0.0,0.0,0.0,0.0,0.0,-0.6376779513888889,-0.38303395061728385,0.0,0.0,0.0,0.0,-0.009911091871092634,-0.0005946655122655581
2026-03-15,Sebastián_Rivero,665861,hitter,LAA,COL,2026,831858,9,108,115,1,685299.0,Tanner_Gordon,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.05405405405405406,0.0,0.0,0.0,0.0,10.0,2.25,9.0,6.549773755656109,1.038888888888889,0.0,86.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.11588292364762937,-0.44005630630630627,-0.16965320410908635,-0.4875555555555555,-0.12994374464962688,0.2,0.2,0.2,0.0,0.4,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.0,1.0,0.0,0.15,-0.10616016313933005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2861078042328044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06366567460317481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6013734567901236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3907831790123458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
