Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-04,Spencer_Jones,hitter,NYY,BOS,2026,831634,0,147,111,0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.08823529411764706,0.42333333333333334,0.42333333333333334,0.3333333333333333,28.333333333333332,65.0,4.1,8.2,7.22,1.08,-15.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.7002392156862747,0.6035029411764707,-0.12824019607843135,-0.3202333333333333,-0.20123529411764707,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
2026-03-07,Spencer_Jones,hitter,NYY,WSH,2026,831568,1,147,120,0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,0.0967741935483871,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,0.0,0.0,4.0875,1.08,0.0,75.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.9508247311827958,0.2593274193548387,-0.20727284946236552,-0.4744,-0.3168185483870967,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
2026-03-08,Spencer_Jones,hitter,NYY,NYM,2026,831575,2,147,121,0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,4.0,0.07692307692307693,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,3.373684210526316,1.08,0.0,82.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.5157576248313089,-0.3158500000000002,-0.3944760458839406,-0.4744,-0.4448542510121457,1.0,1.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-10,Spencer_Jones,hitter,NYY,PHI,2026,831573,3,147,143,0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,6.0,0.08333333333333333,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,0.0,6.0,4.186134453781512,1.08,6.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.6770120448179273,0.9693166666666668,0.209390056022409,-0.14939999999999998,0.1109733893557423,1.0,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,1.0
2026-03-12,Spencer_Jones,hitter,NYY,DET,2026,831621,4,147,116,0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.08108108108108109,0.42333333333333334,0.42333333333333334,0.3333333333333333,28.333333333333332,65.0,45.0,9.0,3.613104332642148,1.0611111111111111,-16.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.48238002916154177,0.8666238738738739,0.14240071212760297,-0.051277777777777755,0.11000656798345876,1.0,2.0,0.5,0.25,0.5,1.0,4.0,1.0,1.0,1.0
2026-03-23,Spencer_Jones,hitter,NYY,CHC,2026,831780,5,147,112,0,2.0,8.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,0.045454545454545456,2.1,2.1,3.0,30.0,65.0,0.0,9.0,5.078222365869425,1.0277777777777777,0.0,93.0,0,11.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.5239470764529588,4.486219696969697,0.9289338455661986,0.4738888888888888,0.41636566374801687,1.0,2.0,0.4,0.2,0.4,1.0,2.0,0.0,0.0,0.0
2026-03-24,Spencer_Jones,hitter,NYY,CHC,2026,831779,6,147,112,0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.075,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,0.0,27.0,5.456373626373627,1.0277777777777777,0.0,91.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,3.5,0.5,0.5,0.5,1.5,3.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.0508283882783884,-0.33901666666666674,0.47256868131868135,0.12888888888888883,0.7970186813186815,1.2,3.2,0.8,0.6,1.0,2.0,8.0,2.0,2.0,3.0
2026-05-08,Spencer_Jones,hitter,NYY,MIL,2026,823794,7,147,158,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,6.0,0.09375,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,3.0,8.25,2.777534887472776,1.0733333333333333,0.0,67.0,0,45.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.30094722883224445,-0.5406750000000002,0.3202517443736388,-0.05653333333333338,0.20512674437363887,1.0,3.0,1.0,0.6,1.0,0.0,0.0,1.0,0.0,0.0
2026-05-09,Spencer_Jones,hitter,NYY,MIL,2026,823792,8,147,158,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,8.0,0.07317073170731707,0.0,0.0,0.0,0.0,10.0,7.8,8.1,2.2265144793095106,1.0733333333333333,0.0,69.0,0,1.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.12948822144880323,-0.7906475609756098,-0.147729154083305,-0.05653333333333338,-0.05162549554671958,0.8,2.8,0.8,0.6,0.8,0.0,0.0,0.0,0.0,0.0
2026-05-10,Spencer_Jones,hitter,NYY,MIL,2026,823793,9,147,158,0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,8.0,0.1111111111111111,0.2225,0.2225,0.0,0.0,26.7,4.0,13.0,2.0588126159554734,1.0733333333333333,0.0,64.0,0,1.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.2257808286951144,-0.14509166666666684,-0.11393436920222633,-0.1965333333333334,-0.08464270253555961,0.6,2.0,0.6,0.4,0.6,0.0,0.0,0.0,0.0,0.0
