Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-03,Taylor_Ward,621493,hitter,BAL,NED,2026,831445,0,110,878,1,820853.0,Ryjeteri_Merite,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.05405405405405406,0.345,0.345,0.0,0.0,41.4,4.1,8.2,4.0,1.08,8.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.3128072072072071,-0.38907297297297294,0.4346081081081081,-0.4744,-0.4259324324324324,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Taylor_Ward,621493,hitter,BAL,HOU,2026,831642,1,110,117,1,676467.0,Colton_Gordon,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.08108108108108109,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,2.7,1.08,-8.0,84.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.31574414414414403,-0.4113094594594594,0.3404121621621623,-0.4744,-0.49364864864864866,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,0.6190277777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1908333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6562499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7184722222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018472222222222362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Taylor_Ward,621493,hitter,BAL,STL,2026,831519,2,110,138,1,700241.0,Michael_McGreevy,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.07692307692307693,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,1.4605263157894737,1.08,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.3714353576248312,-0.38584999999999997,-0.15013394062078267,-0.4744,-0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.0,1.0,0.0,0.03333333333333333,0.29079861111111105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08229166666666676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33281249999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7951388888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34670138888888896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Taylor_Ward,621493,hitter,BAL,MIN,2026,831630,3,110,142,1,690953.0,Mick_Abel,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,0.1,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,2.9142857142857146,1.08,-10.0,82.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.07797142857142869,-0.04398333333333326,0.14163095238095247,-0.4744,-0.46068571428571425,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.23324074074074047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11777777777777801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7910648148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3292592592592595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Taylor_Ward,621493,hitter,BAL,TOR,2026,831628,4,110,141,1,664074.0,Cody_Ponce,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.09090909090909091,0.42333333333333334,0.42333333333333334,0.3333333333333333,28.333333333333332,65.0,4.5,9.0,5.884033613445379,1.08,0.0,82.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.053229503589710014,0.24139428317272726,0.15829894896772356,-0.3203368893958333,-0.2649395872061402,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.05,0.9425,0.0,0.07839385416666667,0.22182291666666656,0.232,0.0,0.0,0.0,0.0,0.0003945490277777776,3.9454902777777764e-05,-0.1396875000000001,-0.166,0.0,0.0,0.0,0.0,-0.00017777562500000013,-2.844410000000002e-05,0.23359374999999985,-0.352,0.0,0.0,0.0,0.0,-0.0006303916666666661,-3.1519583333333305e-05,-0.81125,-0.666,0.0,0.0,0.0,0.0,-0.004142242500000001,-0.00010355606250000002,-0.43442708333333346,-0.25199999999999995,0.0,0.0,0.0,0.0,-0.000839313125,-5.03587875e-05
2026-03-11,Taylor_Ward,621493,hitter,BAL,PIT,2026,831507,5,110,134,1,663562.0,Noah_Davis,1.0,4.0,1.0,1.0,3.0,3.0,3.0,0.0,1.0,1.0,0.08333333333333333,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,12.0,9.0,4.032467532467533,1.08,6.0,81.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.09886536796536793,1.6546500000000002,0.1543733766233767,-0.14939999999999998,-0.28337662337662334,0.4,0.6,0.4,0.0,0.0,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.42224999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10088888888888883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40624999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3548333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13858333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14,Taylor_Ward,621493,hitter,BAL,PIT,2026,831562,6,110,134,0,669387.0,Carmen_Mlodzinski,2.0,2.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0975609756097561,0.6174999999999999,0.6174999999999999,0.0,0.0,65.0,3.4285714285714284,9.857142857142858,5.315120593692022,1.08,-8.0,80.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.2595006538584176,0.20855679526106075,0.33082551928071235,-0.23451806391145835,0.6605605553516742,0.6,1.4,0.4,0.2,0.6,1.0,4.0,1.0,1.0,3.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,0.7101776960784312,-0.07549999999999998,0.0,0.0,0.0,0.0,-0.0006166117846200977,-6.166117846200977e-05,0.6757203159041393,-0.406,0.0,0.0,0.0,0.0,-0.003154938154956426,-0.0005047901047930282,0.7595281862745098,-0.5319999999999999,0.0,0.0,0.0,0.0,-0.0046467934436274505,-0.00023233967218137255,0.45326388888888886,-0.906,0.0,0.0,0.0,0.0,-0.004722556458333333,-0.00011806391145833334,0.5944097222222222,-0.43199999999999994,0.0,0.0,0.0,0.0,-0.0029530274999999997,-0.00017718164999999997
2026-03-19,Taylor_Ward,621493,hitter,BAL,NYY,2026,832062,7,110,147,0,608331.0,Max_Fried,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.07317073170731707,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,3.65625,10.125,3.348551448551448,1.08,-11.0,68.0,0,5.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.48639849707568217,0.1081529086070816,0.547161355528315,-0.3344686978105989,0.02586576576014543,1.0,1.8,0.8,0.2,0.6,2.0,2.0,2.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.1,0.8248572779142209,0.0,0.14156216501221747,0.8971428571428571,-0.3421785714285715,0.0,0.0,0.0,0.0,-0.012545364761319257,-0.0012545364761319259,0.7571825396825397,-0.28267857142857145,0.0,0.0,0.0,0.0,-0.008747065108181188,-0.00139953041730899,0.9375,-0.45833928571428567,0.0,0.0,0.0,0.0,-0.017560110342873792,-0.0008780055171436897,0.3072619047619046,-0.21883928571428574,0.0,0.0,0.0,0.0,-0.00274791242395591,-6.869781059889775e-05,0.6608333333333332,-0.3768214285714284,0.0,0.0,0.0,0.0,-0.010176452587198289,-0.0006105871552318973
2026-03-20,Taylor_Ward,621493,hitter,BAL,NYY,2026,831603,8,110,147,0,661563.0,Luis_Gil,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0967741935483871,0.0,0.0,0.0,0.0,10.0,7.8999999999999995,11.6,4.0628371628371625,1.08,-6.0,76.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.3769416031140278,-0.23807662395586715,0.18558126479896098,-0.3342486169985339,-0.0664250765030277,1.0,1.8,0.8,0.2,0.6,1.0,1.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.15,0.8158253175473056,0.0,0.17084254312340158,0.9200000000000002,0.5392857142857143,0.0,0.0,0.0,0.0,0.024367187510788868,0.002436718751078887,0.7247222222222223,0.6314285714285715,0.0,0.0,0.0,0.0,0.022474729308088175,0.0035959566892941083,0.9453125,0.7555555555555555,0.0,0.0,0.0,0.0,0.035078455722703,0.0017539227861351502,0.1952604166666667,0.6314285714285715,0.0,0.0,0.0,0.0,0.00605532005864478,0.0001513830014661195,0.6288541666666667,0.8777777777777778,0.0,0.0,0.0,0.0,0.027110229036847653,0.001626613742210859
2026-03-26,Taylor_Ward,621493,hitter,BAL,MIN,2026,824865,9,110,142,1,657746.0,Joe_Ryan,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.125,0.0,0.0,0.0,0.0,10.0,1.3499999999999999,5.7,3.3045918367346943,1.08,10.0,77.0,0,6.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.5443309778181158,-0.35225497327954924,0.04029181195731524,-0.33441912929779727,-0.07361885808309837,1.0,1.8,0.8,0.2,0.6,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.15,0.752685285398744,0.0,0.18866940788079806,0.7588464506172836,-0.17809183673469392,0.0,0.0,0.0,0.0,-0.010026956512721542,-0.0010026956512721543,0.5575077160493825,-0.21228826530612246,0.0,0.0,0.0,0.0,-0.0087810829971838,-0.001404973279549408,0.8199652777777775,-0.3904804421768708,0.0,0.0,0.0,0.0,-0.023755597588388095,-0.0011877798794194048,0.042469135802469166,-0.24283673469387754,0.0,0.0,0.0,0.0,-0.0007651719118895535,-1.912929779723884e-05,0.4479668209876542,-0.42545918367346935,0.0,0.0,0.0,0.0,-0.014140831997219685,-0.000848449919833181
