Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-06-17,Tommy_Edman,hitter,LAD,TB,2026,823940,0,119,139,1,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,0.1,0.1725,0.1725,0.0,0.0,20.7,6.0,10.65,7.047077922077922,1.08,4.0,78.0,0,2.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.2645502164502165,-0.416525,-0.22002110389610385,-0.4744,-0.2712961038961038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-19,Tommy_Edman,hitter,LAD,BAL,2026,823936,1,119,110,1,3.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,6.0,0.11363636363636363,0.61,0.61,0.2,17.0,65.0,0.0,7.0,3.6122448979591835,1.08,5.0,69.0,0,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,real,real,real,synthetic,0.0,1.0,1.0,1.0,0.0,-110.0,145.0,135.0,525.0,-110.0,-110.0,-200.0,-185.0,0.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T20:50:58.917955+00:00,-0.24139808286951142,-0.964759090909091,-0.1839559369202226,-0.38189999999999996,-0.2957513914656772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-20,Tommy_Edman,hitter,LAD,BAL,2026,823937,2,119,110,1,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,6.0,0.11764705882352941,0.445,0.445,0.0,0.0,53.4,3.117647058823529,5.176470588235294,4.313543599257885,1.08,0.0,67.0,0,1.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,real,real,real,synthetic,0.0,7.0,4.0,7.0,0.0,-110.0,-112.293186,-118.187685,462.749577,-110.0,-110.0,-117.200675,-165.0,0.0,-110.0,0.0,0.3779644730092272,0.0,0.0,0.0,2026-06-20T11:58:55.263102+00:00,0.31439272436247223,0.5253705882352944,-0.23458752591945864,-0.4744,-0.30546987886063515,1.5,2.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0
2026-06-21,Tommy_Edman,hitter,LAD,BAL,2026,823934,3,119,110,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.02857142857142857,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.956400742115028,1.08,6.0,74.0,0,1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1.5,2.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,real,real,synthetic,synthetic,0.0,2.0,1.0,0.0,0.0,-110.0,0.0,0.0,-110.0,-110.0,-110.0,0.0,0.0,-110.0,-110.0,0.0,2.8284271247461903,0.0,0.0,0.0,2026-06-21T19:20:37.517202+00:00,0.4739893630179348,-1.0521500000000001,-0.5,-0.4744,-0.5,1.6666666666666667,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
2026-06-22,Tommy_Edman,hitter,LAD,MIN,2026,823692,4,119,142,0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,7.0,0.10526315789473684,0.445,0.445,0.0,0.0,53.4,9.0,18.0,4.821428571428571,1.08,-4.0,77.0,0,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.868006015037594,-0.3581526315789474,-0.234796992481203,-0.4744,-0.2946390977443609,1.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-23,Tommy_Edman,hitter,LAD,MIN,2026,823690,5,119,142,0,1.0,1.0,0.0,0.0,1.0,6.0,5.0,1.0,2.0,5.0,0.11538461538461539,0.26333333333333336,0.26333333333333336,0.0,0.0,31.600000000000005,1.5,9.75,4.821428571428571,1.08,-6.0,68.0,0,1.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.10062747252747228,-0.08684999999999987,-0.3019606227106227,-0.4744,-0.3372362637362637,1.4,1.6,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
2026-06-24,Tommy_Edman,hitter,LAD,MIN,2026,823691,6,119,142,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,6.658163265306122,1.08,11.0,74.0,0,1.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.01472653061224527,-0.3473499999999998,-0.5,-0.4744,-0.16409183673469385,1.6,1.8,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0
2026-06-26,Tommy_Edman,hitter,LAD,SD,2026,823285,7,119,135,0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,7.0,0.11764705882352941,0.395,0.395,0.0,0.0,47.400000000000006,1.2857142857142856,12.257142857142858,2.854591836734694,1.08,0.0,70.0,0,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,real,real,real,synthetic,0.0,8.0,7.0,8.0,0.0,-110.0,101.679516,163.791018,740.916728,-110.0,-110.0,105.4723,-215.203189,0.0,-110.0,0.0,0.5345224838248488,0.0,0.0,0.0,2026-06-27T01:11:02.474098+00:00,0.15600104041616647,-0.17712941176470587,-0.3450351140456182,-0.4744,-0.2574174669867947,1.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2026-06-27,Tommy_Edman,hitter,LAD,SD,2026,823283,8,119,135,0,2.0,5.0,1.0,0.0,3.0,5.0,4.0,1.0,0.0,6.0,0.10204081632653061,0.716,0.716,0.75,30.0,65.0,9.0,2.25,2.693877551020408,1.08,0.0,69.0,0,1.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,real,real,real,synthetic,0.0,7.0,7.0,8.0,0.0,-110.0,117.292441,144.664564,646.462066,-110.0,-110.0,-120.807374,-191.647727,0.0,-110.0,0.0,0.48795003647426666,0.0,0.0,0.0,2026-06-27T13:01:31.487963+00:00,0.6263217687074831,0.36627857142857123,-0.186184693877551,-0.21189999999999998,-0.18750612244897957,0.8,0.8,0.0,0.0,0.2,1.0,1.0,0.0,0.0,0.0
2026-06-28,Tommy_Edman,hitter,LAD,SD,2026,823281,9,119,135,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,6.0,0.10526315789473684,0.0,0.0,0.0,0.0,10.0,1.2857142857142856,6.857142857142857,4.163265306122449,1.08,0.0,70.0,0,1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.12385635517364824,0.3275973684210529,-0.2344551557465091,-0.4744,0.562952738990333,1.2,1.8,0.2,0.0,0.8,2.0,5.0,1.0,0.0,3.0
