Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-05,Trevor_Richards,670950,pitcher,PHI,BOS,2026,831581,0,143,111,1,0.0,3.0,0.0,0.0,1.0,5.0,17.0,1.0,0.0,0.0,0.2000000000000001,0.2000000000000001,71.0,52.94117647058824,0.37806481481481485,0.254349404818288,1.08,0.0,83.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.4827952385463039,-0.09110833333333307,2.1800250000000023,3.0,0.0,0.0,3.0,0.0,0.0
2026-03-08,Trevor_Richards,670950,pitcher,PHI,MIN,2026,831522,1,143,142,0,0.0,0.0,2.0,18.0,1.0,6.0,27.0,0.0,3.0,0.0,3.2,3.2,59.0,0.0,0.31270085470085474,0.1885369532428356,1.08,0.0,83.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.04370437405731531,-0.38524615384615357,-0.46721538461538237,3.0,0.0,0.0,3.0,0.0,0.0
2026-03-13,Trevor_Richards,670950,pitcher,PHI,BAL,2026,831565,2,143,110,1,0.0,2.0,0.0,0.0,1.0,4.0,20.0,0.0,1.0,0.0,-0.7999999999999998,-0.7999999999999998,60.0,30.0,0.3798981481481482,0.29195402298850576,1.08,21.0,78.0,0,5.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.716367816091954,0.957141666666667,4.114275000000003,1.5,1.0,9.0,0.0,2.0,18.0
2026-03-17,Trevor_Richards,670950,pitcher,PHI,MIN,2026,831554,3,143,142,1,0.0,3.0,0.0,0.0,1.0,3.0,14.0,0.0,0.0,0.0,-2.8,-2.8,64.0,60.0,0.3228804713804714,0.16806461634047842,1.08,-13.0,55.0,0,4.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,6.0,2.5,0.5,6.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.3074830692761727,0.1405621212121213,-0.23494090909090826,1.6666666666666667,0.6666666666666666,6.0,2.0,0.0,0.0
2026-04-30,Trevor_Richards,670950,pitcher,PHI,SF,2026,823471,4,143,137,1,0.0,3.0,1.0,3.8571428571428568,2.333333333333333,11.0,45.0,1.0,3.0,0.0,1.9142857142857144,1.9142857142857144,73.0,20.0,0.30479629629629634,0.25181414836587246,1.08,0.0,63.0,0,44.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,2.5,0.5,4.5,2.5,0.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.25748681307302057,-0.06081666666666635,-2.8060071428571414,2.0,0.5,4.5,3.0,0.0,0.0
2026-05-02,Trevor_Richards,670950,pitcher,PHI,MIA,2026,823876,5,143,146,0,0.0,2.0,0.0,0.0,2.0,8.0,24.0,2.0,1.0,0.0,4.2,4.2,57.99999999999999,25.0,0.2992696969696969,0.32514619883040935,1.0766666666666669,0.0,72.0,0,2.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,2.5,0.5,4.4,2.5,0.5,4.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.47450292397660787,0.1439136363636362,-1.5023886363636376,2.2,0.6,4.371428571428572,3.0,1.0,3.8571428571428568
2026-05-08,Trevor_Richards,670950,pitcher,CWS,SEA,2026,824607,6,145,136,1,0.0,1.0,3.0,27.0,1.0,6.0,22.0,0.0,3.0,1.0,14.2,14.2,73.0,13.636363636363637,0.3126212121212121,0.30113350701586,1.08,0.0,58.0,0,6.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,2.5,0.5,4.4,2.5,0.5,4.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.002931943873120346,0.04639545454545446,0.5175590909090895,2.0,0.6,4.371428571428572,2.0,0.0,0.0
2026-05-15,Trevor_Richards,670950,pitcher,CWS,CHC,2026,824601,7,145,112,1,0.0,1.0,0.0,0.0,0.6666666666666666,2.0,7.0,0.0,0.0,0.0,0.2000000000000001,0.2000000000000001,56.99999999999999,42.85714285714285,0.18887037037037038,0.27873977873977873,1.08,0.0,74.0,0,7.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,2.5,0.5,6.2,2.5,0.5,6.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.17808177008177006,0.11351666666666693,2.082475000000005,2.2,0.8,6.171428571428572,1.0,3.0,27.0
2026-05-16,Trevor_Richards,670950,pitcher,CWS,CHC,2026,824600,8,145,112,1,0.0,2.0,2.0,9.0,2.0,8.0,34.0,0.0,2.0,1.0,7.7,7.7,68.0,17.647058823529413,0.27959814814814815,0.25033068783068785,1.08,0.0,81.0,0,1.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,2.5,0.5,6.2,2.5,0.5,6.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.5493544973544973,0.04179166666666678,-3.7619374999999997,2.0,0.8,6.171428571428572,1.0,0.0,0.0
2026-05-18,Trevor_Richards,670950,pitcher,CWS,SEA,2026,823137,9,145,136,0,0.0,1.0,3.0,27.0,1.0,6.0,26.0,1.0,2.0,1.0,17.2,17.2,57.99999999999999,11.538461538461538,0.2293320707070707,0.23419463419463418,1.08,-4.0,64.0,0,2.0,0.49999999999999994,-0.8660254037844387,0.0,1.0,2.5,1.5,8.0,2.5,1.5,8.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.6824429264429266,-0.5764056818181817,0.31234886363636427,1.8,1.2,7.971428571428572,2.0,2.0,9.0
