Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-04,Tyler_Wells,669330,pitcher,BAL,HOU,2026,831642,0,110,117,1,0.0,3.0,0.0,0.0,2.0,6.0,24.0,0.0,0.0,0.0,0.2000000000000001,0.2000000000000001,75.0,37.5,0.36303030303030304,0.23214285714285715,1.08,-8.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.30514285714285716,-0.15876363636363627,0.035563636363636686,3.0,0.0,0.0,3.0,0.0,0.0
2026-03-08,Tyler_Wells,669330,pitcher,BAL,TOR,2026,831628,1,110,141,1,1.0,0.0,0.0,0.0,1.0,4.0,10.0,0.0,1.0,0.0,3.2,3.2,70.0,0.0,0.36185185185185187,0.2309410250586721,1.08,0.0,82.0,0,4.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.29552820046937667,-0.16406666666666653,1.5234000000000014,3.0,0.0,0.0,3.0,0.0,0.0
2026-03-13,Tyler_Wells,669330,pitcher,BAL,PHI,2026,831565,2,110,143,0,0.0,1.0,4.0,54.0,0.6666666666666666,6.0,22.0,1.0,3.0,1.0,24.2,24.2,68.0,13.636363636363637,0.36126984126984135,0.20836404737333528,1.08,21.0,78.0,0,5.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.3850876210133178,-0.16668571428571383,2.9997428571428637,1.5,0.0,0.0,0.0,0.0,0.0
2026-03-21,Tyler_Wells,669330,pitcher,BAL,PHI,2026,831499,3,110,143,1,0.0,3.0,0.0,0.0,1.0,3.0,13.0,0.0,0.0,0.0,-2.8,-2.8,77.0,60.0,0.32767171717171717,0.1485826001955034,1.08,10.0,77.0,0,8.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,1.5,18.0,2.5,1.5,18.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.8433391984359728,0.2821227272727276,-1.9608954545454509,1.3333333333333333,1.3333333333333333,18.0,1.0,4.0,54.0
2026-03-26,Tyler_Wells,669330,pitcher,BAL,MIN,2026,824865,4,110,142,1,0.0,1.0,1.0,9.0,1.0,4.0,14.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,71.0,21.428571428571427,0.5501111111111112,0.1488252958841194,1.08,10.0,77.0,0,5.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,13.5,2.5,0.5,13.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.2613976329270447,1.4031000000000007,3.6279000000000075,1.75,1.0,13.5,3.0,0.0,0.0
2026-03-29,Tyler_Wells,669330,pitcher,BAL,MIN,2026,824864,5,110,142,1,0.0,2.0,1.0,13.5,0.6666666666666666,6.0,27.0,2.0,2.0,0.0,6.2,6.2,59.0,22.22222222222222,0.33590277777777783,0.235006435006435,1.08,13.0,56.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,12.6,2.5,0.5,12.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.9599485199485203,0.5991625000000005,2.2386937500000066,1.6,1.0,12.6,1.0,1.0,9.0
2026-03-30,Tyler_Wells,669330,pitcher,BAL,TEX,2026,824863,6,110,140,1,0.0,1.0,1.0,9.0,1.0,6.0,26.0,0.0,3.0,0.0,1.2000000000000002,1.2000000000000002,73.0,11.538461538461538,0.30778504273504276,0.2904965404965405,1.08,8.0,70.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,1.5,15.3,2.5,1.5,15.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.5200276760276763,-0.3833673076923074,-5.250305769230767,1.4,1.2,15.3,2.0,1.0,13.5
2026-04-03,Tyler_Wells,669330,pitcher,BAL,PIT,2026,823406,7,110,134,0,0.0,2.0,0.0,0.0,2.0,6.0,23.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,65.0,26.08695652173913,0.28640488215488213,0.24912578083309792,1.08,16.0,75.0,0,4.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,1.5,17.1,2.5,1.5,17.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.846993753335217,-0.33557803030303024,-11.860101136363637,1.6,1.4,17.1,1.0,1.0,9.0
2026-04-06,Tyler_Wells,669330,pitcher,BAL,CWS,2026,824619,8,110,145,0,0.0,2.0,0.0,0.0,2.0,7.0,32.0,1.0,1.0,0.0,2.7,2.7,63.0,18.75,0.2964793771043771,0.20740234078127373,1.08,3.0,48.0,0,3.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,2.5,0.5,6.3,2.5,0.5,6.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.8967812737498102,-0.026242803030302964,-4.168092613636363,1.8,0.6,6.3,2.0,0.0,0.0
2026-04-08,Tyler_Wells,669330,pitcher,BAL,CWS,2026,824617,9,110,145,0,0.0,1.0,0.0,0.0,1.0,5.0,22.0,1.0,0.0,0.0,4.2,4.2,59.0,13.636363636363637,0.24846170033670031,0.22549019607843135,1.08,-18.0,58.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,6.3,2.5,0.5,6.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.8960784313725494,-0.24232234848484852,-3.9809011363636366,1.6,0.6,6.3,2.0,0.0,0.0
2026-04-12,Tyler_Wells,669330,pitcher,BAL,SF,2026,824859,10,110,137,1,0.0,1.0,1.0,4.5,2.0,8.0,28.0,0.0,2.0,1.0,8.7,8.7,64.0,10.714285714285714,0.36806734006734015,0.16315957277219828,1.08,0.0,62.0,0,4.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,4.5,2.5,0.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.534723417822414,0.15190303030303087,-1.566436363636361,1.6,0.4,4.5,1.0,0.0,0.0
2026-04-15,Tyler_Wells,669330,pitcher,BAL,AZ,2026,824855,11,110,109,1,0.0,0.0,2.0,18.0,1.0,6.0,14.0,0.0,3.0,1.0,16.2,16.2,64.0,0.0,0.3450648148148148,0.3127074442863917,1.08,5.0,85.0,0,3.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,2.7,2.5,0.5,2.7,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.48234044570886647,0.20839166666666675,3.6755250000000004,1.4,0.4,2.7,1.0,1.0,4.5
