Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Tyrone_Taylor,621438,hitter,NYM,HOU,2026,831579,0,121,117,1,669920.0,Jason_Alexander,1.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,0.05128205128205128,1.05,1.05,1.5,30.0,65.0,4.1,8.2,4.0,1.08,4.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,3.5,0.5,0.5,0.5,0.5,3.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.4797846153846155,1.7651500000000002,0.7888653846153848,0.7755999999999998,0.6223076923076925,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Tyrone_Taylor,621438,hitter,NYM,ISR,2026,831431,1,121,840,1,815084.0,Ben_Simon,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,6.0,0.08571428571428572,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,0.0,1.08,0.0,80.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,3.5,0.5,0.5,0.5,0.5,3.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.38439999999999996,-0.36624999999999996,0.17125000000000012,0.3256,0.2168000000000001,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Tyrone_Taylor,621438,hitter,NYM,MIA,2026,831480,2,121,146,0,676974.0,Max_Meyer,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.08823529411764706,0.0,0.0,0.0,0.0,10.0,4.1,8.2,1.3339285714285714,1.05,0.0,78.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.062270308123249296,-0.2813970588235295,-0.33537710084033623,-0.134,-0.28253886554621843,0.5,2.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.0,1.0,0.0,0.03333333333333333,0.5359722222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6816666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48125000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8922222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7234722222222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Tyrone_Taylor,621438,hitter,NYM,NYY,2026,831575,3,121,147,1,677960.0,Ryan_Weathers,1.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,6.0,0.07142857142857142,0.6533333333333333,0.6533333333333333,1.0,30.0,65.0,4.1,8.2,2.390625,1.08,0.0,82.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.12497499999999995,0.7953166666666669,-0.06105208333333323,0.0839333333333333,-0.16680208333333335,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.2140277777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4558333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5390277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5952777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Tyrone_Taylor,621438,hitter,NYM,MIA,2026,831468,4,121,146,1,663969.0,Tyler_Phillips,1.0,2.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,0.07317073170731707,0.42333333333333334,0.42333333333333334,0.3333333333333333,28.333333333333332,65.0,0.0,9.0,2.0142857142857142,1.08,-11.0,82.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.07586573751451808,0.27705243902439025,0.36249274099883855,-0.14523333333333338,0.35076306620209063,0.5,1.5,0.75,0.25,0.75,1.0,2.0,2.0,0.0,2.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.0,1.0,0.0,0.06666666666666667,0.5552651515151512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6904545454545452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5267045454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6745833333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,Tyrone_Taylor,621438,hitter,NYM,STL,2026,831472,5,121,138,0,700241.0,Michael_McGreevy,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,0.05714285714285714,0.635,0.635,0.5,30.0,65.0,2.25,9.0,2.919937205651492,1.05,0.0,85.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.15596996278806374,0.601800829094643,0.3557734958852532,-0.14417169212499997,0.3144173174679914,0.6,1.6,0.8,0.2,0.8,1.0,2.0,1.0,0.0,1.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.05,0.9425,0.0,0.09506052083333333,0.7527023809523812,-0.22300000000000003,0.0,0.0,0.0,0.0,-0.0016085877132936514,-0.00016085877132936515,0.8263571428571429,-0.47287500000000005,0.0,0.0,0.0,0.0,-0.0037448181584821432,-0.0005991709053571429,0.642857142857143,-0.7251249999999999,0.0,0.0,0.0,0.0,-0.004467287946428572,-0.00022336439732142862,0.8946666666666667,-0.801,0.0,0.0,0.0,0.0,-0.006867685,-0.00017169212500000002,0.7371666666666665,-0.6595,0.0,0.0,0.0,0.0,-0.004659046909722221,-0.00027954281458333327
2026-03-13,Tyrone_Taylor,621438,hitter,NYM,MIA,2026,831462,6,121,146,1,663978.0,Chris_Paddack,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,0.06060606060606061,0.445,0.445,0.0,0.0,53.4,0.0,9.75,3.076530612244898,1.08,-12.0,75.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.09414171767673929,-0.31964013067080077,-0.005976148003418613,-0.4755848174094255,-0.028817826836758542,0.6,1.2,0.6,0.0,0.6,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.1,0.6922747564417433,0.0,0.12651963423358864,0.8538888888888888,-0.6806666666666668,0.0,0.0,0.0,0.0,-0.035770825706323735,-0.0035770825706323735,0.8966666666666666,-0.7612916666666667,0.0,0.0,0.0,0.0,-0.04201218032886756,-0.00672194885261881,0.6583333333333332,-0.8225231481481481,0.0,0.0,0.0,0.0,-0.03332629958599873,-0.0016663149792999366,0.928888888888889,-0.829,0.0,0.0,0.0,0.0,-0.04739269637701966,-0.0011848174094254915,0.7538888888888888,-0.8682407407407408,0.0,0.0,0.0,0.0,-0.04028474536217813,-0.0024170847217306877
2026-03-17,Tyrone_Taylor,621438,hitter,NYM,MIA,2026,831463,7,121,146,0,645261.0,Sandy_Alcantara,2.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,9.0,0.0975609756097561,0.54,0.54,0.25,21.25,65.0,0.0,12.0,3.068181818181818,1.05,0.0,64.0,0,4.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.10826692994942444,0.03779758369918729,0.08363497110330953,-0.3686854520833333,0.04453912461505294,0.8,1.4,0.6,0.0,0.6,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.05,0.9425,0.0,0.12839385416666665,0.9120039682539681,-0.9875000000000002,0.0,0.0,0.0,0.0,-0.01208310257523148,-0.0012083102575231482,0.9359126984126982,-0.9900000000000001,0.0,0.0,0.0,0.0,-0.012431260416666664,-0.001989001666666666,0.672222222222222,-1.0,0.0,0.0,0.0,0.0,-0.009018981481481479,-0.00045094907407407394,0.934920634920635,-0.9900000000000001,0.0,0.0,0.0,0.0,-0.012418083333333335,-0.0003104520833333334,0.7474206349206349,-1.0,0.0,0.0,0.0,0.0,-0.010027893518518518,-0.000601673611111111
2026-03-20,Tyrone_Taylor,621438,hitter,NYM,STL,2026,831456,8,121,138,1,669461.0,Matthew_Liberatore,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,2.0,0.10810810810810811,0.18,0.18,0.0,0.0,21.599999999999998,4.5,13.05,1.2115384615384615,1.08,0.0,73.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.5329899978359327,0.2586534313227489,0.14456115223940158,-0.4737747520652369,-0.14249536924132905,1.2,2.0,0.8,0.0,0.6,2.0,3.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.1,0.6627168896626843,0.0,0.16021505143496545,0.8379419191919192,0.05257142857142853,0.0,0.0,0.0,0.0,0.0039621145027673044,0.00039621145027673044,0.8882575757575757,0.23073214285714283,0.0,0.0,0.0,0.0,0.018433607929342583,0.0029493772686948133,0.5856534090909091,0.006839285714285714,0.0,0.0,0.0,0.0,0.00036025892524462144,1.8012946262231074e-05,0.9555555555555556,0.29100000000000004,0.0,0.0,0.0,0.0,0.025009917390523453,0.0006252479347630864,0.7539930555555555,0.1947857142857143,0.0,0.0,0.0,0.0,0.013209542443543857,0.0007925725466126314
2026-03-21,Tyrone_Taylor,621438,hitter,NYM,WSH,2026,831448,9,121,120,0,676917.0,Cade_Cavalli,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,0.08823529411764706,0.0,0.0,0.0,0.0,10.0,0.0,9.75,2.3035714285714284,1.08,0.0,75.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.23344308816578463,-0.5259017832410999,-0.08537418707378092,-0.4763159510961981,-0.4420010028339698,1.0,1.6,0.6,0.0,0.2,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.1,0.6922747564417433,0.0,0.17651963423358863,0.7348516144349477,-0.880357142857143,0.0,0.0,0.0,0.0,-0.059723179966804305,-0.0059723179966804305,0.8164031339031338,-0.9042857142857144,0.0,0.0,0.0,0.0,-0.06815452760981475,-0.01090472441757036,0.5723290598290598,-0.9384615384615385,0.0,0.0,0.0,0.0,-0.049584581811753674,-0.002479229090587684,0.9180246913580248,-0.9042857142857144,0.0,0.0,0.0,0.0,-0.0766380438479255,-0.0019159510961981375,0.7346913580246913,-0.9692307692307692,0.0,0.0,0.0,0.0,-0.0657380024149041,-0.003944280144894246
