Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Vidal_Bruján,660644,hitter,NYM,HOU,2026,831579,0,121,117,1,669920.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,8.0,0.0512820512820512,0.345,0.345,0.0,0.0,41.4,4.1,8.2,4.0,1.08,4.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.3402153846153847,-0.39210000000000006,-0.4088846153846155,-0.4744,-0.42919230769230776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Vidal_Bruján,660644,hitter,NYM,NCA,2026,831434,1,121,881,1,541640.0,,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0512820512820512,0.445,0.445,0.0,0.0,53.4,4.1,8.2,4.0,1.08,5.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.3402153846153847,-0.3471000000000001,-0.28388461538461546,-0.4744,-0.3991923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,0.6190277777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1908333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2812499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7184722222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2434722222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Vidal_Bruján,660644,hitter,NYM,ISR,2026,831431,2,121,840,1,815084.0,,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,8.0,0.0857142857142857,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,4.1,8.2,4.0,1.08,0.0,80.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.20439999999999992,0.043749999999999956,-0.4287500000000001,-0.4744,0.5768,0.5,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,0.9044444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6518055555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1731944444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Vidal_Bruján,660644,hitter,NYM,MIA,2026,831480,3,121,146,0,676974.0,Max_Meyer,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,9.0,0.088235294117647,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,0.75,1.05,0.0,78.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.1989607843137255,-0.18123039215686276,-0.5,-0.484,-0.10940196078431375,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.5904861111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1670833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3989583333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7251388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1845138888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Vidal_Bruján,660644,hitter,NYM,NYY,2026,831575,4,121,147,1,677960.0,Ryan_Weathers,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,8.0,0.0714285714285714,0.7566666666666667,0.7566666666666667,0.0,0.0,65.0,4.1,8.2,4.0,1.08,0.0,82.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.1927333333333333,0.26515,-0.15708333333333335,-0.4744,0.05800000000000005,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,0.5286458333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1156249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2859374999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7395833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2776041666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Vidal_Bruján,660644,hitter,NYM,MIA,2026,831468,5,121,146,1,663969.0,Tyler_Phillips,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,8.0,0.073170731707317,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,0.0,9.0,2.0,1.08,-11.0,82.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.14329430894308937,0.0920524390243902,-0.5,-0.4744,0.030048780487804905,0.6,0.6,0.0,0.0,0.6,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.0,1.0,0.0,0.0833333333333333,0.8733333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4049999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6829166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0558333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-13,Vidal_Bruján,660644,hitter,NYM,WSH,2026,831464,6,121,120,0,641793.0,Zack_Littell,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,6.0,0.0714285714285714,0.0,0.0,0.0,0.0,10.0,4.1,8.2,0.6428571428571429,1.08,0.0,77.0,0,4.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.036885714285714244,-0.15335000000000004,-0.45310714285714293,-0.4744,-0.26885714285714285,0.6,0.6,0.2,0.0,0.6,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.0,1.0,0.0,0.1,0.7182407407407406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2897222222222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7143981481481482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0317592592592592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14,Vidal_Bruján,660644,hitter,NYM,HOU,2026,831508,7,121,117,0,680802.0,Ryan_Weiss,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,7.0,0.1052631578947368,0.2225,0.2225,0.0,0.0,26.7,1.5,15.75,5.862244897959185,1.08,0.0,78.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.2872066953097028,-0.1402776315789474,-0.1771311761546724,-0.4744,-0.1733482814178302,0.4,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.0,1.0,0.0,0.1166666666666666,0.1071632205513783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1675657894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008693609022557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7648214285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3167559523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,Vidal_Bruján,660644,hitter,NYM,WSH,2026,831457,8,121,120,1,683068.0,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,8.0,0.0769230769230769,0.0,0.0,0.0,0.0,10.0,4.1,8.2,0.6428571428571429,1.08,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.14385787545787543,-0.007350000000000023,-0.5,-0.4744,-0.5,0.6,0.6,0.2,0.0,0.2,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.0,1.0,0.0,0.1333333333333333,0.1715717466787439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1369440670289855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146314538043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7794444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3903168402777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-17,Vidal_Bruján,660644,hitter,NYM,MIA,2026,831463,9,121,146,0,645261.0,Sandy_Alcantara,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.024390243902439,0.0,0.0,0.0,0.0,10.0,0.0,12.0,3.502040816326531,1.05,0.0,64.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.39287255362288676,-0.3440407097546904,-0.4596202317343887,-0.484346432109375,-0.45381582350023847,0.4,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.05,0.9425,0.0,0.1617271874999999,-0.0828783831908832,-0.9875000000000002,0.0,0.0,0.0,0.0,-0.0014117814586672,-0.0001411781458667,-0.3384775641025641,-0.99,0.0,0.0,0.0,0.0,-0.0057803506009615,-0.0009248560961538,-0.2364983974358974,-1.0,0.0,0.0,0.0,0.0,-0.0040795973557692,-0.0002039798677884,-0.8114351851851852,-0.99,0.0,0.0,0.0,0.0,-0.013857284375,-0.000346432109375,-0.580474537037037,-1.0,0.0,0.0,0.0,0.0,-0.0100131857638888,-0.0006007911458333
