Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-01,Weston_Wilson,hitter,BAL,BOS,2026,831638,0,110,111,0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,7.0,0.06976744186046512,0.42333333333333334,0.42333333333333334,0.3333333333333333,28.333333333333332,65.0,4.1,8.2,4.0,1.08,-8.0,78.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.5116248062015505,0.583336046511628,0.4474903100775194,-0.3202333333333333,-0.383953488372093,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
2026-03-04,Weston_Wilson,hitter,BAL,HOU,2026,831642,1,110,117,1,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.02702702702702703,2.1,2.1,3.0,30.0,65.0,4.1,8.2,2.7,1.08,-8.0,84.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.42479639639639655,4.491163513513514,1.3008040540540542,0.3506,0.003783783783783856,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
2026-03-05,Weston_Wilson,hitter,BAL,TB,2026,831633,2,110,139,0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,7.0,0.10810810810810811,0.1725,0.1725,0.0,0.0,20.7,4.1,8.2,3.6375,1.0611111111111111,10.0,87.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.5864189189189191,0.0032623873873869336,0.3397162162162164,-0.030444444444444496,0.06776013513513524,1.0,3.0,1.0,0.5,0.5,1.0,4.0,1.0,1.0,1.0
2026-03-08,Weston_Wilson,hitter,BAL,TOR,2026,831628,3,110,141,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,8.0,0.06060606060606061,0.0,0.0,0.0,0.0,10.0,4.5,13.5,5.884033613445379,1.08,0.0,82.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.03948107970460901,-0.29716818181818194,-0.06601801629742804,-0.24106666666666665,-0.2008589253883371,0.6666666666666666,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
2026-03-11,Weston_Wilson,hitter,BAL,PIT,2026,831507,4,110,134,1,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,8.0,0.08333333333333333,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,4.032467532467533,1.08,6.0,81.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.06686536796536802,-0.4488500000000002,-0.0734599567099567,-0.2994,-0.23437662337662335,0.5,1.5,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2026-03-14,Weston_Wilson,hitter,BAL,PIT,2026,831562,5,110,134,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,9.0,0.0975609756097561,0.0,0.0,0.0,0.0,10.0,0.0,15.0,5.315120593692022,1.08,-8.0,80.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.0024194578940223144,-0.4888134146341463,0.039432858952893834,-0.33440000000000003,-0.2765122629983257,0.6,1.4,0.6,0.2,0.2,1.0,1.0,1.0,0.0,0.0
2026-03-18,Weston_Wilson,hitter,BAL,TOR,2026,831600,6,110,141,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,0.08333333333333333,0.0,0.0,0.0,0.0,10.0,3.3000000000000003,15.299999999999999,3.065934065934066,1.08,14.0,61.0,0,4.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.48812930402930393,0.10764999999999991,-0.3489532967032967,-0.33440000000000003,-0.4057032967032967,0.4,1.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2026-03-19,Weston_Wilson,hitter,BAL,PIT,2026,831501,7,110,134,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,8.0,0.09375,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.8013343799058084,1.08,16.0,73.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.24159920852956573,-0.376975,-0.4270582810047096,-0.4744,-0.4926832810047096,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-21,Weston_Wilson,hitter,BAL,PHI,2026,831499,8,110,143,1,1.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,9.0,0.047619047619047616,0.995,0.995,1.0,30.0,65.0,4.1,8.2,2.9669709989258863,1.08,10.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.25092116004296444,1.2204,0.010348549946294416,-0.14939999999999998,-0.2901514500537057,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-22,Weston_Wilson,hitter,BAL,WSH,2026,831503,9,110,120,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,0.02631578947368421,0.0,0.0,0.0,0.0,10.0,4.1,8.2,1.5535714285714286,1.08,-5.0,62.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.132772932330827,0.07738684210526314,-0.07841353383458649,-0.4744,-0.3883740601503759,0.4,0.6,0.6,0.0,0.2,1.0,2.0,2.0,0.0,1.0
