Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-06,Will_Vest,pitcher,DET,BOS,2026,831631,0,116,111,1,1.0,0.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,75.0,25.0,0.2885087145969499,0.2986772486772487,1.0611111111111111,12.0,83.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.875026455026455,-0.5,-1.5,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-23,Will_Vest,pitcher,DET,COL,2026,831857,1,116,115,0,0.0,1.0,9.0,1.0,4.0,10.0,0.0,2.0,0.0,3.2,3.2,70.0,0.0,0.3646481481481481,0.2579365079365079,1.0611111111111111,0.0,93.0,0,17.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.2009523809523814,-0.16508333333333347,1.5142499999999988,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-26,Will_Vest,pitcher,DET,SD,2026,823325,2,116,135,0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,86.0,42.857142857142854,0.3320209692911829,0.2556878306878307,1.08,0.0,74.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,4.5,2.5,0.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.7264973544973548,0.22169436181032331,1.9952492562929098,0.5,0.5,4.5,0.0,1.0,9.0
2026-03-28,Will_Vest,pitcher,DET,SD,2026,823323,3,116,135,0,0.0,0.0,0.0,0.3333333333333333,1.0,4.0,0.0,0.0,0.0,3.2,3.2,75.0,0.0,0.2612416556873079,0.23425925925925925,1.08,0.0,71.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,3.0,2.5,0.5,3.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.6379259259259262,-0.3768125494071144,0.3260611660079116,0.6666666666666666,0.3333333333333333,3.0,1.0,0.0,0.0
2026-03-31,Will_Vest,pitcher,DET,AZ,2026,825107,4,116,109,0,0.0,3.0,40.5,0.6666666666666666,5.0,27.0,2.0,1.0,0.0,12.2,12.2,56.00000000000001,0.0,0.3097901234567901,0.20262470262470264,1.08,-1.0,86.0,0,3.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,2.2,2.5,0.5,2.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-2.151002379002379,-0.21834444444444456,1.6023499999999986,0.5,0.25,2.25,0.0,0.0,0.0
2026-04-03,Will_Vest,pitcher,DET,STL,2026,824299,5,116,138,1,2.0,0.0,0.0,1.0,4.0,17.0,0.0,1.0,0.0,-0.7999999999999998,-0.7999999999999998,76.0,35.294117647058826,0.23366481481481483,0.3044117647058823,1.0666666666666667,18.0,73.0,0,3.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,9.9,2.5,0.5,9.9,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.403372549019608,0.3054916666666667,-2.650575,0.4,0.8,9.9,0.0,3.0,40.5
2026-04-08,Will_Vest,pitcher,DET,MIN,2026,823726,6,116,142,0,1.0,0.0,0.0,1.0,3.0,15.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,53.0,20.0,0.27783501683501693,0.2380826204355616,1.08,15.0,51.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,9.9,2.5,0.5,9.9,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.5153390365155073,0.03385757575757631,-5.095281818181814,0.6,0.8,9.9,2.0,0.0,0.0
2026-04-09,Will_Vest,pitcher,DET,MIN,2026,823724,7,116,142,0,1.0,2.0,27.0,0.6666666666666666,6.0,34.0,1.0,3.0,0.0,4.7,4.7,56.00000000000001,8.823529411764707,0.3335067340067341,0.20197549465842146,1.08,6.0,45.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,2.5,0.5,8.1,2.5,0.5,8.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.8001960427326285,0.14038030303030347,0.545134090909098,0.8,0.6,8.1,1.0,0.0,0.0
2026-04-14,Will_Vest,pitcher,DET,KC,2026,824292,8,116,118,1,3.0,0.0,0.0,1.0,3.0,13.0,0.0,0.0,0.0,-2.8,-2.8,69.0,60.0,0.26716666666666666,0.17592196457602463,1.0666666666666667,10.0,77.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,2.5,0.5,13.5,2.5,0.5,13.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-2.00329095005847,0.44025000000000003,-5.037749999999999,0.8,1.0,13.5,1.0,2.0,27.0
2026-04-17,Will_Vest,pitcher,DET,BOS,2026,824778,9,116,111,0,2.0,0.0,0.0,1.3333333333333333,7.0,23.0,1.0,1.0,0.0,2.45,2.45,61.0,26.08695652173913,0.3141358024691358,0.25188261351052055,1.08,0.0,58.0,0,3.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,13.5,2.5,0.5,13.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.6889390919158358,0.34121111111111124,-7.821824999999999,1.4,1.0,13.5,3.0,0.0,0.0
2026-04-19,Will_Vest,pitcher,DET,BOS,2026,824777,10,116,111,0,0.0,0.0,0.0,1.0,3.0,19.0,1.0,0.0,0.0,6.2,6.2,63.0,0.0,0.28795987654320987,0.2611899728178798,1.08,10.0,45.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,5.4,2.5,0.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.46648021745696155,-0.2085805555555555,-2.7772249999999996,1.8,0.4,5.4,2.0,0.0,0.0
