Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-01,Willson_Contreras,hitter,BOS,BAL,2026,831638,0,111,110,1,2.0,6.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,3.0,0.046511627906976744,1.685,1.685,2.0,30.0,65.0,4.1,8.2,4.0,1.08,-8.0,78.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,5.5,1.5,0.5,2.5,1.5,5.5,1.5,0.5,2.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.2974387596899226,2.1656906976744184,0.9321046511627911,0.9005999999999998,0.4871976744186046,2.0,6.0,2.0,1.0,3.0,2.0,6.0,2.0,1.0,3.0
2026-03-03,Willson_Contreras,hitter,VEN,HOU,2026,831440,1,944,117,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.02857142857142857,0.69,0.69,0.0,0.0,65.0,4.1,8.2,5.4,1.08,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,5.5,1.5,0.5,2.5,1.5,5.5,1.5,0.5,2.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.3177333333333334,-0.7016499999999999,0.43225000000000025,0.3256,0.2375999999999996,2.0,6.0,2.0,1.0,3.0,2.0,6.0,2.0,1.0,3.0
2026-03-04,Willson_Contreras,hitter,VEN,WSH,2026,831428,2,944,120,0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,8.0,0.07894736842105263,0.8833333333333333,0.8833333333333333,1.0,30.0,65.0,4.1,8.2,1.35,1.08,0.0,75.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,2.5,0.5,0.5,1.5,0.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.265119298245614,0.9403605263157893,0.42955701754385966,0.2006,-0.3476578947368423,1.0,3.0,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0
2026-03-19,Willson_Contreras,hitter,BOS,MIN,2026,831606,3,111,142,1,2.0,3.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,4.0,0.08108108108108109,0.9500000000000001,0.9500000000000001,0.5,30.0,65.0,2.6999999999999997,7.6499999999999995,5.492642320085929,1.08,0.0,74.0,0,15.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.5967948819926265,0.44602387387387443,0.5027109448331253,-0.041066666666666696,0.5419834673556481,1.0,2.6666666666666665,0.6666666666666666,0.3333333333333333,1.0,1.0,2.0,0.0,0.0,0.0
2026-03-20,Willson_Contreras,hitter,BOS,TB,2026,831602,4,111,139,0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.09090909090909091,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,6.228826530612245,1.0611111111111111,0.0,76.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.07654390847247994,-0.25464393939393926,0.38590344774273344,-0.30544444444444446,0.5543504174397031,1.25,2.75,0.75,0.25,1.0,2.0,3.0,1.0,0.0,1.0
2026-03-21,Willson_Contreras,hitter,BOS,ATL,2026,831502,5,111,144,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.06060606060606061,0.0,0.0,0.0,0.0,10.0,2.25,5.25,2.2520604395604393,1.08,-6.0,77.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.2929266733266733,-0.9091681818181818,-0.2402833416583417,-0.33440000000000003,-0.06512425074925071,1.2,2.4,0.6,0.2,0.8,1.0,1.0,0.0,0.0,0.0
2026-03-23,Willson_Contreras,hitter,BOS,MIN,2026,832036,6,111,142,1,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,4.0,0.08695652173913043,0.0,0.0,0.0,0.0,10.0,0.0,20.25,3.664285714285714,1.08,0.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.35970248447204967,-0.7643934782608697,-0.40247049689440995,-0.4744,-0.37152484472049685,0.8,1.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2026-03-24,Willson_Contreras,hitter,BOS,MIN,2026,832037,7,111,142,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,0.075,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.501020408163266,1.08,0.0,82.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.612024149659864,-0.7774500000000001,-0.4756989795918367,-0.4744,-0.4437489795918367,0.8,1.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2026-03-26,Willson_Contreras,hitter,BOS,CIN,2026,824541,8,111,113,0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,4.0,0.125,0.13799999999999998,0.13799999999999998,0.0,0.0,16.56,45.0,3.0,7.047606804959747,1.08,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.5767209388650565,0.09125000000000005,-0.10946965975201267,-0.4744,-0.11621965975201265,0.6,0.8,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2026-03-28,Willson_Contreras,hitter,BOS,CIN,2026,824540,9,111,113,0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,4.0,0.10638297872340426,0.41999999999999993,0.41999999999999993,0.0,0.0,50.39999999999999,9.0,3.0,6.849804607157549,1.08,0.0,49.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.12010849634303955,-0.17417978723404254,-0.11571721645063321,-0.4744,-0.19940338666339918,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
