Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-03,Yoán_Moncada,660162,hitter,CUB,KC,2026,831851,0,798,118,0,686701.0,,1.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,2.0,0.1212121212121212,0.395,0.395,0.0,0.0,47.400000000000006,4.1,8.2,1.125,1.0611111111111111,-5.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.48184848484848497,0.4576969696969697,-0.37702272727272723,-0.48044444444444445,-0.47570454545454544,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14,Yoán_Moncada,660162,hitter,LAA,SEA,2026,831747,1,108,136,1,669302.0,Logan_Gilbert,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.073170731707317,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,1.6875,7.3125,9.87857142857143,1.038888888888889,-3.0,85.0,0,11.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.8090778253446407,0.35029092336769574,-0.0639903636310088,-0.4875555555555555,-0.12405376540829682,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.1,0.8478352352686312,0.0,0.0412806850346259,0.0044444444444444,-0.4468842592592593,0.0,0.0,0.0,0.0,-1.0074079729235237e-05,-1.0074079729235236e-06,-0.1716666666666666,-0.2022916666666667,0.0,0.0,0.0,0.0,-0.0001761395210078,-2.8182323361256265e-05,0.3375,-0.358952160493827,0.0,0.0,0.0,0.0,-0.0006144735493277,-3.072367746638984e-05,-0.6518055555555554,0.1082407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.2669444444444445,-0.3830339506172838,0.0,0.0,0.0,0.0,-0.0005186220778851,-3.111732467310738e-05
2026-03-16,Yoán_Moncada,660162,hitter,LAA,ATH,2026,831834,2,108,133,0,605488.0,Jeffrey_Springs,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0769230769230769,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,10.125,12.776785714285715,2.600649350649351,1.0611111111111111,-3.0,88.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.27493027805527803,0.3650833333333333,-0.4231161042332172,-0.48044444444444445,-0.483505994005994,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.1,0.8359220354372199,0.0,0.0580932883992273,-0.2762152777777779,0.2328681318681318,0.0,0.0,0.0,0.0,0.0,0.0,-0.4052083333333334,0.2345508241758241,0.0,0.0,0.0,0.0,0.0,0.0,0.0296874999999999,0.7196359890109889,0.0,0.0,0.0,0.0,0.0002336928914331,1.16846445716556e-05,-0.7173611111111111,0.1809450549450549,0.0,0.0,0.0,0.0,0.0,0.0,-0.0324652777777778,0.6642032967032966,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,Yoán_Moncada,660162,hitter,LAA,CIN,2026,831895,3,108,113,1,695505.0,Chase_Burns,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,3.0,0.0857142857142857,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.909090909090909,9.40909090909091,9.027551020408163,1.038888888888889,0.0,96.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.7398892714685519,0.36401666666666677,-0.09071145165399014,-0.4875555555555555,-0.15182244897959185,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.1,0.76407134851651,0.0,0.0756401259806727,-0.3697685185185186,-0.1049498953731691,0.0,0.0,0.0,0.0,-0.0009155722656252,-9.155722656252217e-05,-0.4830555555555556,0.0445348465473145,0.0,0.0,0.0,0.0,0.0,0.0,-0.0729166666666667,-0.0659105731225295,0.0,0.0,0.0,0.0,-0.000113386821299,-5.669341064953989e-06,-0.7392129629629629,0.2030946291560101,0.0,0.0,0.0,0.0,0.0,0.0,-0.1322685185185186,0.0171600790513835,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-20,Yoán_Moncada,660162,hitter,LAA,CWS,2026,831910,4,108,145,1,681343.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0571428571428571,0.0,0.0,0.0,0.0,10.0,4.1,8.2,5.132967032967033,1.038888888888889,0.0,98.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.6119853479853481,0.1993166666666667,-0.4946016483516484,-0.4875555555555555,-0.13915164835164828,1.0,1.0,0.0,0.0,0.25,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.05,0.9425,0.0,0.0783938541666666,-0.416545138888889,0.8406250000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.5219791666666668,0.8725,0.0,0.0,0.0,0.0,0.0,0.0,-0.1242187500000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7501388888888889,0.8725,0.0,0.0,0.0,0.0,0.0,0.0,-0.182170138888889,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-22,Yoán_Moncada,660162,hitter,LAA,LAD,2026,831804,5,108,119,1,607192.0,Tyler_Glasnow,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,5.0,0.0975609756097561,0.2225,0.2225,0.0,0.0,26.7,6.144230769230769,12.115384615384615,15.197588126159555,1.08,8.0,74.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.5089897357900468,0.09756470184912369,0.17186460538053328,-0.47466670875466976,0.2842626676627138,0.8,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.15,0.7640862131942188,0.0,0.1217932491658895,-0.7610833333333333,-0.320532116860122,0.0,0.0,0.0,0.0,-0.00959192633446,-0.000959192633446,-0.8105,-0.3426011951603385,0.0,0.0,0.0,0.0,-0.0109180219795618,-0.0017468835167299,-0.50125,-0.0676152452619843,0.0,0.0,0.0,0.0,-0.0013326039147454,-6.663019573727195e-05,-0.8135833333333333,-0.3334979342907732,0.0,0.0,0.0,0.0,-0.0106683501867947,-0.0002667087546698,-0.5360833333333334,-0.0778416945373466,0.0,0.0,0.0,0.0,-0.0016407660389536,-9.844596233721612e-05
2026-03-24,Yoán_Moncada,660162,hitter,LAA,LAD,2026,831820,6,108,119,0,660271.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0277777777777777,0.69,0.69,0.0,0.0,65.0,4.1,8.2,16.368506493506494,1.08,0.0,80.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.8173421360103028,0.3723433066935896,0.39950440120276864,-0.4745748156220619,0.40080488013813176,0.8,0.8,0.0,0.0,0.2,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,-0.7976099537037038,-0.688423076923077,0.0,0.0,0.0,0.0,-0.0063145706329015,-0.0006314570632901,-0.840590277777778,-0.7370769230769232,0.0,0.0,0.0,0.0,-0.0071251664983974,-0.0011400266397435,-0.5544270833333335,-0.5361538461538461,0.0,0.0,0.0,0.0,-0.0034184694511217,-0.000170923472556,-0.8249537037037037,-0.7370769230769232,0.0,0.0,0.0,0.0,-0.0069926248824786,-0.0001748156220619,-0.5851099537037038,-0.711153846153846,0.0,0.0,0.0,0.0,-0.0047851867309918,-0.0002871112038595
2026-03-26,Yoán_Moncada,660162,hitter,LAA,HOU,2026,824218,7,108,117,0,686613.0,Hunter_Brown,1.0,1.0,0.0,0.0,0.0,5.0,3.0,2.0,1.0,5.0,0.1162790697674418,0.454,0.454,0.0,0.0,54.48,3.375,16.875,4.015384615384616,1.08,0.0,73.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.2900495358768231,0.09676406939299087,-0.2364330544683237,-0.4750742204668692,-0.1836543161622089,0.6,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.1,0.8325,0.0,0.1414685416666666,-0.4707192460317462,-0.858,0.0,0.0,0.0,0.0,-0.0157848638368055,-0.0015784863836805,-0.5660416666666669,-0.8935,0.0,0.0,0.0,0.0,-0.0197667174565972,-0.0031626747930555,-0.2167410714285716,-0.3869999999999999,0.0,0.0,0.0,0.0,-0.003278262890625,-0.0001639131445312,-0.772281746031746,-0.8935,0.0,0.0,0.0,0.0,-0.0269688186747685,-0.0006742204668692,-0.2671478174603176,-0.587,0.0,0.0,0.0,0.0,-0.0061288829658564,-0.0003677329779513
2026-03-27,Yoán_Moncada,660162,hitter,LAA,HOU,2026,824216,8,108,117,0,681347.0,Mike_Burrows,0.0,0.0,1.0,0.0,0.0,5.0,4.0,1.0,1.0,5.0,0.119047619047619,0.1379999999999999,0.1379999999999999,0.0,0.0,16.56,1.6875,8.147727272727273,4.905494505494507,1.08,0.0,73.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.327088639456224,0.09918517822311856,-0.36222839712696586,-0.47493478166803726,-0.23059202752273916,0.6,0.6,0.0,0.0,0.2,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.15,0.84997798134881,0.0,0.1702149879260489,-0.3692248263888889,-0.3236783216783216,0.0,0.0,0.0,0.0,-0.0047811046052588,-0.0004781104605258,-0.4817135416666667,-0.5074956293706293,0.0,0.0,0.0,0.0,-0.0097801361055083,-0.0015648217768813,-0.1294140625,-0.5915119463869463,0.0,0.0,0.0,0.0,-0.0030624480338235,-0.0001531224016911,-0.7473888888888889,-0.7154283216783216,0.0,0.0,0.0,0.0,-0.0213912667214923,-0.0005347816680373,-0.1723498263888889,-0.6447972027972027,0.0,0.0,0.0,0.0,-0.0044458799577417,-0.0002667527974645
2026-03-28,Yoán_Moncada,660162,hitter,LAA,HOU,2026,824213,9,108,117,0,664299.0,Cristian_Javier,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,5.0,0.1,0.18,0.18,0.0,0.0,21.6,2.4,10.350000000000001,4.101923076923077,1.08,0.0,73.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.1192094616471312,-0.16629093380984145,-0.1352535987534127,-0.474634894847142,-0.41653054402441814,0.4,0.4,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.2,0.8361262458388383,0.0,0.1995149069769484,-0.4907106481481483,-0.2154327209533267,0.0,0.0,0.0,0.0,-0.0051971805738768,-0.0005197180573876,-0.5829027777777779,-0.2488362711022839,0.0,0.0,0.0,0.0,-0.0071308363115099,-0.0011409338098415,-0.2589930555555557,-0.1566878930817609,0.0,0.0,0.0,0.0,-0.0019950519913304,-9.97525995665231e-05,-0.7748425925925926,-0.2466546673286991,0.0,0.0,0.0,0.0,-0.0093957938856829,-0.000234894847142,-0.2990439814814816,-0.2569984276729559,0.0,0.0,0.0,0.0,-0.0037782978428671,-0.000226697870572
