Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-01,Zach_Cole,hitter,HOU,NYM,2026,831579,0,117,121,0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,0.07894736842105263,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,4.0,1.08,4.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.29954736842105256,-0.4136394736842105,0.3927236842105264,-0.4744,0.408842105263158,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2026-03-03,Zach_Cole,hitter,HOU,VEN,2026,831440,1,117,944,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,0.08823529411764706,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.08,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.2905607843137254,-0.5,0.2779264705882354,-0.4744,0.3507647058823531,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2026-03-05,Zach_Cole,hitter,HOU,MIA,2026,831582,2,117,146,0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.06666666666666667,0.445,0.445,0.0,0.0,53.4,4.1,8.2,1.7785714285714285,1.05,0.0,80.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.4068571428571428,-0.3447,-0.08557142857142852,-0.484,-0.15217142857142857,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2026-03-07,Zach_Cole,hitter,HOU,MIA,2026,831523,3,117,146,1,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,0.07692307692307693,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,9.0,1.0671428571428572,1.08,0.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.09317069597069594,-0.03918333333333324,-0.2664697802197802,-0.4744,-0.333514652014652,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0
2026-03-09,Zach_Cole,hitter,HOU,STL,2026,831516,4,117,138,1,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,3.0,0.07317073170731707,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,1.873684210526316,1.08,-6.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.11024167736414214,0.030052439024390254,-0.3408706675224647,-0.4744,-0.044267008985879375,0.5,0.5,0.25,0.0,0.5,1.0,1.0,0.0,0.0,1.0
2026-03-11,Zach_Cole,hitter,HOU,MIA,2026,831561,5,117,146,0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.09375,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,0.0,4.5,2.7979591836734694,1.05,-14.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.14939753401360556,1.247625,-0.022227040816326538,-0.15899999999999997,-0.06085204081632645,0.4,0.4,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0
2026-03-12,Zach_Cole,hitter,HOU,WSH,2026,831510,6,117,120,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,0.08571428571428572,0.0,0.0,0.0,0.0,10.0,6.75,18.0,3.2571428571428567,1.08,0.0,78.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.25664761904761907,-0.20574999999999988,-0.2543928571428572,-0.2344,-0.09734285714285706,0.6,1.2,0.2,0.2,0.4,1.0,4.0,1.0,1.0,1.0
2026-03-13,Zach_Cole,hitter,HOU,STL,2026,831567,7,117,138,0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.11428571428571428,0.445,0.445,0.0,0.0,53.4,0.0,13.5,2.919937205651492,1.05,-10.0,72.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.1855358451072736,-0.5487,-0.1305031397174254,-0.344,-0.10710313971742541,0.6,1.2,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0
2026-03-15,Zach_Cole,hitter,HOU,MIA,2026,831509,8,117,146,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,1.0,0.10714285714285714,0.0,0.0,0.0,0.0,10.0,0.0,12.0,3.068181818181818,1.08,12.0,79.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.3479606060606061,-0.33834999999999993,-0.37684090909090906,-0.33440000000000003,-0.24159090909090908,0.8,1.4,0.2,0.2,0.4,2.0,2.0,0.0,0.0,0.0
2026-03-17,Zach_Cole,hitter,HOU,PIT,2026,831560,9,117,134,0,1.0,4.0,2.0,1.0,1.0,5.0,3.0,2.0,2.0,3.0,0.11363636363636363,0.696,0.696,1.0,30.0,65.0,3.0,9.0,4.315620094191522,1.08,-13.0,56.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.03407025831311539,0.7779409090909093,0.056512822891394254,-0.009399999999999964,-0.0987826316540602,0.6,1.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
