Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Zach_Ehrhard,701394,hitter,LAD,LAA,2026,831827,0,119,108,1,672282.0,Reid_Detmers,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,0.05,0.445,0.445,0.0,0.0,53.4,4.1,8.2,4.0,1.0611111111111111,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.5201666666666667,0.4024333333333333,0.4345,-0.48044444444444445,-0.4007,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,Zach_Ehrhard,701394,hitter,LAD,COL,2026,831808,1,119,115,0,623474.0,Jimmy_Herget,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,8.0,0.07692307692307693,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,10.5,1.0611111111111111,8.0,85.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.8057435897435898,0.3650833333333333,0.7018397435897437,-0.48044444444444445,-0.08853846153846151,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,0.9711111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5851388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14611111111111108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Zach_Ehrhard,701394,hitter,LAD,CLE,2026,831811,2,119,114,0,676282.0,Joey_Cantillo,1.0,3.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,6.0,0.07692307692307693,0.54,0.54,0.6666666666666666,30.0,65.0,4.1,8.2,4.6514423076923075,1.08,-5.0,82.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.5668679487179487,1.28365,0.10324519230769236,-0.23273333333333335,-0.3079663461538461,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.0,1.0,0.0,0.03333333333333333,-0.1335069444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2864583333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1421874999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6840277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07725694444444438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Zach_Ehrhard,701394,hitter,LAD,CIN,2026,831810,3,119,113,0,683742.0,Jose_Franco,1.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,6.0,0.08163265306122448,0.49,0.49,0.3333333333333333,28.333333333333332,65.0,4.1,8.2,9.321428571428571,1.08,12.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.7325904761904762,0.559626190476191,0.5618452380952381,-0.3202333333333333,0.6894047619047621,1.0,1.6666666666666667,0.6666666666666666,0.0,0.6666666666666666,1.0,3.0,1.0,0.0,2.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.40439814814814806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26249999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5502314814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6037037037037039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Zach_Ehrhard,701394,hitter,LAD,KC,2026,831842,4,119,118,1,687765.0,Mitch_Spence,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,0.02631578947368421,0.0,0.0,0.0,0.0,10.0,0.0,9.0,3.5113636363636367,1.0611111111111111,0.0,70.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.3418054226475279,-0.21867982456140345,-0.024523923444976115,-0.48044444444444445,-0.24648444976076556,1.0,1.75,0.75,0.0,0.5,1.0,2.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.0,1.0,0.0,0.06666666666666667,0.442361111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5854166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27812499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928819444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.720486111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Zach_Ehrhard,701394,hitter,LAD,COL,2026,831863,5,119,115,1,807743.0,Sean_Sullivan,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,0.05,0.635,0.635,0.5,30.0,65.0,5.4,10.8,8.229494190020505,1.0611111111111111,-4.0,77.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.23201310093415362,0.1959333333333333,0.3544747095010252,-0.28044444444444444,0.13977470950102533,0.8,1.4,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,-0.05134615384615407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10993589743589734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09798076923076932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4783333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31625000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Zach_Ehrhard,701394,hitter,LAD,ATH,2026,831812,6,119,133,0,682052.0,Jacob_Lopez,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,9.0,0.07894736842105263,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,6.986895161290323,1.0611111111111111,0.0,85.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.5321951046972269,-0.12070614035087712,-0.005264891058290866,-0.48044444444444445,0.010186863327674045,0.8,1.6,0.4,0.0,0.4,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.0,1.0,0.0,0.1,0.3159722222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49583333333333346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23125000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8350694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6534722222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Zach_Ehrhard,701394,hitter,LAD,MIL,2026,831802,7,119,158,0,676879.0,Aaron_Ashby,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,6.0,0.07894736842105263,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,0.0,4.5,2.3845327604726103,1.0722222222222222,-6.0,77.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.5011006086645184,-0.28537280701754386,0.02595032223415683,-0.4768888888888889,0.05606874328678846,0.8,1.6,0.6,0.0,0.6,1.0,1.0,1.0,0.0,1.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.0,1.0,0.0,0.11666666666666667,0.4228273809523812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48355158730158754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2734623015873019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5878571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49276785714285737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Zach_Ehrhard,701394,hitter,LAD,AZ,2026,831956,8,119,109,1,694297.0,Brandon_Pfaadt,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.05555555555555555,0.0,0.0,0.0,0.0,10.0,0.0,3.8571428571428568,6.218496728835076,1.0611111111111111,-7.0,73.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.3519669942637583,0.06776468272653058,-0.16642047123282838,-0.4805161932524802,-0.28093102058528907,0.6,1.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.05,0.9425,0.0,0.14506052083333332,0.42939484126984134,-0.3782857142857143,0.0,0.0,0.0,0.0,-0.00249065365835223,-0.00024906536583522304,0.4136011904761906,-0.4782857142857142,0.0,0.0,0.0,0.0,-0.0030332329591836737,-0.0004853172734693878,0.25193452380952397,-0.49343915343915334,0.0,0.0,0.0,0.0,-0.0019061534916435718,-9.53076745821786e-05,0.39133680555555556,-0.4782857142857142,0.0,0.0,0.0,0.0,-0.0028699523214285707,-7.174880803571427e-05,0.3186805555555557,-0.6452910052910054,0.0,0.0,0.0,0.0,-0.0031531726729374892,-0.00018919036037624935
2026-03-12,Zach_Ehrhard,701394,hitter,LAD,CIN,2026,831894,9,119,113,1,666157.0,Nick_Lodolo,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.04878048780487805,0.445,0.445,0.0,0.0,53.4,3.0,12.0,6.570197947214076,1.0611111111111111,0.0,90.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.10744315575614816,0.013229997782926883,-0.0405266880051498,-0.48040761433680557,-0.1375869250838846,0.4,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.05,0.9425,0.0,0.16172718749999998,0.10744464573268933,0.2245,0.0,0.0,0.0,0.0,0.000416092821180556,4.16092821180556e-05,0.11804951690821265,0.39399999999999996,0.0,0.0,0.0,0.0,0.0008023235416666671,0.00012837176666666674,-0.009797705314009503,0.518,0.0,0.0,0.0,0.0,0.0,0.0,0.21675925925925923,0.39399999999999996,0.0,0.0,0.0,0.0,0.0014732043055555551,3.683010763888888e-05,0.06641203703703707,0.5430000000000001,0.0,0.0,0.0,0.0,0.0006220649479166672,3.732389687500003e-05
