Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-01,Zach_Maxwell,pitcher,CIN,ATH,2026,831899,0,113,133,0,1.0,1.0,13.5,0.6666666666666666,3.0,17.0,0.0,1.0,1.0,19.7,19.7,65.0,17.647058823529413,0.315,0.225,1.0611111111111111,4.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,13.5,2.5,0.5,13.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.4644444444444444,0.49150000000000005,-0.11474999999999902,1.0,1.0,13.5,1.0,1.0,13.5
2026-03-05,Zach_Maxwell,pitcher,CIN,LAD,2026,831810,1,113,119,1,1.0,1.0,9.0,1.0,6.0,26.0,1.0,2.0,0.0,4.2,4.2,65.0,11.538461538461538,0.3849139051332034,0.19169719169719168,1.08,12.0,76.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,13.5,2.5,0.5,13.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.7384224664224668,0.8197125730994155,-1.6225868421052603,1.0,1.0,13.5,1.0,1.0,13.5
2026-03-08,Zach_Maxwell,pitcher,CIN,SD,2026,831892,2,113,135,0,3.0,0.0,0.0,1.0,5.0,25.0,1.0,0.0,0.0,0.20000000000000018,0.20000000000000018,48.0,36.0,0.36851165103722644,0.2573295985060691,1.0722222222222222,-7.0,85.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,11.2,2.5,0.5,11.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.2102521008403362,0.7403024296675191,-0.03727813299232707,1.0,1.0,11.25,1.0,1.0,9.0
2026-03-11,Zach_Maxwell,pitcher,CIN,MIL,2026,831793,3,113,158,1,2.0,0.0,0.0,1.0,4.0,16.0,0.0,1.0,0.0,-0.7999999999999998,-0.7999999999999998,63.0,37.5,0.2616975308641975,0.24087245139876715,1.08,4.0,77.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,7.5,2.5,0.5,7.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-0.5850203888098628,-0.13476111111111116,-4.21285,1.6666666666666667,0.6666666666666666,7.5,3.0,0.0,0.0
2026-03-13,Zach_Maxwell,pitcher,CIN,SF,2026,831759,4,113,137,1,1.0,0.0,0.0,1.0,3.0,14.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,64.0,21.428571428571427,0.25265608465608463,0.20347394540942929,1.08,5.0,86.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,5.6,2.5,0.5,5.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-0.9642084367245658,-0.29544761904761907,-3.7590285714285714,1.75,0.5,5.625,2.0,0.0,0.0
2026-03-16,Zach_Maxwell,pitcher,CIN,AZ,2026,831903,5,113,109,0,1.0,0.0,0.0,1.0,4.0,14.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,56.99999999999999,21.428571428571427,0.31816358024691355,0.19579945799457996,1.0611111111111111,-4.0,89.0,0,3.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,4.5,2.5,0.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.2660487804878051,-0.08626388888888903,-0.7763750000000011,1.6,0.4,4.5,1.0,0.0,0.0
2026-03-20,Zach_Maxwell,pitcher,CIN,CHC,2026,831902,6,113,112,0,1.0,1.0,9.0,1.0,6.0,21.0,1.0,2.0,0.0,4.2,4.2,71.0,14.285714285714285,0.3014940767973856,0.2859103289335847,1.0277777777777777,0.0,100.0,0,4.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-0.5318284796424337,-0.3292766544117648,-0.2634898897058835,1.6,0.2,1.8,1.0,0.0,0.0
2026-05-01,Zach_Maxwell,pitcher,CIN,PIT,2026,823389,7,113,134,0,1.0,4.0,36.0,1.0,8.0,42.0,2.0,3.0,2.0,33.2,33.2,60.0,7.142857142857142,0.3054116938616939,0.23719433719433716,1.08,11.0,47.0,0,42.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-0.942445302445303,-0.11404737762237727,1.6735736013986047,1.6,0.2,1.8,1.0,1.0,9.0
2026-05-27,Zach_Maxwell,pitcher,CIN,NYM,2026,823626,8,113,121,0,0.0,1.0,13.5,0.6666666666666666,5.0,29.0,1.0,2.0,0.0,7.7,7.7,55.00000000000001,0.0,0.22972272727272727,0.28119028119028117,1.08,9.0,81.0,0,26.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-0.8784777504777508,0.6013522727272729,5.868255681818184,1.2,1.0,9.0,1.0,4.0,36.0
2026-05-29,Zach_Maxwell,pitcher,CIN,ATL,2026,824515,9,113,144,1,1.0,0.0,0.0,2.0,8.0,19.0,0.0,2.0,0.0,2.2,2.2,84.0,15.789473684210526,0.3001666666666667,0.2349267872523687,1.08,-2.0,79.0,0,2.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,2.5,1.5,11.7,2.5,1.5,11.7,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.6765857019810504,-0.41764999999999963,-6.829424999999998,0.8,1.2,11.7,0.0,1.0,13.5
