Date,Player,PTS,TRB,AST,STL,TOV,FG%,3P%,FT%,TS%,USG%,BPM,ORTG,DRTG,GmSc,Did_Not_Play,Rest_Days,Game_Index,Player_ID,Team_ID,Opponent,Opponent_ID,MATCHUP,MP,FGA,FTA,PLUS_MINUS,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,oppDfRtg_3,Market_PTS,Market_TRB,Market_AST,Synthetic_Market_PTS,Synthetic_Market_TRB,Synthetic_Market_AST,Market_Source_PTS,Market_Source_TRB,Market_Source_AST,Market_PTS_books,Market_TRB_books,Market_AST_books,Market_PTS_over_price,Market_TRB_over_price,Market_AST_over_price,Market_PTS_under_price,Market_TRB_under_price,Market_AST_under_price,Market_PTS_line_std,Market_TRB_line_std,Market_AST_line_std,PTS_market_gap,TRB_market_gap,AST_market_gap,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,TS%_rolling_avg,USG%_rolling_avg,BPM_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,PTS_lag1,TRB_lag1,AST_lag1,STL_lag1,TOV_lag1,FG%_lag1,3P%_lag1,FT%_lag1,TS%_lag1,USG%_lag1,BPM_lag1,ORTG_lag1,DRTG_lag1,GmSc_lag1
2025-10-22,Ayo_Dosunmu,14.0,5.0,2.0,0.0,0.0,0.429,0.4,0.0,0.5,10.566037735849056,-6.7924528301886795,100.0,110.0,9.9,0,2.0,0,1630245,1610612741,DET,1610612765,CHI vs. DET,26.5,14.0,0.0,-5.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1.1,,,,,,,,,,,,,,,,,,,,,,,,,14.0,5.0,2.0,0.0,0.0,0.429,0.4,0.0,0.5,10.566037735849056,-6.7924528301886795,100.0,110.0,9.9,14.0,5.0,2.0,0.0,0.0,0.429,0.4,0.0,0.5,10.566037735849056,-6.7924528301886795,100.0,110.0,9.9
2025-10-25,Ayo_Dosunmu,15.0,1.0,2.0,0.0,2.0,0.6,0.75,0.0,0.75,8.955223880597016,8.059701492537314,125.0,110.0,9.7,0,3.0,1,1630245,1610612741,ORL,1610612753,CHI @ ORL,26.8,10.0,0.0,6.0,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1.1,,,,,,,,,,,,,,,,,,,,,,,,,14.0,5.0,2.0,0.0,0.0,0.429,0.4,0.0,0.5,10.566037735849056,-6.7924528301886795,100.0,110.0,9.9,14.0,5.0,2.0,0.0,0.0,0.429,0.4,0.0,0.5,10.566037735849056,-6.7924528301886795,100.0,110.0,9.9
2025-10-27,Ayo_Dosunmu,21.0,3.0,2.0,0.0,0.0,0.7,0.667,0.75,0.8928571428571429,8.743494423791823,16.059479553903348,178.57142857142858,110.0,17.9,0,2.0,2,1630245,1610612741,ATL,1610612737,CHI vs. ATL,26.9,10.0,4.0,12.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,14.5,3.0,2.0,0.0,1.0,0.5145,0.575,0.0,0.625,9.760630808223036,0.6336243311743175,112.5,110.0,9.8,15.0,1.0,2.0,0.0,2.0,0.6,0.75,0.0,0.75,8.955223880597016,8.059701492537314,125.0,110.0,9.7
2025-10-29,Ayo_Dosunmu,9.0,2.0,1.0,0.0,0.0,0.375,0.0,1.0,0.48283261802575106,8.751173708920188,-21.97183098591549,96.56652360515021,110.0,5.1,0,2.0,3,1630245,1610612741,SAC,1610612758,CHI vs. SAC,21.3,8.0,3.0,-13.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1.1,,,,,,,,,,,,,,,,,,,,,,,,,16.666666666666668,3.0,2.0,0.0,0.6666666666666666,0.5763333333333334,0.6056666666666667,0.25,0.7142857142857143,9.421585346745966,5.775576072083994,134.52380952380952,110.0,12.5,21.0,3.0,2.0,0.0,0.0,0.7,0.667,0.75,0.8928571428571429,8.743494423791823,16.059479553903348,178.57142857142858,110.0,17.9
2025-10-31,Ayo_Dosunmu,22.0,4.0,9.0,1.0,1.0,0.8,0.333,0.833,0.870253164556962,9.310580204778157,23.344709897610922,161.29032258064515,110.0,24.1,0,2.0,4,1630245,1610612741,NYK,1610612752,CHI vs. NYK,29.3,10.0,6.0,19.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.1,,,,,,,,,,,,,,,,,,,,,,,,,14.75,2.75,1.75,0.0,0.5,0.526,0.45425000000000004,0.4375,0.6564224402207235,9.25398243728952,-1.1612756924158765,125.0344880441447,110.0,10.65,9.0,2.0,1.0,0.0,0.0,0.375,0.0,1.0,0.48283261802575106,8.751173708920188,-21.97183098591549,96.56652360515021,110.0,5.1
2025-11-07,Ayo_Dosunmu,7.0,0.0,3.0,2.0,1.0,0.5,0.333,0.0,0.5833333333333334,7.0,-16.2,100.0,110.0,6.699999999999999,0,7.0,5,1630245,1610612741,MIL,1610612749,CHI @ MIL,20.0,6.0,0.0,-9.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,1.1,,,,,,,,,,,,,,,,,,,,,,,,,16.2,3.0,3.2,0.2,0.6,0.5808,0.43,0.5166000000000001,0.6991885850879711,9.265301990787247,3.7399214255894835,132.2856549514448,110.0,13.34,22.0,4.0,9.0,1.0,1.0,0.8,0.333,0.833,0.870253164556962,9.310580204778157,23.344709897610922,161.29032258064515,110.0,24.1
2025-11-08,Ayo_Dosunmu,14.0,3.0,1.0,0.0,1.0,0.455,0.5,1.0,0.5681818181818181,11.684210526315791,17.36842105263158,105.1051051051051,110.0,8.5,0,1.0,6,1630245,1610612741,CLE,1610612739,CHI @ CLE,22.8,11.0,3.0,11.0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1.1,,,,,,,,,,,,,,,,,,,,,,,,,14.8,2.0,3.4,0.6,0.8,0.595,0.4166,0.5166000000000001,0.7158552517546378,8.552094443617436,1.8584119916272193,132.2856549514448,110.0,12.7,7.0,0.0,3.0,2.0,1.0,0.5,0.333,0.0,0.5833333333333334,7.0,-16.2,100.0,110.0,6.699999999999999
2025-11-10,Ayo_Dosunmu,20.0,2.0,5.0,2.0,1.0,0.5,0.6,1.0,0.7042253521126761,9.212121212121211,0.0,131.57894736842107,110.0,19.8,0,2.0,7,1630245,1610612741,SAS,1610612759,CHI vs. SAS,33.0,12.0,5.0,0.0,-0.5000000000000004,0.8660254037844384,0.0,1.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,14.6,2.4,3.2,0.6,0.6,0.5660000000000001,0.36660000000000004,0.7166,0.6794916153910016,9.097891772761193,3.7201559036460723,128.30667597246583,110.0,12.459999999999999,14.0,3.0,1.0,0.0,1.0,0.455,0.5,1.0,0.5681818181818181,11.684210526315791,17.36842105263158,105.1051051051051,110.0,8.5
2025-11-12,Ayo_Dosunmu,12.0,3.0,2.0,2.0,4.0,0.333,0.333,1.0,0.4658385093167702,15.415525114155255,-4.9315068493150696,71.09004739336491,110.0,4.300000000000001,0,2.0,8,1630245,1610612741,DET,1610612765,CHI @ DET,21.9,12.0,2.0,-3.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1.1,,,,,,,,,,,,,,,,,,,,,,,,,14.4,2.2,3.8,1.0,0.8,0.526,0.3532,0.7666000000000001,0.6417652572421082,9.191617130427069,0.5082599928654027,118.90817973186431,110.0,12.84,20.0,2.0,5.0,2.0,1.0,0.5,0.6,1.0,0.7042253521126761,9.212121212121211,0.0,131.57894736842107,110.0,19.8
2025-11-16,Ayo_Dosunmu,18.0,1.0,5.0,0.0,3.0,0.6,0.5,1.0,0.7653061224489796,11.441860465116278,-2.7906976744186047,121.95121951219512,110.0,13.0,0,4.0,9,1630245,1610612741,UTA,1610612762,CHI @ UTA,25.8,10.0,4.0,-2.0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1.1,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2.4,4.0,1.4,1.6,0.5176000000000001,0.41979999999999995,0.7666000000000001,0.638366435500312,10.524487411474082,3.916324820185486,113.81288448950724,110.0,12.680000000000001,12.0,3.0,2.0,2.0,4.0,0.333,0.333,1.0,0.4658385093167702,15.415525114155255,-4.9315068493150696,71.09004739336491,110.0,4.300000000000001
