Date,Player,PTS,TRB,AST,STL,TOV,FG%,3P%,FT%,TS%,USG%,BPM,ORTG,DRTG,GmSc,Did_Not_Play,Rest_Days,Game_Index,Player_ID,Team_ID,Opponent,Opponent_ID,MATCHUP,MP,FGA,FTA,PLUS_MINUS,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,oppDfRtg_3,Market_PTS,Market_TRB,Market_AST,Synthetic_Market_PTS,Synthetic_Market_TRB,Synthetic_Market_AST,Market_Source_PTS,Market_Source_TRB,Market_Source_AST,Market_PTS_books,Market_TRB_books,Market_AST_books,Market_PTS_over_price,Market_TRB_over_price,Market_AST_over_price,Market_PTS_under_price,Market_TRB_under_price,Market_AST_under_price,Market_PTS_line_std,Market_TRB_line_std,Market_AST_line_std,PTS_market_gap,TRB_market_gap,AST_market_gap,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,TS%_rolling_avg,USG%_rolling_avg,BPM_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,PTS_lag1,TRB_lag1,AST_lag1,STL_lag1,TOV_lag1,FG%_lag1,3P%_lag1,FT%_lag1,TS%_lag1,USG%_lag1,BPM_lag1,ORTG_lag1,DRTG_lag1,GmSc_lag1
2025-10-22,Toumani_Camara,10.0,9.0,5.0,0.0,0.0,0.333,0.4,1.0,0.5060728744939271,5.694524495677234,-1.037463976945245,101.21457489878541,110.0,12.299999999999999,0,2.0,0,1641739,1610612757,MIN,1610612750,POR vs. MIN,34.7,9.0,2.0,-1.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1.1,,,,,,,,,,,,,,,,,,,,,,,,,10.0,9.0,5.0,0.0,0.0,0.333,0.4,1.0,0.5060728744939271,5.694524495677234,-1.037463976945245,101.21457489878541,110.0,12.299999999999999,10.0,9.0,5.0,0.0,0.0,0.333,0.4,1.0,0.5060728744939271,5.694524495677234,-1.037463976945245,101.21457489878541,110.0,12.299999999999999
2025-10-24,Toumani_Camara,19.0,7.0,2.0,3.0,1.0,0.538,0.429,1.0,0.6844380403458213,9.10091743119266,25.321100917431192,127.68817204301075,110.0,17.4,0,2.0,1,1641739,1610612757,GSW,1610612744,POR vs. GSW,32.7,13.0,2.0,23.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.1,,,,,,,,,,,,,,,,,,,,,,,,,10.0,9.0,5.0,0.0,0.0,0.333,0.4,1.0,0.5060728744939271,5.694524495677234,-1.037463976945245,101.21457489878541,110.0,12.299999999999999,10.0,9.0,5.0,0.0,0.0,0.333,0.4,1.0,0.5060728744939271,5.694524495677234,-1.037463976945245,101.21457489878541,110.0,12.299999999999999
2025-10-26,Toumani_Camara,5.0,2.0,4.0,1.0,0.0,0.25,0.0,0.5,0.2815315315315315,5.381818181818182,-8.727272727272727,56.306306306306304,110.0,3.0,0,2.0,2,1641739,1610612757,LAC,1610612746,POR @ LAC,33.0,8.0,2.0,-8.0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1.1,,,,,,,,,,,,,,,,,,,,,,,,,14.5,8.0,3.5,1.5,0.5,0.4355,0.4145,1.0,0.5952554574198743,7.397720963434947,12.141818470242974,114.45137347089809,110.0,14.849999999999998,19.0,7.0,2.0,3.0,1.0,0.538,0.429,1.0,0.6844380403458213,9.10091743119266,25.321100917431192,127.68817204301075,110.0,17.4
2025-10-27,Toumani_Camara,4.0,4.0,3.0,0.0,2.0,0.286,0.0,0.0,0.2857142857142857,5.9405940594059405,4.752475247524752,44.44444444444444,110.0,2.3,0,1.0,3,1641739,1610612757,LAL,1610612747,POR @ LAL,30.3,7.0,0.0,4.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,11.333333333333334,6.0,3.6666666666666665,1.3333333333333333,0.3333333333333333,0.37366666666666665,0.2763333333333333,0.8333333333333334,0.49068081545709336,6.725753369562692,5.18545473773774,95.06968441603415,110.0,10.899999999999999,5.0,2.0,4.0,1.0,0.0,0.25,0.0,0.5,0.2815315315315315,5.381818181818182,-8.727272727272727,56.306306306306304,110.0,3.0
2025-10-29,Toumani_Camara,17.0,4.0,5.0,2.0,2.0,0.429,0.375,1.0,0.5712365591397849,10.751592356687901,-3.4394904458598727,100.71090047393363,110.0,13.9,0,2.0,4,1641739,1610612757,UTA,1610612762,POR @ UTA,31.4,14.0,2.0,-3.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1.1,,,,,,,,,,,,,,,,,,,,,,,,,9.5,5.5,3.5,1.0,0.75,0.35175,0.20725,0.625,0.4394391830213914,6.529463542023504,5.077209865184494,82.41337442313673,110.0,8.749999999999998,4.0,4.0,3.0,0.0,2.0,0.286,0.0,0.0,0.2857142857142857,5.9405940594059405,4.752475247524752,44.44444444444444,110.0,2.3
2025-10-31,Toumani_Camara,14.0,2.0,3.0,2.0,1.0,0.417,0.4,0.5,0.5087209302325582,9.710526315789474,-2.3684210526315788,94.8509485094851,110.0,9.900000000000002,0,2.0,5,1641739,1610612757,DEN,1610612743,POR vs. DEN,30.4,12.0,4.0,-2.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.1,,,,,,,,,,,,,,,,,,,,,,,,,11.0,5.2,3.8,1.2,1.0,0.36719999999999997,0.2408,0.7,0.4657986582450701,7.373889304956384,3.3738698029756202,86.07287963329611,110.0,9.779999999999998,17.0,4.0,5.0,2.0,2.0,0.429,0.375,1.0,0.5712365591397849,10.751592356687901,-3.4394904458598727,100.71090047393363,110.0,13.9
2025-11-03,Toumani_Camara,14.0,7.0,2.0,2.0,3.0,0.385,0.273,0.5,0.5043227665706052,9.84256559766764,-1.0495626822157436,82.93838862559241,110.0,8.600000000000001,0,3.0,6,1641739,1610612757,LAL,1610612747,POR vs. LAL,34.3,13.0,2.0,-1.0,-0.5000000000000004,0.8660254037844384,0.0,1.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,11.8,3.8,3.4,1.6,1.2,0.384,0.2408,0.6,0.46632826939279626,8.177089668978832,3.107678387838353,84.80015435543604,110.0,9.3,14.0,2.0,3.0,2.0,1.0,0.417,0.4,0.5,0.5087209302325582,9.710526315789474,-2.3684210526315788,94.8509485094851,110.0,9.900000000000002
2025-11-05,Toumani_Camara,16.0,5.0,2.0,0.0,3.0,0.667,0.6,0.5,0.8097165991902834,6.906166219839143,-11.581769436997321,124.22360248447204,110.0,10.699999999999998,0,2.0,7,1641739,1610612757,OKC,1610612760,POR vs. OKC,37.3,9.0,2.0,-12.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1.1,,,,,,,,,,,,,,,,,,,,,,,,,10.8,3.8,3.4,1.4,1.6,0.3534,0.2096,0.5,0.43030521463775306,8.325419302273827,-2.166454332091034,75.85019767195237,110.0,7.540000000000001,14.0,7.0,2.0,2.0,3.0,0.385,0.273,0.5,0.5043227665706052,9.84256559766764,-1.0495626822157436,82.93838862559241,110.0,8.600000000000001
2025-11-08,Toumani_Camara,13.0,7.0,1.0,0.0,3.0,0.294,0.231,0.0,0.38235294117647056,10.204081632653061,-11.020408163265305,65.0,110.0,2.5000000000000018,0,3.0,8,1641739,1610612757,MIA,1610612748,POR @ MIA,39.2,17.0,0.0,-12.0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1.1,,,,,,,,,,,,,,,,,,,,,,,,,13.0,4.4,3.0,1.2,2.2,0.4368,0.3296,0.5,0.5359422281695034,8.63028890987802,-2.737353674035953,89.43365690758553,110.0,9.08,16.0,5.0,2.0,0.0,3.0,0.667,0.6,0.5,0.8097165991902834,6.906166219839143,-11.581769436997321,124.22360248447204,110.0,10.699999999999998
2025-11-10,Toumani_Camara,8.0,5.0,3.0,1.0,1.0,0.333,0.167,1.0,0.42372881355932207,6.159292035398231,3.185840707964602,76.62835249042146,110.0,6.3999999999999995,0,2.0,9,1641739,1610612757,ORL,1610612753,POR @ ORL,33.9,9.0,1.0,3.0,-0.5000000000000004,0.8660254037844384,0.0,1.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,14.8,5.0,2.6,1.2,2.4,0.43839999999999996,0.3758,0.5,0.5552699592619404,9.482986424527445,-5.891930356193964,93.54476801869664,110.0,9.120000000000001,13.0,7.0,1.0,0.0,3.0,0.294,0.231,0.0,0.38235294117647056,10.204081632653061,-11.020408163265305,65.0,110.0,2.5000000000000018
2025-11-12,Toumani_Camara,13.0,3.0,5.0,2.0,4.0,0.5,0.5,1.0,0.7319819819819819,6.708333333333334,7.5,100.93167701863354,110.0,11.7,0,2.0,10,1641739,1610612757,NOP,1610612740,POR @ NOP,38.4,8.0,2.0,8.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1.1,,,,,,,,,,,,,,,,,,,,,,,,,13.0,5.2,2.2,1.0,2.2,0.4192,0.33419999999999994,0.5,0.5257684101458479,8.56452636026951,-4.56686412542907,88.7282584219942,110.0,7.62,8.0,5.0,3.0,1.0,1.0,0.333,0.167,1.0,0.42372881355932207,6.159292035398231,3.185840707964602,76.62835249042146,110.0,6.3999999999999995
2025-11-14,Toumani_Camara,16.0,3.0,0.0,0.0,4.0,0.5,0.429,0.5,0.6211180124223602,10.107784431137727,-29.10179640718563,94.78672985781989,110.0,6.499999999999998,0,2.0,11,1641739,1610612757,HOU,1610612745,POR @ HOU,33.4,12.0,2.0,-27.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,1.1,,,,,,,,,,,,,,,,,,,,,,,,,12.8,5.4,2.6,1.0,2.8,0.4358000000000001,0.35419999999999996,0.6,0.5704206204957327,7.964087763778281,-2.593179914902754,89.94440412382389,110.0,7.9799999999999995,13.0,3.0,5.0,2.0,4.0,0.5,0.5,1.0,0.7319819819819819,6.708333333333334,7.5,100.93167701863354,110.0,11.7
2025-11-16,Toumani_Camara,11.0,10.0,3.0,1.0,2.0,0.385,0.143,0.0,0.4230769230769231,7.4074074074074066,-3.5555555555555554,73.33333333333333,110.0,8.0,0,2.0,12,1641739,1610612757,DAL,1610612742,POR @ DAL,40.5,13.0,0.0,-4.0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1.1,,,,,,,,,,,,,,,,,,,,,,,,,13.2,4.6,2.2,0.6,3.0,0.4588,0.38539999999999996,0.6,0.5937796696660836,8.0171315304723,-8.203626659896731,92.31407237026937,110.0,7.56,16.0,3.0,0.0,0.0,4.0,0.5,0.429,0.5,0.6211180124223602,10.107784431137727,-29.10179640718563,94.78672985781989,110.0,6.499999999999998
2025-11-18,Toumani_Camara,6.0,2.0,3.0,1.0,4.0,0.2,0.222,0.0,0.3,8.6687306501548,-18.947368421052634,42.857142857142854,110.0,-1.3000000000000007,0,2.0,13,1641739,1610612757,PHX,1610612756,POR vs. PHX,32.3,10.0,0.0,-17.0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,1.1,,,,,,,,,,,,,,,,,,,,,,,,,12.2,5.6,2.4,0.8,2.8,0.4024,0.294,0.5,0.5164517344434116,8.117379767985952,-6.5983838836083795,82.13601854004165,110.0,7.0200000000000005,11.0,10.0,3.0,1.0,2.0,0.385,0.143,0.0,0.4230769230769231,7.4074074074074066,-3.5555555555555554,73.33333333333333,110.0,8.0
2025-11-19,Toumani_Camara,14.0,5.0,2.0,2.0,3.0,0.4,0.25,0.0,0.4666666666666667,9.6514745308311,3.8605898123324396,77.77777777777777,110.0,8.499999999999996,0,1.0,14,1641739,1610612757,CHI,1610612741,POR vs. CHI,37.3,15.0,0.0,4.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1.1,,,,,,,,,,,,,,,,,,,,,,,,,10.8,4.6,2.8,1.0,3.0,0.3836,0.29219999999999996,0.5,0.49998114620811746,7.8103095714862985,-8.183775935165844,77.7074471114702,110.0,6.259999999999998,6.0,2.0,3.0,1.0,4.0,0.2,0.222,0.0,0.3,8.6687306501548,-18.947368421052634,42.857142857142854,110.0,-1.3000000000000007
2025-11-21,Toumani_Camara,20.0,7.0,1.0,0.0,2.0,0.636,0.667,1.0,0.8417508417508417,8.188790560471977,6.371681415929204,144.0922190201729,110.0,16.6,0,2.0,15,1641739,1610612757,GSW,1610612744,POR @ GSW,33.9,11.0,2.0,6.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,1.1,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.6,2.6,1.2,3.4,0.397,0.3088,0.3,0.5085687168295865,8.508746070572872,-8.048826114292275,77.93733216894148,110.0,6.679999999999998,14.0,5.0,2.0,2.0,3.0,0.4,0.25,0.0,0.4666666666666667,9.6514745308311,3.8605898123324396,77.77777777777777,110.0,8.499999999999996
2025-11-23,Toumani_Camara,4.0,6.0,3.0,2.0,1.0,0.333,0.0,0.0,0.3333333333333333,5.263157894736842,-14.887218045112782,57.142857142857146,110.0,6.599999999999999,0,2.0,16,1641739,1610612757,OKC,1610612760,POR @ OKC,26.6,6.0,0.0,-11.0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1.1,,,,,,,,,,,,,,,,,,,,,,,,,13.4,5.4,1.8,0.8,3.0,0.4242,0.3422,0.3,0.5305224887833584,8.804837516000601,-8.274489831106434,86.56944056924935,110.0,7.659999999999999,20.0,7.0,1.0,0.0,2.0,0.636,0.667,1.0,0.8417508417508417,8.188790560471977,6.371681415929204,144.0922190201729,110.0,16.6
2025-11-24,Toumani_Camara,13.0,7.0,3.0,2.0,2.0,0.455,0.429,0.0,0.5681818181818182,8.533333333333333,5.7142857142857135,96.72619047619048,110.0,12.2,0,1.0,17,1641739,1610612757,MIL,1610612749,POR @ MIL,31.5,11.0,1.0,5.0,-0.5000000000000004,0.8660254037844384,0.0,1.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,11.0,6.0,2.4,1.2,2.4,0.3908,0.2564,0.2,0.4729655529655529,7.835912208720425,-5.431574158691864,79.0406660262568,110.0,7.679999999999998,4.0,6.0,3.0,2.0,1.0,0.333,0.0,0.0,0.3333333333333333,5.263157894736842,-14.887218045112782,57.142857142857146,110.0,6.599999999999999
2025-11-26,Toumani_Camara,10.0,5.0,1.0,0.0,1.0,0.286,0.182,0.0,0.35714285714285715,9.900990099009901,-2.376237623762376,66.66666666666667,110.0,2.5000000000000013,0,2.0,18,1641739,1610612757,SAS,1610612759,POR vs. SAS,30.3,14.0,0.0,-2.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1.1,,,,,,,,,,,,,,,,,,,,,,,,,11.4,5.4,2.4,1.4,2.4,0.4048,0.3136,0.2,0.501986531986532,8.06109739390561,-3.577605904723611,83.71923745482823,110.0,8.52,13.0,7.0,3.0,2.0,2.0,0.455,0.429,0.0,0.5681818181818182,8.533333333333333,5.7142857142857135,96.72619047619048,110.0,12.2
2025-11-30,Toumani_Camara,19.0,8.0,4.0,0.0,3.0,0.417,0.5,1.0,0.690406976744186,8.844327176781002,0.949868073878628,113.36515513126493,110.0,15.600000000000005,0,4.0,19,1641739,1610612757,OKC,1610612760,POR vs. OKC,37.9,12.0,4.0,1.0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1.1,,,,,,,,,,,,,,,,,,,,,,,,,12.2,6.0,2.0,1.2,1.8,0.422,0.3056,0.2,0.5134151034151034,8.307549283676632,-0.26337974526556024,88.48114221673299,110.0,9.28,10.0,5.0,1.0,0.0,1.0,0.286,0.182,0.0,0.35714285714285715,9.900990099009901,-2.376237623762376,66.66666666666667,110.0,2.5000000000000013
2025-12-02,Toumani_Camara,21.0,6.0,2.0,1.0,3.0,0.583,0.6,0.25,0.7630813953488372,9.363128491620111,14.078212290502794,125.2983293556086,110.0,15.7,0,2.0,20,1641739,1610612757,TOR,1610612761,POR @ TOR,35.8,12.0,4.0,14.0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,1.1,,,,,,,,,,,,,,,,,,,,,,,,,13.2,6.6,2.4,0.8,1.8,0.42539999999999994,0.3556,0.4,0.5581631654306073,8.146119812866612,-0.8455240929563225,95.59861768743042,110.0,10.7,19.0,8.0,4.0,0.0,3.0,0.417,0.5,1.0,0.690406976744186,8.844327176781002,0.949868073878628,113.36515513126493,110.0,15.600000000000005
2025-12-03,Toumani_Camara,17.0,6.0,4.0,0.0,2.0,0.714,0.6,0.8,0.923913043478261,6.381766381766381,6.153846153846154,151.7857142857143,110.0,16.499999999999996,0,1.0,21,1641739,1610612757,CLE,1610612739,POR @ CLE,35.1,7.0,5.0,6.0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,1.1,,,,,,,,,,,,,,,,,,,,,,,,,13.4,6.4,2.6,1.0,2.0,0.41479999999999995,0.34219999999999995,0.25,0.5424292761502064,8.380987399096238,0.6957820819583954,91.83983975451756,110.0,10.52,21.0,6.0,2.0,1.0,3.0,0.583,0.6,0.25,0.7630813953488372,9.363128491620111,14.078212290502794,125.2983293556086,110.0,15.7
2025-12-05,Toumani_Camara,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.5,0.10245901639344263,4.0,-4.426229508196721,20.491803278688526,110.0,-0.20000000000000018,0,2.0,22,1641739,1610612757,DET,1610612765,POR @ DET,24.4,4.0,2.0,-3.0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,1.1,,,,,,,,,,,,,,,,,,,,,,,,,16.0,6.4,2.8,0.6,2.2,0.491,0.4622,0.41,0.6605452181791919,8.604709096502145,4.903994921750183,110.76841118308899,110.0,12.499999999999998,17.0,6.0,4.0,0.0,2.0,0.714,0.6,0.8,0.923913043478261,6.381766381766381,6.153846153846154,151.7857142857143,110.0,16.499999999999996
2025-12-07,Toumani_Camara,13.0,6.0,1.0,3.0,3.0,0.385,0.3,0.0,0.5,9.785932721712538,-26.42201834862385,81.25,110.0,8.399999999999999,0,2.0,23,1641739,1610612757,MEM,1610612763,POR @ MEM,32.7,13.0,0.0,-24.0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,1.1,,,,,,,,,,,,,,,,,,,,,,,,,13.6,5.4,3.0,0.4,1.8,0.4,0.37639999999999996,0.51,0.5674006578215168,7.698042429835479,2.8758918772536957,95.5215337435886,110.0,10.02,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.5,0.10245901639344263,4.0,-4.426229508196721,20.491803278688526,110.0,-0.20000000000000018
2025-12-11,Toumani_Camara,15.0,4.0,5.0,1.0,1.0,0.5,0.375,1.0,0.6893382352941176,8.546762589928058,-14.244604316546763,126.26262626262626,110.0,12.7,0,4.0,24,1641739,1610612757,NOP,1610612740,POR @ NOP,27.8,10.0,2.0,-11.0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,1.1,,,,,,,,,,,,,,,,,,,,,,,,,14.2,5.6,3.0,1.0,2.2,0.41979999999999995,0.4,0.51,0.5959720863929454,7.675030954376007,-1.9332642677185994,98.43820041025526,110.0,11.2,13.0,6.0,1.0,3.0,3.0,0.385,0.3,0.0,0.5,9.785932721712538,-26.42201834862385,81.25,110.0,8.399999999999999
