Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,TB,R,PA,AB,BB,SO,SB,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Synthetic_Market_H,Market_Source_H,Market_H_books,Market_H_over_price,Market_H_under_price,Market_H_line_std,Market_HR,Synthetic_Market_HR,Market_Source_HR,Market_HR_books,Market_HR_over_price,Market_HR_under_price,Market_HR_line_std,Market_RBI,Synthetic_Market_RBI,Market_Source_RBI,Market_RBI_books,Market_RBI_over_price,Market_RBI_under_price,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1,Player_ID,Position,2B,3B,HBP,IBB,SF,SH,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Market_K,Synthetic_Market_K,Market_Source_K,Market_K_books,Market_K_over_price,Market_K_under_price,Market_K_line_std,Market_ER,Synthetic_Market_ER,Market_Source_ER,Market_ER_books,Market_ER_over_price,Market_ER_under_price,Market_ER_line_std,Market_ERA,Synthetic_Market_ERA,Market_Source_ERA,Market_ERA_books,Market_ERA_over_price,Market_ERA_under_price,Market_ERA_line_std,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1,HBP_allowed,Is_Starter
2026-03-26,Julio Rodríguez,hitter,SEA,CLE,2026,823163,0,136,114,1,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,3.0,0.11764705882352941,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5384615384615384,0.5384615384615384,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.15384615384615385,0.15384615384615385,synthetic,0.0,-110.0,-110.0,0.0,2026-03-26T16:00:00Z,0.0,0.0,0.0,0.5384615384615384,0.0,0.15384615384615385,0.5384615384615384,0.0,0.15384615384615385,677594,CF,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-27,Julio Rodríguez,hitter,SEA,CLE,2026,823162,1,136,114,1,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,0.0,3.0,0.12121212121212122,0.1725,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,52.0,0,0.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,2026-03-27T16:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677594,CF,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28,Julio Rodríguez,hitter,SEA,CLE,2026,823161,2,136,114,1,1.0,0.0,1.0,1.0,0.0,5.0,4.0,1.0,1.0,0.0,3.0,0.1111111111111111,0.31399999999999995,0.08625,0.0,0.0,16.0,4.0,14.0,2.2500000000000004,1.0,0.0,53.0,0,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,2026-03-28T16:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677594,CF,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-29,Julio Rodríguez,hitter,SEA,CLE,2026,823160,3,136,114,1,0.0,0.0,0.0,0.0,2.0,5.0,4.0,1.0,0.0,0.0,3.0,0.11904761904761904,0.13799999999999998,0.16216666666666665,0.0,0.0,13.541666666666666,4.8125,12.625,4.125,1.0,0.0,43.0,0,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.3333333333333333,0.3333333333333333,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.3333333333333333,0.3333333333333333,synthetic,0.0,-110.0,-110.0,0.0,2026-03-29T16:00:00Z,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,1.0,677594,CF,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,Julio Rodríguez,hitter,SEA,NYY,2026,823159,4,136,147,1,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,3.0,0.10526315789473684,0.0,0.15612499999999999,0.0,0.0,14.210416666666667,0.0,9.5,0.0,1.0,0.0,48.0,0,0.0,1.0,6.123233995736766e-17,0.0,1.0,0.25,0.25,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.25,0.25,synthetic,0.0,-110.0,-110.0,0.0,2026-03-30T16:00:00Z,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,677594,CF,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-31,Julio Rodríguez,hitter,SEA,NYY,2026,823158,5,136,147,1,1.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,3.0,0.125,0.39249999999999996,0.12489999999999998,0.0,0.0,14.490833333333333,0.3333333333333333,9.0,0.0,1.0,0.0,53.0,0,0.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,2026-03-31T16:00:00Z,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,677594,CF,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01,Julio Rodríguez,hitter,SEA,NYY,2026,823157,6,136,147,1,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,3.0,0.11428571428571428,0.0,0.16949999999999998,0.0,0.0,14.157361111111111,1.0533333333333335,10.96,0.5625000000000001,1.0,0.0,47.0,0,0.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.4,0.4,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,2026-04-01T16:00:00Z,0.0,0.0,0.0,0.4,0.0,0.2,1.0,0.0,0.0,677594,CF,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-03,Julio Rodríguez,hitter,SEA,LAA,2026,824056,7,136,108,0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,1.0,1.0,0.0,3.0,0.11904761904761904,0.22,0.14528571428571427,0.0,0.0,14.556309523809524,5.625,6.791666666666667,2.3464285714285715,1.0,0.0,77.0,0,1.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.4,0.4,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,2026-04-03T16:00:00Z,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,677594,CF,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-04,Julio Rodríguez,hitter,SEA,LAA,2026,824054,8,136,108,0,2.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.1111111111111111,0.44,0.15462499999999998,0.0,0.0,14.552842261904761,4.5,8.291666666666666,2.0112244897959184,1.0,0.0,82.0,0,0.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.4,0.4,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,2026-04-04T16:00:00Z,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.0,677594,CF,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-05,Julio Rodríguez,hitter,SEA,LAA,2026,824053,9,136,108,0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,2.0,0.0,3.0,0.10638297872340426,0.176,0.18633333333333335,0.0,0.0,14.653915343915344,2.475,8.516666666666667,2.7826530612244897,1.0,0.0,83.0,0,0.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.8,0.8,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,2026-04-05T16:00:00Z,0.0,0.0,0.0,0.8,0.0,0.0,2.0,0.0,0.0,677594,CF,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-06,Julio Rodríguez,hitter,SEA,TEX,2026,822918,10,136,140,0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,3.0,0.12903225806451613,0.18,0.1853,0.0,0.0,15.051857142857141,5.333333333333333,8.625,2.444055944055944,1.0,0.0,70.0,0,0.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,1.0,1.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,2026-04-06T16:00:00Z,0.0,0.0,0.0,1.0,0.0,0.2,1.0,0.0,1.0,677594,CF,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
