Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,TB,R,PA,AB,BB,SO,SB,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Synthetic_Market_H,Market_Source_H,Market_H_books,Market_H_over_price,Market_H_under_price,Market_H_line_std,Market_HR,Synthetic_Market_HR,Market_Source_HR,Market_HR_books,Market_HR_over_price,Market_HR_under_price,Market_HR_line_std,Market_RBI,Synthetic_Market_RBI,Market_Source_RBI,Market_RBI_books,Market_RBI_over_price,Market_RBI_under_price,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1,Player_ID,Position,2B,3B,HBP,IBB,SF,SH,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Market_K,Synthetic_Market_K,Market_Source_K,Market_K_books,Market_K_over_price,Market_K_under_price,Market_K_line_std,Market_ER,Synthetic_Market_ER,Market_Source_ER,Market_ER_books,Market_ER_over_price,Market_ER_under_price,Market_ER_line_std,Market_ERA,Synthetic_Market_ERA,Market_Source_ERA,Market_ERA_books,Market_ERA_over_price,Market_ERA_under_price,Market_ERA_line_std,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1,HBP_allowed,Is_Starter
2026-03-26,Nick Gonzales,hitter,PIT,NYM,2026,823649,0,134,121,0,2.0,0.0,2.0,3.0,1.0,4.0,4.0,0.0,1.0,0.0,8.0,0.10810810810810811,0.5317500000000001,0.32,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,67.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.2,1.2,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.7,0.7,synthetic,0.0,-110.0,-110.0,0.0,2026-03-26T16:00:00Z,0.0,0.0,0.0,1.2,0.0,0.7,1.2,0.0,0.7,693304,3B,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28,Nick Gonzales,hitter,PIT,NYM,2026,823651,1,134,121,0,2.0,0.0,1.0,2.0,0.0,6.0,6.0,0.0,3.0,0.0,5.0,0.12,0.29333333333333333,0.5317500000000001,0.0,6.25,32.0,0.0,0.0,0.0,1.0,0.0,42.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.0,2.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,2.0,2.0,synthetic,0.0,-110.0,-110.0,0.0,2026-03-28T16:00:00Z,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,693304,3B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-29,Nick Gonzales,hitter,PIT,NYM,2026,823647,2,134,121,0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,7.0,0.1111111111111111,0.13799999999999998,0.4125416666666667,0.0,3.125,42.5875,7.0,10.0,6.75,1.0,0.0,49.0,0,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.0,2.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,1.5,1.5,synthetic,0.0,-110.0,-110.0,0.0,2026-03-29T16:00:00Z,0.0,0.0,0.0,2.0,0.0,1.5,2.0,0.0,1.0,693304,3B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,Nick Gonzales,hitter,PIT,CIN,2026,824539,3,134,113,0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,1.0,8.0,0.11428571428571428,0.22,0.3210277777777778,0.0,2.083333333333333,42.143055555555556,3.5454545454545454,9.636363636363637,5.785714285714286,1.0,0.0,74.0,0,0.0,1.0,6.123233995736766e-17,0.0,1.0,1.3333333333333333,1.3333333333333333,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,1.0,1.0,synthetic,0.0,-110.0,-110.0,0.0,2026-03-30T16:00:00Z,0.0,0.0,0.0,1.3333333333333333,0.0,1.0,0.0,0.0,0.0,693304,3B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-31,Nick Gonzales,hitter,PIT,CIN,2026,824537,4,134,113,0,2.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,6.0,0.10810810810810811,0.44,0.2957708333333333,0.0,1.5625,39.632986111111116,3.03030303030303,8.757575757575758,3.857142857142857,1.0,0.0,78.0,0,0.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.25,1.25,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.75,0.75,synthetic,0.0,-110.0,-110.0,0.0,2026-03-31T16:00:00Z,0.0,0.0,0.0,1.25,0.0,0.75,1.0,0.0,0.0,693304,SS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01,Nick Gonzales,hitter,PIT,CIN,2026,824536,5,134,113,0,2.0,0.0,2.0,3.0,1.0,5.0,5.0,0.0,1.0,0.0,2.0,0.12195121951219512,0.42540000000000006,0.32461666666666666,0.19999999999999996,1.25,37.62180555555556,2.0303030303030303,10.090909090909092,2.892857142857143,1.0,0.0,73.0,0,0.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,1.4,1.4,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.6,0.6,synthetic,0.0,-110.0,-110.0,0.0,2026-04-01T16:00:00Z,0.0,0.0,0.0,1.4,0.0,0.6,2.0,0.0,0.0,693304,2B,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-04,Nick Gonzales,hitter,PIT,BAL,2026,823404,6,134,110,1,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,8.0,0.0975609756097561,0.345,0.3414138888888889,0.0,1.875,36.76178240740741,5.333333333333333,9.0,4.704514235764235,1.0,0.0,82.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,1.4,1.4,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.6,0.6,synthetic,0.0,-110.0,-110.0,0.0,2026-04-04T16:00:00Z,0.0,0.0,0.0,1.4,0.0,0.6,2.0,0.0,2.0,693304,3B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-06,Nick Gonzales,hitter,PIT,SD,2026,823401,7,134,135,1,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,1.0,0.0,6.0,0.1111111111111111,0.22,0.34192619047619044,0.0,1.607142857142857,36.38744047619048,2.875,10.333333333333334,3.443877551020408,1.0,0.0,52.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,1.0,1.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.4,0.4,synthetic,0.0,-110.0,-110.0,0.0,2026-04-06T16:00:00Z,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,693304,3B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07,Nick Gonzales,hitter,PIT,SD,2026,823402,8,134,135,1,1.0,0.0,2.0,1.0,1.0,4.0,4.0,0.0,1.0,0.0,6.0,0.10810810810810811,0.22,0.3266854166666667,0.0,1.4062499999999998,36.113087797619045,4.541666666666667,9.0,2.5641783029001077,1.0,0.0,41.0,0,0.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1.2,1.2,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.4,0.4,synthetic,0.0,-110.0,-110.0,0.0,2026-04-07T16:00:00Z,0.0,0.0,0.0,1.2,0.0,0.4,1.0,0.0,0.0,693304,2B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-08,Nick Gonzales,hitter,PIT,SD,2026,823403,9,134,135,1,1.0,0.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,6.0,0.1111111111111111,0.31175,0.3148314814814815,0.25,1.25,35.73036044973546,2.6666666666666665,8.0,2.5641783029001077,1.0,0.0,46.0,0,0.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,1.2,1.2,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.8,0.8,synthetic,0.0,-110.0,-110.0,0.0,2026-04-08T16:00:00Z,0.0,0.0,0.0,1.2,0.0,0.8,1.0,0.0,2.0,693304,3B,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
