Market_Date,Player,Market_Player_Raw,Market_Event_ID,Market_Commence_Time_UTC,Market_Home_Team,Market_Away_Team,Market_Player_Team,Market_Player_Opponent,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Market_K,Market_ER,Market_ERA,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_K_books,Market_ER_books,Market_ERA_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC
2026-06-21,AJ_Ewing,A.J. Ewing,2941920,,PHI,NYM,NYM,PHI,,1.0,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,8.0,,,,,,108.157485,183.474452,721.536018,,,,,,-105.501107,-253.271028,,,,,,,0.5345224838248488,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Adley_Rutschman,Adley Rutschman,2941916,,LAD,BAL,BAL,LAD,,1.5,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Adrian_Del_Castillo,Adrian Del Castillo,2940105,,ARI,MIN,ARI,MIN,,1.0,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.7071067811865476,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Alec_Bohm,Alec Bohm,2941920,,PHI,NYM,PHI,NYM,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,9.0,,,,,,113.831547,113.709796,608.097429,,,,,,-153.593299,-146.510481,,,,,,,0.0,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Alec_Burleson,Alec Burleson,2941921,,KC,STL,STL,KC,,3.5,2.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,7.0,,,,,,-164.37466,122.542981,549.74784,,,,,,138.903627,-183.729569,,,,,,,0.8345229603962802,0.7559289460184545,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Alejandro_Kirk,Alejandro Kirk,2942558,,CHC,TOR,TOR,CHC,,1.5,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.3535533905932738,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Alejandro_Osuna,Alejandro Osuna,2940573,,TEX,SD,TEX,SD,,0.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,6.0,,,,,,109.84103,197.244287,1128.639618,,,,,,-162.723719,-273.048627,,,,,,,0.5175491695067657,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Alex_Bregman,Alex Bregman,2942558,,CHC,TOR,CHC,TOR,,1.0,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.5345224838248488,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Alex_Freeland,Alex Freeland,2941916,,LAD,BAL,LAD,BAL,,1.0,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,8.0,,,,,,122.236035,141.537931,630.680094,,,,,,-122.222222,-192.22896,,,,,,,0.5345224838248488,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Alex_Jackson,Alex Jackson,2940105,,ARI,MIN,MIN,ARI,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,7.0,7.0,8.0,,,,,,135.871087,164.190451,720.001707,,,,,,-141.09589,-233.857871,,,,,,,0.5345224838248488,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Andres_Gimenez,Andres Gimenez,2942558,,CHC,TOR,TOR,CHC,,0.5,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,0.5345224838248488,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Andrew_Alvarez,Andrew Alvarez,2941089,,TB,WSH,WSH,TB,,,,,,6.0,2.5,,missing,missing,missing,missing,missing,real,real,missing,,,,,,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,0.9910312089651149,0.44721359549995787,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Andrew_Benintendi,Andrew Benintendi,2940725,,DET,CWS,CWS,DET,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,4.0,,,,,,364.516129,650.0,1975.052371,,,,,,-650.0,-1334.482759,,,,,,,0.4629100498862757,0.37796447300922725,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Andrew_Vaughn,Andrew Vaughn,2940325,,ATL,MIL,MIL,ATL,,1.5,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Andruw_Monasterio,Andruw Monasterio,2941813,,SEA,BOS,BOS,SEA,,1.5,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,0.5163977794943223,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Andy_Pages,Andy Pages,2941916,,LAD,BAL,LAD,BAL,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,9.0,,,,,,-105.796044,-120.919845,362.743938,,,,,,-129.950716,-114.368857,,,,,,,0.0,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Anthony_Seigler,Anthony Seigler,2941813,,SEA,BOS,BOS,SEA,,1.0,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,8.0,,,,,,128.503529,174.919106,821.256448,,,,,,-127.159153,-242.330674,,,,,,,0.5345224838248488,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Anthony_Volpe,Anthony Volpe,2942623,,NYY,CIN,NYY,CIN,,0.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,6.0,,,,,,156.639798,177.636173,774.955537,,,,,,-183.820841,-249.330784,,,,,,,0.5175491695067657,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Austin_Hedges,Austin Hedges,2941661,,HOU,CLE,CLE,HOU,,1.5,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0.5773502691896258,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Austin_Riley,Austin Riley,2940325,,ATL,MIL,ATL,MIL,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,7.0,,,,,,128.410872,279.637405,910.619886,,,,,,-174.061791,-437.429684,,,,,,,0.0,0.7559289460184545,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Austin_Wells,Austin Wells,2942623,,NYY,CIN,NYY,CIN,,0.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,6.0,,,,,,161.913277,178.182123,476.162846,,,,,,-208.06846,-257.482517,,,,,,,0.5175491695067657,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Ben_Rice,Ben Rice,2942623,,NYY,CIN,NYY,CIN,,4.5,1.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,8.0,7.0,,,,,,,-113.339366,149.919994,,,,,,,-123.612524,-204.708462,,,,,,,0.0,0.37796447300922725,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Ben_Williamson,Ben Williamson,2941089,,TB,WSH,TB,WSH,,2.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,8.0,,,,,,168.945125,353.314144,2183.357243,,,,,,-199.179986,-604.991772,,,,,,,0.7071067811865476,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Blake_Dunn,Blake Dunn,2942623,,NYY,CIN,CIN,NYY,,2.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,7.0,,,,,,100.049436,188.537109,1186.296882,,,,,,-139.578936,-263.494601,,,,,,,0.0,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Blaze_Alexander,Blaze Alexander,2941916,,LAD,BAL,BAL,LAD,,1.0,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,8.0,,,,,,122.805962,176.91136,719.781736,,,,,,-123.684211,-241.727361,,,,,,,0.5345224838248488,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Blaze_Jordan,Blaze Jordan,2941921,,KC,STL,STL,KC,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,6.0,,,,,,120.578193,177.069335,741.527023,,,,,,-153.16448,-162.499565,,,,,,,0.46291004988627577,0.7559289460184545,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Bo_Bichette,Bo Bichette,2941920,,PHI,NYM,NYM,PHI,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,9.0,,,,,,127.489209,137.086883,720.126572,,,,,,-169.633802,-177.477477,,,,,,,0.0,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Bobby_Witt,Bobby Witt,2941921,,KC,STL,KC,STL,,1.5,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Braden_Montgomery,Braden Montgomery,2940725,,DET,CWS,CWS,DET,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,6.0,,,,,,146.954865,284.808225,1216.198199,,,,,,-195.172394,-432.309364,,,,,,,0.0,0.37796447300922725,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Brandon_Lowe,Brandon Lowe,2941638,,COL,PIT,PIT,COL,,2.0,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,9.0,,,,,,-113.987936,-194.311793,244.051269,,,,,,-103.959954,139.17741,,,,,,,0.5345224838248487,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Brandon_Marsh,Brandon Marsh,2941920,,PHI,NYM,PHI,NYM,,1.0,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,9.0,,,,,,-109.151746,138.222648,746.903608,,,,,,113.973552,-189.770024,,,,,,,0.5345224838248488,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Brandon_Nimmo,Brandon Nimmo,2940573,,TEX,SD,TEX,SD,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,5.0,,,,,,-102.899815,142.268041,638.245591,,,,,,-149.50495,-196.492411,,,,,,,0.5175491695067657,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Brandon_Young,Brandon Young,2941916,,LAD,BAL,BAL,LAD,,,,,,3.5,2.5,,missing,missing,missing,missing,missing,real,real,missing,,,,,,9.0,5.0,,,,,,,-149.901291,-129.291609,,,,,,,115.015731,-104.630205,,,,,,,0.0,0.5477225575051661,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Brayan_Rocchio,Brayan Rocchio,2941661,,HOU,CLE,CLE,HOU,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,7.0,,,,,,116.821008,270.889864,1208.993767,,,,,,-161.56206,-421.510097,,,,,,,0.0,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Brett_Baty,Brett Baty,2941920,,PHI,NYM,NYM,PHI,,1.0,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,8.0,,,,,,129.845027,201.476035,684.531533,,,,,,-126.394329,-267.346939,,,,,,,0.5345224838248488,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Brett_Sullivan,Brett Sullivan,2941638,,COL,PIT,COL,PIT,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,8.0,,,,,,112.568144,128.16537,592.715809,,,,,,-105.161014,-173.654794,,,,,,,0.5175491695067657,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Brice_Turang,Brice Turang,2940325,,ATL,MIL,MIL,ATL,,1.5,1.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,6.0,,,,,,128.316332,324.101716,1235.315415,,,,,,-181.113711,-400.23753,,,,,,,0.0,0.5773502691896257,0.0,,,,,2026-06-21T19:20:37.517202+00:00
